country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,population
Argentina,1970,82.648,3.461,3.287,63.926,10.281,2.344,23878331.0
Argentina,1971,88.847,3.663,2.928,69.319,11.021,2.736,24257211.0
Argentina,1972,90.067,3.655,2.858,69.297,12.469,2.699,24644332.0
Argentina,1973,93.976,3.752,2.88,71.21,14.187,2.57,25046008.0
Argentina,1974,95.48,3.75,3.367,71.452,14.923,2.675,25461353.0
Argentina,1975,94.845,3.666,3.594,68.913,15.722,2.714,25874106.0
Argentina,1976,99.699,3.793,3.239,71.868,16.467,2.841,26282282.0
Argentina,1977,100.706,3.771,2.704,72.702,16.905,2.987,26701814.0
Argentina,1978,102.556,3.78,3.833,72.899,16.426,3.148,27132164.0
Argentina,1979,110.616,4.012,3.602,79.073,18.016,3.327,27568894.0
Argentina,1980,108.656,3.879,2.865,76.508,19.566,3.562,28011596.0
Argentina,1981,101.969,3.582,2.957,70.059,20.485,3.323,28463957.0
Argentina,1982,103.351,3.573,2.66,69.032,23.249,2.815,28924269.0
Argentina,1983,105.142,3.577,2.191,68.674,26.264,2.818,29391333.0
Argentina,1984,106.452,3.565,2.147,67.237,27.301,2.618,29863091.0
Argentina,1985,100.531,3.314,2.774,60.435,28.809,2.325,30336448.0
Argentina,1986,104.15,3.38,3.393,62.2,30.964,2.789,30811983.0
Argentina,1987,114.877,3.671,3.778,66.454,36.699,3.169,31291764.0
Argentina,1988,121.405,3.82,4.023,66.232,42.233,3.047,31780533.0
Argentina,1989,117.02,3.626,4.144,59.753,44.609,2.253,32270958.0
Argentina,1990,112.149,3.424,3.14,59.188,43.213,1.822,32755907.0
Argentina,1991,117.755,3.544,2.939,61.233,47.284,2.196,33230292.0
Argentina,1992,121.535,3.607,3.107,63.633,48.303,2.495,33693532.0
Argentina,1993,118.001,3.455,2.528,67.152,40.807,2.761,34152718.0
Argentina,1994,118.469,3.423,3.561,67.203,42.677,3.05,34613491.0
Argentina,1995,125.277,3.572,3.741,62.834,53.194,2.621,35070016.0
