Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,24.7,12.6,18.6,0.0,9.7,20.5,35616.73
2000-01-02,25.0,12.7,18.6,0.0,10.0,18.7,35639.38
2000-01-03,24.7,13.1,18.5,0.0,9.5,21.2,35664.25
2000-01-04,24.4,13.3,18.3,0.0,11.3,24.5,35664.88
2000-01-05,24.0,12.9,18.0,0.0,9.7,23.0,35651.85
2000-01-06,23.6,12.4,17.6,0.0,12.1,27.7,35640.01
2000-01-07,22.7,12.4,17.1,0.0,14.6,30.6,35629.4
2000-01-08,22.7,11.7,16.9,0.0,9.4,23.4,35620.06
2000-01-09,22.8,11.5,17.0,0.0,10.7,21.2,35612.04
2000-01-10,23.5,11.5,17.3,0.0,10.5,22.7,35605.36
2000-01-11,25.0,11.9,18.1,0.0,10.2,20.5,35600.08
2000-01-12,25.9,13.0,19.4,0.0,10.0,17.6,35596.23
2000-01-13,26.4,13.7,19.9,0.0,10.2,17.6,35593.85
2000-01-14,27.1,15.5,20.9,0.0,9.3,20.5,35592.98
2000-01-15,26.4,14.7,20.5,0.0,9.4,19.4,35628.38
2000-01-16,25.6,17.1,20.9,1.7,10.9,24.5,32847.7
2000-01-17,24.4,15.4,19.4,0.0,13.2,29.5,35686.02
2000-01-18,22.7,10.9,16.7,0.0,11.2,24.8,35750.78
2000-01-19,22.7,11.6,17.2,0.0,10.1,22.7,35698.38
2000-01-20,25.0,12.4,18.5,0.0,13.6,30.2,35771.28
2000-01-21,25.5,13.8,18.7,0.2,10.2,22.3,33944.34
2000-01-22,24.1,15.7,19.7,0.0,11.2,24.8,30343.16
2000-01-23,24.4,15.1,19.2,3.9,11.4,31.0,34936.77
2000-01-24,24.0,16.2,19.4,0.5,8.9,24.5,23270.36
2000-01-25,25.0,13.7,19.2,0.0,9.5,19.1,35995.7
2000-01-26,25.5,12.5,18.9,0.0,10.1,19.4,36179.84
2000-01-27,25.9,12.4,19.1,0.0,10.5,18.7,36206.14
2000-01-28,26.1,13.2,20.2,0.0,10.6,18.4,36059.69
2000-01-29,22.7,15.6,18.6,0.6,13.0,25.6,36082.2
2000-01-30,23.2,13.2,17.7,0.0,9.4,15.8,32077.73
2000-01-31,24.2,12.2,18.9,0.0,9.5,18.7,36409.03
2000-02-01,24.7,13.1,19.1,0.0,9.5,15.1,36630.48
2000-02-02,25.1,13.6,19.4,0.0,9.9,18.7,35515.43
2000-02-03,24.5,16.8,20.1,4.0,9.0,29.2,27034.05
2000-02-04,24.8,18.4,21.1,0.3,6.9,28.1,36229.7
2000-02-05,25.0,17.5,20.7,4.3,9.4,24.8,32517.0
2000-02-06,23.6,18.1,20.5,1.3,11.7,24.5,34805.11
2000-02-07,22.7,17.2,19.1,8.2,7.8,23.0,30741.48
2000-02-08,24.2,14.9,19.0,0.0,9.5,21.6,34006.91
2000-02-09,24.4,15.4,19.5,0.3,9.4,24.5,36941.75
2000-02-10,24.1,15.7,19.7,0.0,7.6,21.6,36834.49
2000-02-11,25.4,14.3,19.9,0.0,7.9,20.9,36836.21
2000-02-12,22.4,16.6,19.9,0.4,8.2,16.9,20672.64
2000-02-13,24.6,16.3,20.0,0.0,9.4,19.8,27419.56
2000-02-14,22.7,17.4,19.6,0.0,12.9,29.9,4450.22
2000-02-15,25.3,14.3,19.4,0.0,17.0,35.3,37853.45
2000-02-16,25.0,11.2,17.9,0.0,10.1,22.7,37890.52
2000-02-17,25.3,13.3,19.3,0.0,11.2,22.3,37927.14
2000-02-18,25.2,16.4,20.4,0.0,9.4,16.6,37963.3
2000-02-19,25.9,14.4,19.9,0.0,11.1,20.9,37999.02
2000-02-20,26.0,12.5,20.0,0.0,9.9,19.1,38034.27
2000-02-21,24.9,15.2,20.0,0.0,8.4,20.5,18470.52
2000-02-22,25.7,13.9,20.1,0.0,10.3,20.5,38103.41
2000-02-23,27.4,13.7,20.7,0.0,10.1,23.0,38137.29
2000-02-24,26.8,17.2,21.4,0.0,10.9,24.1,23976.09
2000-02-25,23.9,18.3,20.5,0.0,8.7,20.5,15879.54
2000-02-26,26.4,16.7,21.1,0.0,10.9,25.6,38236.19
2000-02-27,26.9,14.6,20.5,0.0,10.2,20.2,38407.57
2000-02-28,27.4,15.3,21.3,0.0,10.1,23.8,38437.04
2000-02-29,27.4,14.2,21.0,0.0,10.1,20.2,37724.25
2000-03-01,29.1,14.5,22.1,0.0,10.8,23.8,38573.45
2000-03-02,27.6,19.6,22.6,4.2,16.3,46.4,27655.09
2000-03-03,30.1,18.5,23.4,0.0,15.6,43.6,38541.34
2000-03-04,28.7,21.2,23.9,2.4,10.4,24.5,31316.08
