Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,26.5,21.8,23.7,15.7,8.8,24.8,10559.94
2000-01-02,27.2,21.8,23.5,11.7,12.7,32.8,14654.83
2000-01-03,26.6,21.6,23.3,20.9,15.0,38.2,16619.55
2000-01-04,24.0,21.3,22.3,12.0,13.4,29.2,7564.03
2000-01-05,27.8,21.1,23.7,16.6,13.0,31.3,27173.35
2000-01-06,28.6,21.2,24.8,15.8,5.2,25.2,38525.74
2000-01-07,29.1,21.0,24.7,6.3,10.0,21.6,23612.15
2000-01-08,30.4,21.2,24.6,9.7,11.9,29.9,34763.34
2000-01-09,27.6,21.5,23.3,10.0,10.5,31.3,13383.35
2000-01-10,29.4,21.2,24.6,11.9,8.9,33.8,35059.9
2000-01-11,29.4,22.1,25.8,0.0,7.2,29.9,42105.67
2000-01-12,29.8,23.1,26.4,6.1,6.5,23.0,40569.95
2000-01-13,30.2,22.2,26.1,14.2,10.8,29.5,41387.71
2000-01-14,30.3,21.3,25.9,10.0,8.7,26.6,42089.08
2000-01-15,31.5,22.8,27.4,0.6,8.0,26.6,43699.74
2000-01-16,31.6,23.4,26.9,2.8,9.7,24.1,39314.6
2000-01-17,32.8,22.9,27.1,1.0,5.9,19.4,34257.11
2000-01-18,31.0,23.4,26.8,4.4,4.7,28.1,40487.55
2000-01-19,31.3,23.1,27.1,2.2,7.9,25.2,43596.14
2000-01-20,31.9,22.9,27.2,6.1,11.3,30.2,36643.49
2000-01-21,28.3,22.8,24.8,26.5,10.9,33.8,16513.64
2000-01-22,28.6,23.4,25.3,17.0,9.8,31.3,28273.76
2000-01-23,28.3,22.0,25.0,18.3,7.0,23.8,29590.86
2000-01-24,29.4,22.6,25.3,3.5,10.5,22.3,30126.27
2000-01-25,27.9,23.1,24.9,22.1,12.6,28.1,32031.46
2000-01-26,29.1,22.1,24.9,4.1,15.1,37.4,40390.25
2000-01-27,30.2,22.3,25.4,1.7,11.3,38.9,19176.05
2000-01-28,30.9,22.7,26.3,4.9,7.9,29.9,35981.06
2000-01-29,30.8,22.9,26.4,6.3,8.6,22.7,42084.0
2000-01-30,29.7,22.2,25.3,12.9,11.2,31.3,31859.38
