Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,2.5,-6.4,-2.1,0.0,11.5,21.6,31290.29
2000-01-02,8.0,-7.8,-1.0,0.0,11.2,20.5,31514.88
2000-01-03,8.5,-4.9,0.8,0.0,10.8,24.1,31470.55
2000-01-04,3.2,-6.4,-2.0,0.0,10.2,23.0,31518.97
2000-01-05,-5.1,-10.1,-7.2,0.0,15.3,32.4,30848.45
2000-01-06,2.7,-12.4,-6.6,0.0,10.3,19.8,31622.6
2000-01-07,1.9,-8.8,-4.5,0.0,8.4,15.5,31677.61
2000-01-08,4.0,-5.6,-2.1,0.0,9.2,16.6,31734.57
2000-01-09,5.6,-7.5,-1.5,0.0,11.3,32.0,31882.9
2000-01-10,0.9,-6.1,-2.8,0.0,12.7,29.5,29144.64
2000-01-11,-1.8,-7.7,-5.6,0.8,9.4,23.0,25138.11
2000-01-12,0.3,-9.5,-5.1,0.0,8.9,22.3,32070.16
2000-01-13,-3.7,-8.0,-6.4,0.0,11.5,27.0,26976.86
2000-01-14,-1.1,-8.7,-6.2,0.3,14.3,31.0,25257.33
2000-01-15,-2.2,-9.7,-6.5,0.6,9.3,21.6,30192.36
2000-01-16,-4.9,-8.9,-7.1,0.7,8.9,21.6,17972.15
2000-01-17,-0.8,-9.6,-5.8,0.0,10.5,18.0,31559.55
2000-01-18,-1.6,-9.4,-6.4,0.0,10.8,23.0,32282.81
2000-01-19,0.3,-11.0,-6.4,0.0,12.3,20.9,32841.1
2000-01-20,0.6,-9.2,-4.8,0.0,18.9,43.9,29194.96
2000-01-21,0.1,-6.9,-4.0,1.4,11.3,22.7,31811.09
2000-01-22,-3.2,-9.1,-6.5,0.0,11.7,28.1,32866.55
2000-01-23,-1.4,-9.5,-5.8,0.3,13.2,29.9,30243.76
2000-01-24,0.1,-9.3,-5.8,0.0,12.5,17.6,33019.51
2000-01-25,-6.4,-11.2,-9.0,0.0,10.0,22.3,27500.0
2000-01-26,-3.2,-13.8,-9.3,0.0,11.0,16.2,33174.61
2000-01-27,-2.5,-11.6,-7.9,0.0,10.8,19.1,33364.4
2000-01-28,-4.3,-10.5,-8.0,0.0,11.8,28.4,32277.32
2000-01-29,-6.2,-13.3,-10.1,0.0,10.6,21.6,33639.72
2000-01-30,-6.9,-12.3,-10.2,0.5,10.0,22.7,20568.49
2000-01-31,-4.6,-16.0,-10.6,0.0,12.7,22.3,33480.31
2000-02-01,-3.6,-14.0,-9.4,0.0,10.6,22.7,34126.38
2000-02-02,-3.4,-13.6,-9.4,0.0,11.0,22.7,33991.82
2000-02-03,-3.2,-12.6,-8.6,0.0,9.1,23.0,34228.5
2000-02-04,0.9,-10.7,-5.3,0.3,11.2,21.6,32906.61
2000-02-05,1.9,-8.8,-4.1,0.0,11.7,16.2,34335.7
2000-02-06,-2.2,-9.0,-5.9,0.0,17.8,40.0,34391.05
2000-02-07,-0.0,-13.1,-7.2,0.0,12.2,19.4,34591.92
2000-02-08,1.3,-9.6,-4.9,0.0,11.2,16.9,34357.12
2000-02-09,3.6,-8.5,-3.1,0.0,10.9,21.2,34846.78
2000-02-10,5.4,-6.1,-1.1,0.0,12.5,23.4,34854.22
2000-02-11,6.3,-6.3,-0.8,0.0,13.0,20.2,35067.2
2000-02-12,2.5,-6.1,-2.9,1.1,19.2,40.7,22027.12
