Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,31.2,21.7,25.5,0.6,5.6,18.7,37713.67
2000-01-02,27.9,22.5,24.8,10.2,6.7,24.1,35669.23
2000-01-03,30.3,21.8,25.4,0.5,6.4,18.7,31710.85
2000-01-04,27.7,22.4,24.4,10.2,7.3,22.7,21898.77
2000-01-05,29.2,22.2,24.8,3.9,5.5,20.2,36000.0
2000-01-06,29.7,22.2,24.9,4.5,3.7,22.0,34149.02
2000-01-07,29.3,22.3,24.2,10.7,6.9,24.8,23747.54
2000-01-08,27.0,22.2,23.8,8.5,10.2,24.8,14093.61
2000-01-09,26.1,20.8,22.7,5.6,8.7,20.9,4729.84
2000-01-10,30.0,21.0,24.7,2.0,6.6,34.6,34752.59
2000-01-11,30.2,21.4,25.4,0.4,6.4,18.0,40168.95
2000-01-12,31.0,22.1,26.1,0.0,5.4,19.4,40837.39
2000-01-13,28.0,22.3,24.2,10.4,10.4,27.4,33416.33
2000-01-14,26.9,21.8,23.6,11.1,6.3,19.1,21747.79
2000-01-15,30.2,21.7,25.0,0.8,5.8,20.5,32773.09
2000-01-16,31.1,21.9,25.5,0.6,6.2,19.4,34902.31
2000-01-17,30.0,22.7,25.4,2.2,6.9,21.6,36786.95
2000-01-18,26.5,23.0,24.6,8.6,9.8,28.1,20070.7
2000-01-19,25.1,20.8,22.8,7.9,8.6,22.7,7841.49
2000-01-20,29.9,21.0,24.6,0.3,7.9,24.5,34482.78
2000-01-21,32.1,21.0,26.1,0.7,5.8,25.6,40964.04
2000-01-22,31.3,22.4,25.7,4.6,8.6,26.6,38921.24
2000-01-23,29.6,22.4,24.5,8.9,7.6,24.1,20520.16
2000-01-24,26.5,22.4,23.6,11.0,9.3,27.0,20045.44
2000-01-25,29.9,21.3,24.7,1.6,6.7,20.5,39080.27
2000-01-26,29.5,21.8,24.4,7.6,6.0,19.8,31640.71
2000-01-27,32.1,21.2,25.6,0.3,6.8,16.9,37835.14
2000-01-28,31.5,22.1,26.4,0.7,8.0,20.2,41499.64
2000-01-29,31.0,22.5,25.7,1.1,7.8,18.4,34002.81
2000-01-30,31.5,22.1,25.8,0.4,4.8,18.0,35039.02
2000-01-31,29.5,22.8,24.9,7.8,11.2,31.0,26198.63
2000-02-01,28.2,22.0,24.5,0.2,10.4,30.2,19460.75
2000-02-02,29.1,20.9,24.3,8.1,6.6,27.0,28271.58
2000-02-03,30.4,21.8,25.6,0.7,5.6,18.7,38643.27
2000-02-04,30.8,22.2,25.7,1.0,4.9,16.6,37661.99
2000-02-05,30.3,22.6,25.1,8.6,6.9,25.9,30019.51
2000-02-06,31.1,22.2,25.5,3.0,6.6,22.3,38134.38
2000-02-07,26.9,21.7,23.7,14.3,9.4,23.0,23599.86
2000-02-08,29.3,21.2,24.4,0.6,5.5,23.4,37110.11
2000-02-09,30.8,21.6,25.4,1.4,7.4,24.1,41180.34
2000-02-10,27.9,21.8,24.3,9.6,7.7,22.0,33800.15
2000-02-11,29.8,22.2,24.7,1.4,6.6,18.0,34989.64
2000-02-12,25.0,21.4,23.2,8.5,6.8,19.4,15849.24
2000-02-13,30.8,21.6,25.0,0.9,6.4,16.9,36476.76
2000-02-14,30.0,20.7,24.8,5.5,8.5,19.1,36983.28
2000-02-15,29.6,21.8,24.6,1.4,12.6,31.3,26715.35
2000-02-16,29.8,21.2,25.0,0.2,8.3,19.4,31945.49
2000-02-17,27.1,22.0,24.3,3.9,7.8,20.9,29133.34
2000-02-18,28.6,21.5,23.8,5.1,7.3,23.4,18691.38
2000-02-19,31.0,21.7,25.1,0.7,4.1,16.9,35787.45
2000-02-20,30.2,21.8,25.1,3.1,4.2,20.9,35983.32
2000-02-21,29.0,21.9,24.4,8.1,8.9,32.0,36179.24
2000-02-22,31.2,21.5,25.4,0.3,7.7,22.3,35521.61
2000-02-23,31.5,22.4,25.8,2.2,6.6,22.7,36857.8
2000-02-24,29.9,22.1,24.6,5.5,10.1,27.7,27002.11
2000-02-25,32.1,21.6,25.7,0.6,7.6,18.7,36572.26
2000-02-26,31.8,22.1,26.2,0.6,7.1,17.3,40442.14
2000-02-27,32.7,22.7,25.9,10.4,11.7,24.8,35073.87
2000-02-28,30.6,22.2,25.4,13.3,11.8,26.3,33697.41
2000-02-29,28.0,21.6,24.0,2.9,6.5,19.4,21662.34
2000-03-01,31.2,21.8,25.2,0.5,5.0,18.4,37623.16
2000-03-02,31.5,21.9,26.2,0.0,5.9,24.1,37594.61
2000-03-03,30.3,22.8,25.7,1.4,5.1,19.1,27424.81
2000-03-04,30.5,22.7,25.4,3.7,4.8,22.3,32345.91
2000-03-05,31.8,22.7,26.2,4.8,6.5,26.6,39539.1
2000-03-06,29.3,21.8,24.6,12.5,8.0,20.5,21927.21
2000-03-07,27.6,22.3,24.2,11.3,12.3,29.9,27624.33
2000-03-08,30.6,22.0,25.5,0.3,5.6,17.6,35336.94
2000-03-09,30.6,23.0,25.9,5.0,7.3,23.8,39710.8
2000-03-10,27.0,22.3,24.4,10.5,5.5,19.4,30761.34
2000-03-11,30.6,22.2,25.3,0.4,5.4,16.9,33074.55
2000-03-12,31.0,22.7,26.2,1.3,5.4,25.9,36672.51
2000-03-13,29.9,22.9,25.6,9.4,4.0,20.9,36682.33
2000-03-14,29.3,22.8,25.4,8.9,8.1,19.8,36000.0
2000-03-15,28.3,22.1,24.6,5.8,6.0,20.2,37657.71
2000-03-16,28.4,22.3,24.4,3.4,10.7,26.6,27325.47
2000-03-17,31.8,21.5,25.6,2.0,6.8,30.2,35589.29
2000-03-18,28.7,22.5,24.3,15.0,12.3,32.8,21600.0
2000-03-19,28.9,21.5,24.1,9.7,6.0,23.8,27541.62
2000-03-20,30.5,21.1,24.9,0.1,6.8,24.8,26605.23
2000-03-21,31.8,22.0,26.6,1.0,5.6,30.6,40325.18
2000-03-22,27.1,23.6,24.8,11.5,14.6,36.7,6990.15
2000-03-23,26.7,22.0,23.4,16.2,11.3,27.0,7736.35
2000-03-24,26.1,20.9,23.0,12.3,7.6,19.4,12318.21
2000-03-25,29.9,20.8,24.1,1.4,6.6,25.9,33850.45
2000-03-26,29.5,21.5,24.4,5.2,5.6,21.2,26387.87
2000-03-27,29.9,21.8,24.3,8.5,9.9,22.0,32897.08
2000-03-28,30.5,21.1,25.0,1.0,5.1,19.4,36783.36
2000-03-29,30.9,22.3,25.8,1.5,6.8,25.9,36000.0
2000-03-30,28.9,22.6,24.6,7.4,7.6,24.8,23198.6
2000-03-31,31.2,21.7,25.4,0.0,10.2,29.2,40115.54
2000-04-01,31.6,21.8,26.3,1.1,8.4,30.6,39948.94
2000-04-02,27.8,22.5,24.7,15.0,11.2,34.2,13106.66
2000-04-03,25.6,21.6,23.3,5.1,6.2,22.0,7605.41
2000-04-04,29.9,22.9,24.9,6.3,6.2,18.4,37003.48
2000-04-05,30.4,21.7,25.5,0.9,4.8,20.5,36885.78
2000-04-06,31.3,22.5,26.4,0.4,5.9,19.4,39600.0
2000-04-07,30.3,23.0,25.4,9.2,10.9,27.7,26846.36
2000-04-08,30.4,22.3,24.9,2.7,7.4,22.0,26297.08
2000-04-09,30.6,22.6,25.1,4.0,6.4,19.4,32796.14
2000-04-10,29.2,22.6,25.1,0.5,8.6,24.8,25113.07
2000-04-11,30.1,22.1,24.8,8.1,8.9,36.4,31341.34
2000-04-12,28.8,22.5,24.6,6.9,6.6,34.2,21891.22
2000-04-13,23.6,21.8,22.8,24.7,7.1,27.0,191.1
2000-04-14,28.3,21.4,23.8,12.2,6.4,18.7,27321.5
2000-04-15,29.1,21.6,24.3,2.3,7.9,28.1,31496.29
2000-04-16,30.8,21.4,25.2,1.4,7.9,30.6,38767.32
2000-04-17,30.7,22.5,25.9,1.8,7.2,29.9,39285.2
2000-04-18,27.6,22.1,24.4,10.1,6.7,30.6,21170.88
2000-04-19,30.3,22.7,24.4,13.6,8.9,24.8,28549.86
2000-04-20,27.8,22.3,24.1,3.1,6.6,25.6,25307.46
2000-04-21,26.6,22.2,23.7,8.5,6.8,22.0,17252.02
2000-04-22,29.0,21.7,24.6,0.2,5.8,23.8,33646.04
2000-04-23,30.7,21.5,25.4,0.7,6.6,28.1,37204.58
2000-04-24,31.5,22.4,25.8,1.2,7.2,27.4,37834.22
2000-04-25,30.7,23.1,25.7,3.6,5.9,35.6,35792.78
2000-04-26,28.5,22.2,24.7,13.0,9.9,23.8,22386.79
2000-04-27,29.0,22.3,24.3,11.6,5.5,27.7,26257.09
2000-04-28,29.8,22.4,24.6,4.3,7.4,34.2,31513.76
2000-04-29,30.0,22.2,24.7,8.2,9.7,33.8,32412.82
2000-04-30,26.0,22.2,24.0,12.0,8.0,33.1,18894.75
2000-05-01,27.4,22.3,24.3,3.3,4.6,34.9,33612.0
2000-05-02,29.6,22.3,24.5,5.3,5.9,32.4,34048.3
2000-05-03,29.3,22.3,24.8,2.4,4.8,34.6,31539.45
2000-05-04,31.9,22.5,26.5,0.0,5.5,37.4,36292.92
2000-05-05,31.3,23.5,26.4,5.3,9.8,29.2,36000.0
2000-05-06,29.5,22.5,25.0,3.2,4.7,31.3,33278.01
2000-05-07,31.8,22.4,26.1,0.1,5.6,34.9,36000.0
2000-05-08,30.4,22.7,26.1,2.0,6.6,32.4,39600.0
2000-05-09,28.8,22.8,25.1,2.6,8.0,24.5,31738.05
2000-05-10,29.1,23.0,25.2,0.4,8.0,25.2,32625.48
2000-05-11,30.1,22.0,25.2,0.6,6.2,28.8,39600.0
2000-05-12,26.7,21.9,23.8,2.5,8.4,23.0,14742.98
2000-05-13,29.7,21.3,24.5,1.6,4.7,22.7,36000.0
2000-05-14,30.0,21.9,24.8,0.4,5.9,24.8,35453.25
