Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,23.2,7.8,15.4,0.0,15.8,26.3,34730.5
2000-01-02,22.2,8.2,15.0,0.0,13.2,20.5,34100.42
2000-01-03,19.1,10.3,14.5,0.0,25.3,38.9,34786.32
2000-01-04,14.7,9.5,12.3,0.0,24.7,34.9,15334.63
2000-01-05,13.2,6.8,9.5,0.0,27.0,42.8,34852.02
2000-01-06,13.5,2.7,8.2,0.0,16.2,27.0,34888.39
2000-01-07,13.8,2.3,8.2,0.0,19.2,28.8,34927.0
2000-01-08,15.2,6.0,10.4,0.0,21.7,33.5,29968.5
2000-01-09,15.5,7.2,11.2,0.0,26.0,39.2,35010.67
2000-01-10,15.8,4.5,10.1,0.0,24.5,36.4,35055.57
2000-01-11,15.5,5.2,10.4,0.0,25.7,41.0,35102.43
2000-01-12,15.2,5.5,10.5,0.0,26.5,41.4,35151.16
2000-01-13,15.5,5.6,10.9,0.0,20.0,35.6,33515.72
2000-01-14,17.1,6.2,11.9,0.0,13.6,19.8,31354.13
2000-01-15,18.6,6.9,12.5,0.0,23.1,34.2,35287.7
2000-01-16,15.0,5.0,10.5,0.0,23.4,38.5,35293.98
2000-01-17,14.4,6.6,10.7,0.0,15.1,24.1,35302.0
2000-01-18,15.1,7.4,10.8,0.0,32.1,47.9,35311.8
2000-01-19,15.8,4.1,10.1,0.0,17.3,28.4,35323.42
2000-01-20,16.2,3.2,9.9,0.0,21.2,35.6,35341.59
2000-01-21,14.4,2.1,8.8,0.0,13.4,23.4,35351.92
2000-01-22,15.3,2.2,9.3,0.0,9.8,17.3,35368.71
2000-01-23,16.9,5.0,11.2,0.0,9.5,21.2,35424.14
2000-01-24,23.2,6.2,14.2,0.0,25.1,40.0,35443.85
2000-01-25,21.0,9.7,15.6,0.0,18.7,28.1,35464.21
2000-01-26,16.8,6.1,11.6,0.0,22.0,35.6,35538.02
2000-01-27,14.8,4.9,10.1,0.0,38.7,56.5,35476.15
2000-01-28,11.6,3.2,8.1,0.0,37.4,57.2,24702.03
2000-01-29,13.6,3.1,9.0,0.0,14.3,25.9,35743.02
2000-01-30,15.2,2.3,8.8,0.0,12.7,23.8,35642.73
2000-01-31,15.9,2.8,9.6,0.0,22.8,37.8,35587.7
2000-02-01,17.1,6.2,11.5,0.0,28.7,43.2,35698.18
2000-02-02,17.3,6.6,12.0,0.0,25.1,40.7,35726.71
2000-02-03,18.0,6.9,12.6,0.0,23.0,37.1,36072.43
2000-02-04,18.3,5.4,12.0,0.0,20.7,35.6,36194.96
2000-02-05,18.3,5.6,12.0,0.0,22.4,37.1,36238.35
2000-02-06,15.6,7.8,11.4,0.0,26.6,41.4,36368.82
2000-02-07,15.8,5.3,10.7,0.0,21.4,36.4,34170.6
2000-02-08,16.2,9.6,13.0,0.0,26.5,39.2,32816.36
2000-02-09,16.4,7.0,12.5,0.0,17.7,29.2,29104.66
2000-02-10,16.8,6.6,12.2,0.0,13.0,21.2,20946.51
2000-02-11,17.8,4.3,11.8,0.0,14.6,25.9,36995.33
2000-02-12,17.9,4.0,11.7,0.0,21.3,33.8,36912.7
