Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,27.4,11.9,19.9,0.0,13.7,34.2,38812.35
2000-01-02,27.8,11.7,20.4,0.0,14.8,34.6,38844.48
2000-01-03,27.3,15.3,20.8,0.0,13.6,31.3,38877.06
2000-01-04,27.9,12.9,20.4,0.0,13.4,31.7,38910.01
2000-01-05,29.5,11.7,21.1,0.0,12.8,29.2,38943.23
2000-01-06,29.5,12.8,21.5,0.0,14.2,31.3,38976.65
2000-01-07,27.5,14.3,21.2,0.0,15.8,39.2,39010.17
2000-01-08,27.2,13.3,20.7,0.0,15.8,37.1,39043.72
2000-01-09,27.2,14.0,20.8,0.0,13.3,32.4,39077.21
2000-01-10,27.8,11.6,20.4,0.0,13.5,31.7,39110.55
2000-01-11,27.5,12.7,20.6,0.0,13.8,33.1,39143.66
2000-01-12,27.6,12.6,20.7,0.0,13.6,32.4,39176.46
2000-01-13,27.1,12.6,20.4,0.0,15.8,37.4,39208.85
2000-01-14,26.4,14.0,20.0,0.0,16.4,41.8,39240.76
2000-01-15,26.6,14.6,20.1,0.0,12.0,33.5,39272.11
2000-01-16,29.0,13.4,20.8,0.0,12.0,28.4,39302.79
2000-01-17,30.3,13.0,21.9,0.0,12.0,28.1,39332.74
2000-01-18,30.6,14.1,22.2,0.0,11.3,31.7,39359.86
2000-01-19,27.3,15.4,21.6,0.0,14.4,33.8,39380.0
2000-01-20,27.2,18.0,22.4,0.1,12.0,28.8,39400.98
2000-01-21,28.7,15.1,22.6,0.0,13.1,30.2,39422.69
2000-01-22,26.8,15.7,22.1,0.0,11.3,27.0,38403.9
2000-01-23,25.7,16.8,21.0,0.0,14.7,38.2,38808.96
2000-01-24,26.2,15.8,20.7,0.0,15.7,40.0,39491.79
2000-01-25,28.0,12.6,20.6,0.0,15.2,37.8,39516.02
2000-01-26,28.1,11.5,20.9,0.0,13.0,32.8,39540.77
2000-01-27,30.2,13.0,21.9,0.0,8.8,23.4,39560.2
2000-01-28,31.0,12.2,21.9,0.0,11.5,29.9,39560.8
2000-01-29,26.0,16.2,20.7,0.0,15.2,36.7,39562.34
2000-01-30,23.8,13.8,19.1,0.2,16.0,39.2,39564.8
2000-01-31,26.7,15.5,20.4,0.0,14.4,36.0,39568.18
2000-02-01,29.0,15.4,21.1,0.0,15.1,38.2,39572.47
2000-02-02,28.7,15.0,21.6,0.0,13.4,35.6,39577.68
2000-02-03,29.8,13.8,22.4,0.0,14.3,34.9,39583.79
2000-02-04,29.5,13.5,22.2,0.0,15.7,37.8,39590.8
2000-02-05,28.5,16.8,22.3,0.0,13.9,33.5,39598.71
2000-02-06,30.3,12.8,22.5,0.0,13.1,32.4,39600.0
2000-02-07,30.5,13.5,22.6,0.0,12.0,33.8,39600.0
2000-02-08,30.5,14.6,23.1,0.0,12.0,30.6,39600.0
2000-02-09,27.8,17.4,22.4,0.0,14.3,36.4,39600.0
2000-02-10,28.1,18.5,22.5,0.0,17.2,41.8,39600.0
2000-02-11,28.6,15.2,22.5,0.0,17.4,41.0,39600.0
2000-02-12,28.0,15.8,22.1,0.0,15.1,38.9,39600.0
2000-02-13,30.1,17.5,23.1,0.0,13.8,34.9,39600.0
2000-02-14,28.5,17.4,22.2,0.0,17.1,41.8,39600.0
2000-02-15,29.4,14.2,22.0,0.0,15.9,37.4,39600.0
2000-02-16,28.3,16.6,21.8,0.0,18.5,44.6,39600.0
2000-02-17,27.9,16.3,21.2,0.0,18.5,46.1,39600.0
2000-02-18,29.0,15.1,21.6,0.0,16.6,39.6,39600.0
2000-02-19,29.9,15.0,22.8,0.0,14.3,35.3,39600.0
2000-02-20,31.2,15.4,23.6,0.0,14.3,34.6,39600.0
2000-02-21,31.0,16.1,24.0,0.0,13.4,33.1,39600.0
2000-02-22,31.9,15.7,24.5,0.0,13.0,29.2,39600.0
2000-02-23,31.0,15.7,24.1,0.0,14.1,34.2,39600.0
2000-02-24,31.1,18.0,24.1,0.0,15.4,38.5,39600.0
2000-02-25,28.8,18.0,23.2,0.0,14.8,37.1,39600.0
2000-02-26,30.2,17.2,23.7,0.0,15.1,36.4,39600.0
2000-02-27,31.3,16.5,24.1,0.0,16.9,40.3,39600.0
2000-02-28,28.7,18.2,22.6,0.0,17.0,43.2,39600.0
2000-02-29,28.2,15.6,22.0,0.0,19.5,46.1,39600.0
2000-03-01,28.6,14.1,21.9,0.0,20.7,48.2,39600.0
2000-03-02,27.5,17.5,21.8,0.0,16.3,40.0,39600.0
2000-03-03,28.0,15.9,21.8,0.0,17.3,41.8,39600.0
2000-03-04,29.3,16.1,22.6,0.0,13.6,36.4,39600.0
2000-03-05,32.3,14.9,24.4,0.0,13.2,32.8,39600.0
2000-03-06,31.7,17.0,25.0,0.0,13.3,33.1,39600.0
2000-03-07,33.1,16.2,25.4,0.0,10.8,24.1,39600.0
2000-03-08,31.8,17.2,24.9,0.0,16.0,39.6,39600.0
2000-03-09,30.1,16.3,23.3,0.0,16.2,37.4,39606.91
2000-03-10,29.7,17.6,23.2,0.0,17.5,42.5,39602.81
2000-03-11,28.6,18.1,23.2,0.0,16.5,40.0,39600.0
2000-03-12,29.8,16.9,23.0,0.0,17.0,41.0,39600.0
2000-03-13,30.3,16.2,22.9,0.0,14.3,36.4,39657.18
2000-03-14,32.4,14.9,24.1,0.0,14.9,36.4,39724.05
2000-03-15,32.4,14.6,24.5,0.0,15.8,37.4,39722.16
2000-03-16,31.8,15.3,24.2,0.0,14.8,36.7,39720.0
2000-03-17,33.0,16.3,25.4,0.0,10.8,25.2,39793.02
2000-03-18,32.8,17.6,25.7,0.0,10.9,29.9,39791.95
2000-03-19,29.7,19.6,24.7,0.2,14.6,36.7,39600.0
2000-03-20,31.6,17.2,24.9,0.0,15.8,38.2,39869.26
2000-03-21,31.5,17.5,24.7,0.0,16.9,42.1,39868.88
2000-03-22,33.7,15.9,25.5,0.0,12.5,34.6,39868.19
2000-03-23,33.2,15.7,25.3,0.0,17.6,42.8,40037.17
2000-03-24,34.5,18.5,27.2,0.0,21.5,51.5,40125.44
2000-03-25,32.7,17.4,25.7,0.0,12.8,32.0,40128.34
2000-03-26,30.8,18.9,24.6,0.1,15.6,37.8,39772.77
2000-03-27,32.8,17.2,25.3,0.0,14.1,32.0,40133.07
2000-03-28,33.2,17.4,25.7,0.0,14.2,34.6,40319.8
2000-03-29,32.4,18.2,26.0,0.0,8.9,25.9,40417.96
2000-03-30,29.5,19.5,24.4,0.5,11.0,35.6,40328.05
2000-03-31,31.6,18.6,24.5,3.0,16.8,45.4,40138.5
2000-04-01,32.7,17.7,24.7,0.0,16.2,45.0,39943.3
2000-04-02,33.2,18.1,25.3,0.0,16.9,38.2,40436.89
2000-04-03,32.8,18.0,25.8,0.0,16.6,38.9,40741.95
2000-04-04,31.3,16.9,25.2,0.0,11.3,28.8,40850.65
2000-04-05,29.7,19.6,24.6,0.0,14.3,33.1,32501.13
2000-04-06,31.9,20.6,25.4,0.0,19.5,45.0,40865.86
2000-04-07,32.3,19.4,25.3,0.0,18.3,42.8,41256.16
2000-04-08,32.3,18.1,25.1,0.0,17.9,40.7,41197.68
2000-04-09,32.9,16.3,25.4,0.0,15.3,36.0,41314.74
2000-04-10,31.7,17.4,24.7,0.1,15.1,41.8,41216.05
2000-04-11,30.2,18.3,24.9,0.1,13.6,38.9,41372.86
2000-04-12,31.3,19.1,25.6,0.0,16.4,36.7,41401.73
2000-04-13,29.4,19.7,23.3,11.8,9.4,31.7,34720.64
2000-04-14,30.4,18.4,23.5,2.2,9.8,28.1,41458.86
2000-04-15,30.1,17.6,23.5,3.6,12.9,30.6,41030.92
2000-04-16,30.2,19.4,24.1,1.6,9.9,27.0,40694.45
2000-04-17,29.2,18.8,23.9,0.8,10.0,23.0,39600.0
2000-04-18,29.6,18.7,24.0,1.2,11.4,32.8,41278.32
2000-04-19,30.5,19.6,24.5,0.3,11.1,30.2,39600.0
2000-04-20,30.9,18.4,24.9,0.0,10.9,29.9,41621.67
2000-04-21,32.7,19.4,26.2,0.1,15.3,34.9,41647.04
2000-04-22,32.9,18.9,26.2,0.0,15.3,38.9,41671.77
2000-04-23,31.9,19.6,25.7,0.0,17.1,42.8,41668.2
2000-04-24,31.7,19.2,25.6,0.0,16.7,38.9,41719.14
2000-04-25,32.2,19.2,25.8,0.0,14.1,31.7,41683.04
2000-04-26,32.9,20.6,26.1,0.2,11.5,28.4,41202.07
2000-04-27,31.9,21.0,25.9,0.6,12.2,33.1,41696.72
2000-04-28,30.9,18.9,23.7,9.0,9.2,32.8,40334.49
2000-04-29,28.8,18.6,23.0,23.0,8.6,23.0,36062.36
2000-04-30,27.6,18.7,22.6,7.5,9.3,26.6,41341.93
2000-05-01,27.7,17.8,22.3,7.7,8.7,30.6,41846.28
2000-05-02,28.2,18.0,22.5,11.2,9.6,28.8,31599.29
2000-05-03,27.6,18.0,22.0,10.5,9.1,28.8,27748.71
2000-05-04,26.8,18.6,22.2,9.6,11.6,30.6,29895.68
2000-05-05,25.4,18.3,21.4,6.2,9.5,27.0,16408.66
2000-05-06,26.3,17.9,21.7,6.9,8.4,23.0,27244.08
2000-05-07,27.9,19.1,23.1,0.0,8.7,24.1,41753.34
2000-05-08,29.1,19.4,23.7,0.1,9.8,26.6,41969.07
2000-05-09,28.1,18.2,22.9,0.5,12.1,29.2,41375.89
2000-05-10,27.5,19.2,22.9,0.6,8.2,23.0,41379.21
2000-05-11,29.0,19.4,23.7,0.0,13.0,32.8,41771.85
2000-05-12,30.0,19.1,24.0,0.0,15.5,39.2,42016.75
2000-05-13,30.9,17.2,23.8,0.0,14.3,34.6,41780.25
2000-05-14,30.2,18.1,24.0,3.7,9.5,29.2,42036.23
2000-05-15,31.0,18.8,24.6,1.1,10.2,24.5,41919.22
2000-05-16,31.9,18.7,25.3,1.1,11.4,25.2,42052.67
2000-05-17,31.4,19.4,25.2,1.2,12.5,30.2,42059.71
2000-05-18,31.3,19.3,25.2,0.6,11.3,27.0,42065.95
2000-05-19,32.0,19.0,25.4,1.2,12.3,28.8,42071.3
2000-05-20,31.5,19.0,25.1,1.3,12.7,32.0,42075.75
2000-05-21,32.2,18.9,25.4,0.8,12.2,28.8,42079.31
2000-05-22,33.4,18.7,26.0,0.0,11.5,29.2,42075.73
2000-05-23,32.6,19.3,25.9,0.0,11.4,27.0,41812.77
2000-05-24,32.2,19.2,25.3,2.6,12.1,30.6,41682.16
2000-05-25,32.0,19.3,25.4,1.6,13.4,33.5,41551.21
2000-05-26,32.0,18.8,25.8,0.0,13.9,33.5,40845.21
