Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,6.4,5.6,5.9,1.4,10.0,20.9,0.0
2000-01-02,6.8,5.0,5.8,0.1,5.5,14.0,624.58
2000-01-03,8.2,1.1,4.3,0.0,12.9,30.2,27065.04
2000-01-04,8.1,3.2,5.3,0.0,19.4,41.4,21534.86
2000-01-05,9.2,4.1,6.9,0.0,17.8,36.4,13804.56
2000-01-06,9.5,4.0,6.3,0.0,17.6,38.9,26753.47
2000-01-07,7.3,4.7,5.8,0.4,12.2,23.4,0.0
2000-01-08,7.6,5.0,6.1,0.9,14.8,32.0,439.0
2000-01-09,6.2,1.7,4.5,9.8,15.3,31.0,0.0
2000-01-10,1.5,-0.4,0.4,0.0,11.9,24.8,2856.59
2000-01-11,2.7,-0.6,0.5,0.0,8.4,22.3,9198.5
2000-01-12,3.9,-2.0,0.3,0.0,7.5,14.8,27907.79
2000-01-13,4.0,-2.1,0.5,0.0,14.5,28.4,28023.54
2000-01-14,7.1,-0.4,2.7,0.0,12.5,23.8,28142.99
2000-01-15,5.6,-0.2,1.7,0.0,13.6,28.1,28265.99
2000-01-16,1.0,-1.6,-0.7,0.0,19.0,41.0,1806.63
2000-01-17,1.4,-2.5,-0.7,0.0,13.5,29.2,1999.42
2000-01-18,3.6,0.4,2.0,1.5,16.9,34.9,0.0
2000-01-19,3.3,0.0,1.7,0.6,20.2,43.6,14743.18
2000-01-20,1.6,-1.4,-0.3,0.0,14.8,30.6,25730.41
2000-01-21,2.2,-1.1,0.2,0.0,10.8,26.3,3880.12
2000-01-22,2.9,-0.4,1.0,3.7,22.8,47.9,12300.31
2000-01-23,1.7,-0.6,0.3,3.2,17.6,36.4,23596.26
2000-01-24,0.2,-3.0,-1.1,0.6,13.4,27.0,24213.22
2000-01-25,-1.2,-5.7,-3.7,0.0,15.3,33.1,29143.8
2000-01-26,4.9,-5.9,-1.6,0.0,10.2,23.0,29249.72
2000-01-27,7.4,-2.9,0.6,0.0,9.4,15.5,29323.16
2000-01-28,7.1,-0.5,2.7,0.0,15.4,36.7,29182.44
2000-01-29,7.3,2.0,4.7,0.3,28.0,59.0,0.0
2000-01-30,7.9,6.5,7.1,0.1,23.5,50.8,1031.65
2000-01-31,9.1,4.8,6.7,0.0,13.4,29.2,8011.99
2000-02-01,14.2,2.7,7.7,0.0,17.9,37.1,30449.64
2000-02-02,10.0,6.7,8.6,7.1,21.6,43.2,0.0
2000-02-03,6.0,1.2,3.2,0.1,14.9,30.6,19214.21
2000-02-04,11.3,-0.2,4.4,0.0,9.2,17.6,30435.01
2000-02-05,16.4,2.4,7.9,0.0,14.2,25.2,29287.17
2000-02-06,13.3,5.6,9.0,0.0,17.7,35.3,29697.71
2000-02-07,8.1,5.7,7.1,3.5,25.0,52.2,13583.82
2000-02-08,10.7,8.0,9.2,3.2,28.4,64.4,4006.26
2000-02-09,7.7,3.4,5.5,0.0,20.1,43.2,27487.86
2000-02-10,10.3,-0.3,4.8,0.2,21.4,43.9,22897.46
2000-02-11,7.8,0.7,2.9,5.0,20.2,41.8,31627.13
2000-02-12,4.8,-1.5,1.5,0.0,16.3,32.8,32801.32
2000-02-13,5.0,2.7,3.6,3.0,23.4,46.4,65.21
2000-02-14,8.4,3.8,6.0,1.4,15.2,31.3,6499.12
2000-02-15,9.3,6.8,8.0,1.9,22.9,52.6,14386.31
2000-02-16,6.9,1.6,4.3,7.4,30.3,64.4,19619.33
2000-02-17,6.0,1.1,2.9,3.0,18.4,49.0,31670.56
2000-02-18,8.3,2.2,6.4,4.6,29.5,65.9,0.0
2000-02-19,7.8,3.5,5.8,4.0,23.0,53.6,28589.32
2000-02-20,3.2,-0.7,1.5,0.3,15.2,32.8,27466.33
2000-02-21,5.2,-2.7,0.5,0.0,10.2,22.7,30258.35
2000-02-22,6.9,-2.3,1.5,0.0,7.6,19.4,32167.4
2000-02-23,8.4,-2.0,2.9,0.0,9.7,17.3,28360.11
2000-02-24,9.5,4.9,6.8,0.0,14.9,32.0,4155.15
2000-02-25,10.4,7.1,8.3,0.0,13.7,28.1,2763.92
2000-02-26,12.6,3.7,7.8,0.0,8.8,21.6,32796.83
2000-02-27,18.0,4.7,10.2,0.0,17.4,32.4,35692.17
2000-02-28,13.3,6.8,9.7,2.6,32.2,67.0,21393.28
2000-02-29,8.4,4.0,6.1,8.9,35.4,79.6,8750.44
2000-03-01,7.3,2.5,5.6,19.0,22.8,64.8,12706.41
2000-03-02,6.2,0.2,3.1,0.4,15.3,33.8,36000.0
2000-03-03,8.0,2.3,5.2,0.0,23.8,50.4,8674.2
2000-03-04,6.5,2.1,4.6,7.0,26.4,52.6,36245.88
2000-03-05,5.6,-1.5,1.8,0.0,12.4,32.8,36500.2
2000-03-06,12.3,-1.8,4.5,0.0,11.7,19.8,36724.13
2000-03-07,11.8,-0.2,5.3,0.0,8.9,17.3,36858.39
2000-03-08,13.8,-0.7,6.4,0.0,7.2,19.4,36716.95
2000-03-09,14.7,2.7,8.3,0.0,9.9,23.4,37476.41
2000-03-10,11.9,6.0,8.3,0.1,8.1,21.2,27303.65
2000-03-11,14.4,3.3,8.9,0.0,8.4,22.7,37707.52
2000-03-12,10.9,6.0,7.8,0.0,14.8,35.3,35930.09
2000-03-13,13.0,2.3,7.3,0.0,11.1,26.6,38800.0
2000-03-14,14.7,3.2,9.0,0.1,15.9,42.1,37240.46
2000-03-15,9.6,3.7,5.8,0.7,19.2,41.0,25515.42
2000-03-16,9.4,-0.2,4.7,0.0,12.7,31.0,36753.75
2000-03-17,8.9,3.0,6.1,0.0,17.2,35.6,9268.4
2000-03-18,6.9,4.7,5.8,0.0,18.9,41.4,5719.61
2000-03-19,7.6,0.9,4.5,0.0,19.7,40.7,10403.03
2000-03-20,11.5,2.4,6.2,0.0,23.5,49.0,40335.51
2000-03-21,14.5,0.3,7.7,0.0,13.7,29.5,40532.48
2000-03-22,16.1,2.9,9.2,0.5,10.8,22.0,40729.8
2000-03-23,15.0,4.1,9.8,3.8,19.6,40.3,35468.69
2000-03-24,12.0,6.7,9.2,4.8,19.7,41.0,36969.55
2000-03-25,12.9,5.3,7.8,7.1,14.9,39.2,30576.27
2000-03-26,7.1,3.0,4.7,4.6,19.3,45.7,28775.56
2000-03-27,5.7,2.2,3.7,4.9,10.8,22.7,16254.61
2000-03-28,6.9,1.1,3.3,2.5,15.6,34.6,32225.43
2000-03-29,6.3,0.4,3.0,3.7,16.7,32.8,16474.56
2000-03-30,8.6,1.2,4.5,0.5,18.5,39.6,41003.08
2000-03-31,8.8,1.3,4.9,1.4,13.0,37.8,41482.41
2000-04-01,10.3,3.6,6.3,1.4,17.1,40.3,39484.61
2000-04-02,16.5,3.2,9.3,0.0,22.1,46.1,42756.25
2000-04-03,14.0,7.0,9.1,8.6,19.9,67.0,29959.55
2000-04-04,9.1,5.7,7.0,6.3,26.7,52.2,13093.4
2000-04-05,6.3,2.6,4.5,1.9,14.4,31.0,565.9
2000-04-06,7.4,2.2,4.2,0.2,13.5,30.2,4959.42
2000-04-07,10.8,0.1,5.4,0.0,19.7,41.4,43438.66
2000-04-08,16.8,2.0,9.3,0.0,16.2,31.3,43590.8
2000-04-09,11.1,5.3,8.1,3.1,13.0,27.0,6194.99
2000-04-10,13.1,4.8,8.7,0.2,12.3,25.6,39548.29
2000-04-11,12.1,5.0,8.3,1.3,29.2,61.2,39257.13
2000-04-12,8.9,2.7,5.4,8.4,29.6,75.2,43478.69
2000-04-13,10.4,3.9,6.4,1.1,23.8,63.0,39772.48
2000-04-14,17.8,4.5,10.4,7.1,23.9,56.5,43200.0
2000-04-15,11.3,4.9,7.5,4.0,34.4,76.7,44445.57
2000-04-16,14.8,5.0,8.7,11.7,19.7,47.9,10339.25
2000-04-17,10.7,5.9,8.0,0.4,26.7,56.5,43456.96
2000-04-18,14.5,5.5,9.2,1.7,18.2,41.0,38424.98
2000-04-19,12.9,5.8,8.8,0.0,20.5,42.5,42639.58
2000-04-20,19.3,5.3,12.1,0.0,11.4,23.0,40158.49
2000-04-21,19.4,10.2,14.3,0.0,13.1,25.9,33267.87
2000-04-22,18.7,11.2,14.4,19.6,15.3,41.0,34668.38
2000-04-23,11.2,7.5,9.9,23.1,15.9,34.6,4620.32
2000-04-24,14.7,5.3,9.4,0.0,14.9,29.2,45451.55
2000-04-25,19.5,8.5,13.9,1.0,11.3,29.2,44594.77
2000-04-26,13.9,10.3,12.2,0.0,17.9,40.0,28935.2
2000-04-27,13.6,8.7,10.9,9.7,12.4,47.9,6688.72
2000-04-28,10.6,6.8,8.4,2.5,19.5,39.6,0.0
2000-04-29,14.2,3.3,9.3,0.0,12.7,29.2,41752.14
2000-04-30,19.3,5.9,12.8,0.0,11.6,22.7,46210.8
2000-05-01,20.2,6.7,14.0,3.2,12.7,30.6,46566.58
2000-05-02,19.8,9.5,14.7,1.0,14.4,31.7,47300.11
2000-05-03,19.5,12.0,15.0,1.4,9.7,25.9,40523.72
2000-05-04,23.2,10.3,16.6,0.0,10.2,24.5,47660.84
2000-05-05,21.9,11.6,16.0,4.8,10.8,30.6,41973.77
2000-05-06,18.7,11.3,15.1,1.1,11.0,26.3,45817.14
2000-05-07,18.9,11.2,14.9,1.8,9.1,26.3,42657.33
2000-05-08,19.7,11.4,15.4,4.5,8.6,27.4,41322.23
2000-05-09,21.8,10.2,16.0,9.0,12.0,29.2,39600.0
2000-05-10,19.9,11.5,15.3,7.7,12.3,34.2,33347.88
2000-05-11,16.5,12.2,14.1,6.0,16.8,47.5,37901.07
2000-05-12,19.3,9.9,14.8,0.6,7.4,20.2,47130.45
2000-05-13,19.9,9.9,15.5,0.0,6.5,20.2,48257.5
2000-05-14,21.3,10.2,16.6,0.0,9.2,23.0,49417.64
2000-05-15,24.3,12.8,19.0,0.0,10.9,23.4,49535.62
2000-05-16,24.3,14.0,19.1,0.2,14.4,35.3,46846.13
2000-05-17,16.7,11.5,14.2,7.0,13.9,37.1,20048.33
2000-05-18,11.9,7.8,10.2,0.2,20.5,42.8,25940.43
2000-05-19,12.5,7.3,9.8,0.9,20.7,42.1,41982.34
2000-05-20,13.5,8.4,10.7,0.7,12.3,27.7,43710.56
2000-05-21,14.0,8.1,11.1,1.4,21.1,46.1,47998.53
2000-05-22,13.0,7.6,10.3,0.5,9.8,23.8,27540.66
2000-05-23,17.3,6.2,12.2,0.0,5.9,16.2,39838.7
2000-05-24,21.2,8.2,15.2,0.0,13.0,25.9,47483.48
2000-05-25,17.8,12.8,14.7,0.2,21.7,47.9,29312.6
2000-05-26,21.0,10.4,15.2,0.8,23.7,61.2,49056.59
2000-05-27,14.3,8.8,11.6,1.3,23.1,58.3,41671.18
2000-05-28,14.4,11.1,12.5,2.2,28.1,55.1,26506.13
2000-05-29,14.2,7.2,10.7,0.0,11.5,30.2,36915.64
2000-05-30,17.5,10.9,13.8,3.3,31.0,62.3,20242.14
2000-05-31,16.5,11.9,13.9,1.6,23.1,49.3,21773.96
2000-06-01,24.9,12.5,18.0,0.0,8.7,21.6,50400.0
2000-06-02,26.0,15.3,20.9,0.0,14.2,36.7,51048.98
2000-06-03,24.3,14.9,20.1,4.3,10.2,31.0,47070.77
2000-06-04,19.9,15.6,17.2,13.1,11.6,32.0,3032.65
2000-06-05,15.8,11.5,14.5,14.3,20.1,40.3,19599.72
2000-06-06,15.1,10.0,12.4,1.4,14.3,32.4,31734.93
2000-06-07,15.9,8.6,12.3,0.0,11.7,27.0,39652.59
2000-06-08,25.8,9.6,17.6,0.0,14.5,32.4,51433.79
2000-06-09,24.5,16.5,20.2,0.4,23.0,45.4,48923.53
2000-06-10,15.9,11.9,13.4,14.7,19.3,36.0,0.0
2000-06-11,16.4,10.2,12.9,5.3,13.8,34.9,24090.49
2000-06-12,18.6,11.0,14.7,0.0,14.3,29.9,50466.16
2000-06-13,22.5,10.9,17.1,0.0,12.1,29.5,51165.77
