Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,3.4,-1.2,1.0,1.3,16.0,32.0,0.0
2000-01-02,3.0,1.3,2.0,0.0,16.2,33.5,16108.3
2000-01-03,3.0,0.9,2.1,0.0,21.6,45.7,16478.09
2000-01-04,5.6,1.7,3.6,5.3,25.4,50.0,0.0
2000-01-05,6.1,-1.3,2.9,0.8,26.0,54.4,23984.01
2000-01-06,4.4,-1.2,1.3,0.0,18.1,35.6,21358.39
2000-01-07,6.2,3.8,5.0,0.0,16.4,34.9,5899.63
2000-01-08,4.5,2.5,3.8,0.0,20.6,41.8,1551.24
2000-01-09,4.8,2.8,4.2,2.8,11.7,23.8,0.0
2000-01-10,2.5,-0.7,0.9,0.0,9.4,17.6,5139.84
2000-01-11,2.6,-2.9,-0.7,0.0,10.6,19.8,21113.03
2000-01-12,1.6,-2.1,-0.4,0.0,15.0,29.2,16783.61
2000-01-13,0.8,-4.5,-2.1,0.0,13.5,24.8,24914.26
2000-01-14,2.0,-2.7,-0.6,0.0,6.7,14.0,0.0
2000-01-15,1.5,-1.2,-0.1,0.0,10.4,20.5,0.0
2000-01-16,2.5,-1.6,0.4,0.2,19.4,36.7,0.0
2000-01-17,5.1,2.9,4.3,0.9,30.8,59.8,0.0
2000-01-18,5.0,0.1,3.8,3.7,35.1,85.3,19100.75
2000-01-19,1.9,-2.3,-0.5,0.0,20.1,40.7,25218.02
2000-01-20,2.6,-3.1,0.5,1.0,26.3,52.2,319.6
2000-01-21,3.0,-2.9,1.4,3.7,31.0,73.1,20513.04
2000-01-22,2.4,-2.7,0.3,4.0,19.7,38.2,0.0
2000-01-23,0.6,-6.3,-2.8,0.0,17.1,33.5,15260.02
2000-01-24,-2.9,-8.2,-5.7,0.0,8.2,19.8,25565.07
2000-01-25,-2.3,-7.7,-5.0,0.0,11.8,23.8,25856.62
2000-01-26,0.3,-6.0,-2.6,0.0,20.2,39.6,0.0
2000-01-27,2.0,-1.0,0.1,0.0,22.0,47.5,13712.69
2000-01-28,2.2,-2.8,-0.6,0.0,24.7,49.0,25480.44
2000-01-29,7.0,1.4,3.8,8.9,37.3,85.7,0.0
2000-01-30,6.8,3.5,5.2,7.8,33.7,89.6,26809.42
2000-01-31,8.3,6.6,7.5,5.3,37.4,77.0,3471.68
2000-02-01,7.3,4.4,5.9,0.0,22.3,49.3,11126.18
2000-02-02,6.5,3.5,5.5,0.8,22.5,44.6,0.0
2000-02-03,6.0,2.0,3.7,2.6,25.2,56.5,27917.34
2000-02-04,5.6,1.3,3.8,0.4,28.2,52.9,1120.46
2000-02-05,11.0,5.4,7.2,0.0,24.0,47.9,28163.15
2000-02-06,11.1,4.8,7.2,0.0,18.1,36.0,21194.06
2000-02-07,8.3,5.3,7.2,0.6,25.2,49.3,14578.92
2000-02-08,10.4,5.2,7.7,3.4,36.6,70.6,5287.27
2000-02-09,7.5,1.8,4.0,0.6,34.2,72.0,16637.01
2000-02-10,8.1,2.2,4.7,1.5,25.1,50.0,30136.9
2000-02-11,5.9,-1.4,3.3,1.6,20.6,46.1,28755.12
2000-02-12,4.3,-3.4,0.4,1.2,27.4,54.7,31125.66
2000-02-13,5.4,1.3,2.6,2.4,26.4,54.4,28946.87
2000-02-14,4.9,0.8,2.3,0.1,22.7,45.0,30681.52
2000-02-15,6.6,1.6,4.9,4.2,21.2,42.5,2457.82
2000-02-16,4.6,-0.6,2.9,4.9,31.7,75.2,23981.55
2000-02-17,3.1,-2.7,0.1,1.4,18.1,41.0,32222.11
2000-02-18,2.2,-2.3,0.7,1.8,23.1,43.9,1979.93
2000-02-19,4.9,0.7,2.3,2.6,15.2,32.4,21819.01
2000-02-20,3.4,-3.1,1.0,3.9,19.6,37.8,18438.42
2000-02-21,1.7,-3.9,-1.4,0.0,12.2,22.7,30053.69
2000-02-22,4.8,-2.3,1.2,0.4,17.7,34.9,21872.32
2000-02-23,5.0,-0.3,2.0,1.1,10.5,23.0,25230.98
2000-02-24,6.3,-0.4,3.3,3.6,22.7,45.7,0.0
2000-02-25,4.7,1.5,3.2,17.3,20.0,40.7,11715.57
2000-02-26,6.5,-0.8,2.6,0.0,15.1,31.7,21677.42
2000-02-27,8.4,-2.5,2.7,0.0,17.0,34.9,33932.87
2000-02-28,14.4,4.8,8.6,3.6,28.2,70.2,30571.99
2000-02-29,9.0,3.8,6.0,0.5,28.8,56.9,13997.5
2000-03-01,7.1,2.3,5.2,5.3,29.0,56.9,16669.26
2000-03-02,5.7,0.9,2.9,0.0,26.6,50.8,29003.56
2000-03-03,6.8,1.8,4.2,7.9,40.6,82.4,0.0
2000-03-04,3.3,-1.2,1.2,0.3,28.3,69.5,31408.67
2000-03-05,3.3,-1.9,0.3,0.0,25.1,57.2,35006.48
2000-03-06,8.0,0.5,4.1,0.0,29.8,57.6,30686.61
2000-03-07,10.3,4.2,6.9,0.4,30.3,61.2,9906.87
2000-03-08,10.0,7.3,8.4,5.5,29.3,64.8,0.0
2000-03-09,12.0,7.2,10.2,8.3,39.0,91.8,15144.5
2000-03-10,6.5,1.6,3.7,0.8,22.6,50.4,10618.56
2000-03-11,8.7,4.2,7.0,6.5,31.2,76.7,23373.83
2000-03-12,6.2,2.1,4.4,0.0,18.8,46.1,9140.14
2000-03-13,10.0,2.3,6.2,1.6,13.2,28.1,16723.74
2000-03-14,9.6,3.4,7.3,8.1,26.9,60.5,0.0
2000-03-15,5.3,0.3,2.6,1.8,27.6,69.5,35565.21
2000-03-16,6.3,2.3,4.2,2.0,28.8,58.7,35209.02
2000-03-17,6.6,3.5,5.3,6.5,27.5,52.6,427.74
2000-03-18,6.0,2.9,4.3,6.1,7.6,13.7,792.64
2000-03-19,6.6,2.0,4.4,0.3,15.0,33.5,36931.15
2000-03-20,9.9,0.2,4.7,0.0,10.0,24.5,37656.14
2000-03-21,10.8,-0.4,4.7,0.0,7.3,17.3,37055.25
2000-03-22,14.8,-0.3,7.2,0.0,10.4,25.2,39781.24
2000-03-23,14.4,1.4,8.6,0.0,10.5,20.5,39011.07
2000-03-24,12.0,3.9,7.9,5.0,13.7,36.4,6817.78
2000-03-25,13.7,7.4,9.8,0.4,17.2,40.0,36551.13
2000-03-26,9.6,3.4,6.7,0.0,18.7,38.2,26008.82
2000-03-27,9.3,2.2,5.5,1.3,15.0,32.0,22048.14
2000-03-28,5.1,1.6,3.2,1.4,13.7,26.3,456.5
2000-03-29,6.9,2.6,4.9,0.0,24.8,54.7,0.0
2000-03-30,7.0,4.7,6.0,3.9,23.9,47.9,0.0
2000-03-31,8.9,3.9,5.9,1.3,14.0,31.3,31017.91
2000-04-01,10.0,1.0,5.8,0.2,14.0,22.7,12973.98
2000-04-02,11.5,-1.1,5.6,0.1,16.1,30.2,7677.91
2000-04-03,16.3,0.5,8.5,0.0,15.3,34.2,42588.51
2000-04-04,15.6,5.5,10.0,5.1,20.9,49.0,29105.49
2000-04-05,8.0,2.6,5.6,0.0,17.9,35.3,3687.2
2000-04-06,7.6,-2.2,3.1,0.0,15.6,34.6,42895.97
2000-04-07,9.7,-1.3,4.5,0.0,19.9,39.6,30770.34
2000-04-08,9.4,1.8,5.8,0.0,8.2,17.6,15027.06
2000-04-09,9.6,0.6,5.6,0.8,19.2,39.2,43235.63
2000-04-10,9.2,-0.6,4.9,0.1,14.4,33.5,41795.61
2000-04-11,11.7,1.3,6.4,0.3,10.6,24.5,45086.73
2000-04-12,9.1,3.1,6.2,2.0,20.7,54.7,20496.06
2000-04-13,11.3,1.8,6.7,1.3,26.0,59.4,44823.8
2000-04-14,9.9,4.7,7.3,0.7,22.3,42.1,18109.73
2000-04-15,14.6,2.9,7.9,7.1,17.3,32.0,22877.11
2000-04-16,13.9,4.5,8.7,0.0,22.1,45.4,39600.0
2000-04-17,14.9,4.7,10.5,0.4,20.0,42.1,38684.42
2000-04-18,15.0,5.8,10.7,0.9,12.5,27.4,20538.94
2000-04-19,13.4,8.4,10.6,12.9,11.0,22.0,4531.86
