Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
01-01-2000,27.3,12.9,20,0,9,22,35850.03
02-01-2000,26.8,12.8,19.7,0,9.8,24.8,35884.66
03-01-2000,26.4,13,19.6,0,9.4,19.8,35920.25
04-01-2000,26.2,13.4,19.6,0,9.8,20.2,35880.49
05-01-2000,26.3,12.6,19.2,0,9.8,21.2,35918.76
06-01-2000,26.6,13.6,19.2,0,11.4,24.5,35957.75
07-01-2000,26.1,12.3,18.6,0,10.3,23.8,36071.04
08-01-2000,27,10.4,19.1,0,7.9,17.6,36110.44
09-01-2000,27.8,11.7,20.6,0,7.9,18.4,36078.16
10-01-2000,28.7,13,21,0,7.8,17.3,36119.18
11-01-2000,29.6,13.5,21.8,0,9.3,23,36160.49
12-01-2000,29.7,15.1,22.5,0,12,28.4,36131.41
13-01-2000,30,17.6,23.2,0,8.3,22.3,36173.46
14-01-2000,30.6,16.3,23.4,0,9.1,23.4,36145.52
15-01-2000,30,19,24.4,0.1,8.7,37.8,36009.08
16-01-2000,28.8,18.8,23.6,0.1,14.4,29.9,36148.39
17-01-2000,28.3,18.3,23,0,14.8,27.4,36078.5
18-01-2000,29.4,17.2,23,0,10.6,22.3,36217.7
19-01-2000,29.5,14.4,22,0,8.7,17.3,36287.64
20-01-2000,30.8,15.7,22.6,0,11.9,27,36287.98
21-01-2000,30.9,14.8,23.5,0,8.7,18.4,36288.48
22-01-2000,30.6,15.8,23.7,0,10,19.8,36218.03
23-01-2000,28.9,15.8,22.9,0,10.3,23.4,36289.89
24-01-2000,28.9,16,22.1,0,13,30.2,36290.74
25-01-2000,29,15.4,21.9,0,10.2,26.3,36291.68
26-01-2000,29.3,15.6,22.7,0,8.9,24.8,36292.66
27-01-2000,30.1,15,23.3,0,8.7,23.4,36293.66
28-01-2000,28.9,17.2,23,0,13.5,29.2,36219.22
29-01-2000,27.1,15.4,21,0,11.9,25.9,36322.14
30-01-2000,27.8,11.9,19.8,0,8,19.4,36455.74
31-01-2000,29.6,12.8,21.2,0,9.8,21.6,36456.71
01-02-2000,30.8,15.9,23,0,16.6,33.5,36457.11
02-02-2000,29.6,16.6,22.9,0,11.9,28.8,36376.21
03-02-2000,30.8,17.7,23.6,0,9.1,18.7,36374.34
04-02-2000,32,16.9,24.9,0,13.3,29.9,36525.99
05-02-2000,29.8,19.5,24.5,0,10.8,25.9,36357.59
06-02-2000,28.7,17.3,23,0,10,21.6,36601.57
07-02-2000,28.4,17.2,22.4,0,13.6,29.2,36689.94
08-02-2000,29.5,16.8,23.2,0,10.4,22.3,36612.74
09-02-2000,29.5,19.3,24.1,0,13.2,28.8,36603.54
10-02-2000,30.5,17.3,24.1,0,10.9,21.2,33547.28
11-02-2000,30.9,21.9,25.6,0.5,14.8,32.8,36500.8
12-02-2000,29,18,23.5,0,10.5,22.7,36866.2
13-02-2000,29.2,18.2,23.7,0,13.7,28.8,36692.72
14-02-2000,28.8,19.5,24,0,16.4,33.1,36512.33
15-02-2000,30.1,18.5,24.3,0,12.5,29.5,37075.66
16-02-2000,29.7,20.5,24.9,3,9.4,26.6,36785.84
17-02-2000,31.5,19.7,24.9,0.1,12.2,25.2,37455.44
18-02-2000,29.3,15.9,22.6,0,11.3,27.7,38074.45
19-02-2000,30.3,15.6,22.5,0,12.3,29.5,38194.52
20-02-2000,27.2,19.8,22.7,1.8,14.2,38.9,36159.64
21-02-2000,28.2,18.6,22.9,1.3,12.5,39.2,36282.43
22-02-2000,29.3,20,23.9,0.7,13.7,25.9,34461.82
23-02-2000,28,20,23.7,0.4,15.1,31.3,36201.82
24-02-2000,21.2,16.3,18.5,18.8,14.6,31.3,1285.54
25-02-2000,23.5,15.7,19.4,0.7,10.7,24.1,28500.67
26-02-2000,27.8,15.8,21.3,0,8.5,20.5,38272.13
27-02-2000,28.8,15.8,22.1,0,10.2,19.1,39109.99
28-02-2000,30.6,15,23.2,0,9.3,17.6,39265.49
29-02-2000,32.2,15.3,24.1,0,9.6,16.6,39316.33
01-03-2000,34.4,16.4,25.3,0,10.8,26.6,39475.52
02-03-2000,35.1,17.1,26.1,0,13.4,28.8,39528.48
03-03-2000,35.2,16.7,26.3,0,12.8,28.4,39691.32
04-03-2000,34.4,18.4,26.7,0,9.4,17.6,39746.11
05-03-2000,34.1,19.4,26.5,0,10.8,27.7,39912.13
06-03-2000,34.5,18.1,26.5,0,15.2,26.3,39856.84
07-03-2000,34.4,21.9,27.6,0,12.4,26.6,40024.95
08-03-2000,33.1,19.2,26.4,0,10.7,22.7,40081.7
09-03-2000,32.6,17.5,25.5,0,11.8,25.2,40263.96
10-03-2000,32.9,16.8,25.1,0,10.2,22.7,40336.86
11-03-2000,35.5,17.1,26.5,0,15,32.8,40409.7
12-03-2000,36.5,18.4,27.6,0,17.3,36,40482.44
13-03-2000,33.4,19.5,26.7,0,13.6,30.6,40555
14-03-2000,33.1,19.8,26.4,0,9.7,19.1,40627.35
15-03-2000,33.3,19.6,26.3,0,12.7,30.2,40699.45
16-03-2000,34.2,19.2,26.8,0,11.3,23.4,40771.21
17-03-2000,35.9,18.4,27.9,0,9.9,25.6,40842.62
18-03-2000,35.6,19.7,27.9,0,10.9,23.4,40913.61
19-03-2000,35.6,20.2,28.1,0,12.6,29.2,40984.1
20-03-2000,35.4,21.5,28.7,0,13.1,29.5,41054.38
21-03-2000,36.5,20.2,28.4,0,11.6,25.9,41124.84
22-03-2000,36.3,23.5,29.5,0.9,16.8,39.6,40506.06
23-03-2000,35.6,23.7,29.6,0,14.8,30.6,41266.13
24-03-2000,35.3,22.3,28.5,0,19.2,40.3,41336.86
25-03-2000,35,21.3,27.8,0,16.4,36,41407.58
26-03-2000,35.5,20.6,28.2,0,10.5,22,41478.26
27-03-2000,36.2,23.4,29.4,0,14.5,26.6,41548.84
28-03-2000,37,21.9,29.1,0,10.2,22,41619.28
29-03-2000,37.2,22.7,29.9,0,10.5,25.2,41689.55
30-03-2000,39.2,22.5,31.1,0,11.7,23.4,41759.57
31-03-2000,39.2,22.6,30.7,0,13.2,32.8,41825.62
01-04-2000,39.8,21.7,31.3,0,10.1,22.3,41841.92
02-04-2000,40,23.6,31.9,0,12.6,29.2,41858.25
03-04-2000,40.4,24.6,32.8,0,13.4,29.2,41874.66
04-04-2000,40.9,25.5,33.2,0,10.5,27,41891.16
05-04-2000,41.3,25.3,33.7,0,9.5,24.5,41907.82
06-04-2000,41.3,24.8,33.7,0,12.7,21.6,41924.64
07-04-2000,41.3,27.1,34.4,0,12.1,23.8,41941.67
08-04-2000,41.6,26.6,34.6,0,11,23.8,41958.89
09-04-2000,41.9,25.9,34.3,0,12.2,26.3,41976.11
10-04-2000,40.9,23.7,32.9,0,10.3,24.5,41993.3
11-04-2000,41.4,23.1,32.9,0,9.7,23.4,42010.48
12-04-2000,40.2,24.4,32.9,0,12.2,25.2,42027.68
13-04-2000,41.2,26,34,0,10.1,31.7,42044.91
14-04-2000,42.6,26.1,34.8,0,19.7,29.2,42062.18
15-04-2000,42.1,26.4,35.1,0,14.3,36.4,42079.53
16-04-2000,42,27.8,34.8,0,11.7,25.6,42100.14
17-04-2000,41.5,26.2,34.2,0,9.1,32.4,42114.49
18-04-2000,41.4,27.7,34.3,0,17.6,34.6,42132.15
19-04-2000,41.4,28.7,34.9,0,14,34.2,42149.94
20-04-2000,42.2,27,35,0,13.4,28.4,42221.33
21-04-2000,43.1,27.8,35.8,0,11.3,28.1,42313.94
22-04-2000,42.5,28,35.7,0,22.1,41,41971.41
23-04-2000,41,29.4,34.7,0,16.4,35.6,41369.36
24-04-2000,40.8,27.9,34.8,0,16.8,37.1,42359.14
25-04-2000,41.8,30.1,36,0,20.3,38.5,42462.27
26-04-2000,43,29.9,36.4,0,19.2,36.7,42569.28
27-04-2000,44.2,30.5,37.2,0,16.6,34.6,42588.01
28-04-2000,44.3,31,37.5,0,17.9,38.9,42700.41
29-04-2000,44.5,31.7,37.8,0,18.7,38.9,42720.83
30-04-2000,44,31.3,37.5,0,18.4,40.3,42838.18
01-05-2000,44.4,31.7,37.9,0,18.1,37.8,42958.62
02-05-2000,44.6,32.2,38.1,0,18.7,35.6,42331.47
03-05-2000,44.7,29.6,37.4,0,8.9,25.9,43005.29
04-05-2000,44.5,29.7,37.7,0,15.7,30.2,43131.35
05-05-2000,43,31.3,36.8,0.4,16.4,36,41773.95
06-05-2000,41.3,30.7,35.7,0.3,20.1,37.8,40660.68
07-05-2000,40,29,34.3,1.4,14.2,26.3,42291.04
08-05-2000,38.1,28.5,33.4,0.1,12.2,30.6,42904.82
09-05-2000,39.7,29.1,34.3,0,10.7,24.5,43252.57
10-05-2000,39.5,28.6,34,0,16.4,33.8,42886.69
11-05-2000,39.8,29.9,34.7,0,13.8,32,42966.68
12-05-2000,40.1,29.5,34.8,0,14,35.6,43436.17
13-05-2000,40.3,29.7,34.9,0,18,41,43687.04
14-05-2000,40.8,29.2,35,0,17.2,40,43713.23
15-05-2000,41.1,28.2,35,0,19.8,42.5,43739.2
16-05-2000,40.4,30.9,34.9,0.5,18.5,41,43262.48
17-05-2000,40.2,30.6,34.7,0.1,19.4,41.4,41829.46
18-05-2000,39.7,30.9,34.6,0.1,19.6,43.2,43192.72
19-05-2000,37,27.4,31.3,0.3,21.2,45,41998.36
20-05-2000,34,24.9,28.1,3.8,20.2,46.4,29293.53
21-05-2000,35.2,24.8,29.6,11.5,13.8,37.1,35700.05
22-05-2000,36.5,25.9,31.1,6.6,13.8,34.6,42588.09
23-05-2000,38.8,28.6,33.3,0.1,14.7,34.9,43342.27
24-05-2000,40,29.3,34.3,0,17.4,36.4,43848.41
25-05-2000,40.4,29.4,34.5,0,17.9,38.5,43873.58
26-05-2000,40.6,29.2,34.6,0,17.8,40.7,43898.68
27-05-2000,41.4,29.7,35.4,0,18,40,44045.54
28-05-2000,41.6,30,35.3,0.2,18.8,35.6,43893.39
29-05-2000,38.2,30.1,33.6,0.9,14.6,30.6,40320.66
30-05-2000,36.3,26.3,31.1,8.5,14.1,32.4,36025.89
31-05-2000,36.6,25.8,29.9,10.4,15.6,32.8,35443.34
01-06-2000,36.2,25.4,30.8,1.4,11.3,27.7,39318.5
02-06-2000,39.1,26.4,32.3,3.1,10.7,25.6,41573.57
03-06-2000,37.6,25.8,31.5,9.2,15.3,29.9,37601.3
04-06-2000,36.9,25.5,31.4,9.7,14,29.9,32717.09
05-06-2000,34.6,25.4,28.6,36.8,8.4,28.4,29174.32
06-06-2000,30.3,25.2,26.8,59.1,10.8,27.4,9665.82
07-06-2000,26.9,24.6,25.4,21.4,18.7,37.1,189.18
08-06-2000,29.6,24.3,26,21.8,20.2,39.2,14602.68
09-06-2000,30.8,25.1,27.7,2.1,11.9,24.8,35589.48
10-06-2000,33.4,24.7,28,10.5,9.8,24.1,31253.21
11-06-2000,34.2,26.3,29.6,3,15.5,33.8,32671.08
12-06-2000,33.9,27,29.7,0.2,17.1,40.3,38399.07
13-06-2000,32.7,26.3,29.4,0.2,22,43.9,43679.85
14-06-2000,33,26.6,29.6,0,21.8,50.4,42455.83
15-06-2000,32.6,26.9,29.5,0,22,49.3,39861.99
16-06-2000,33.3,26.9,29.9,0.2,20.9,48.2,42184.3
17-06-2000,34.3,27,29.8,0.3,19.6,41,31378.18
18-06-2000,27.5,24.6,25.9,35.4,17.4,35.3,0
19-06-2000,25.7,24.1,24.7,45.6,14.8,37.1,0
20-06-2000,30,23.7,26.1,25.4,18.4,42.8,21727.35
21-06-2000,32.7,24.2,27.6,13.3,17.7,47.5,30773.59
22-06-2000,28.7,25.2,27.1,0,14.8,32.4,2740.28
23-06-2000,32.7,24.5,28.5,0.2,12.1,32.8,37205.14
24-06-2000,33,25.7,29.1,0,16.3,34.2,43573.29
25-06-2000,33.3,26.6,29.4,0.1,17.7,37.1,43456.36
26-06-2000,33.6,26.2,29.6,0,17,36,43576.23
27-06-2000,34.4,26.3,30,0,16.8,35.6,43330.17
28-06-2000,31.3,25.8,27.5,5.7,15.5,36.7,14028.82
29-06-2000,31.5,23.6,26.7,42.9,14.2,36,32945.22
30-06-2000,30.7,24.1,27.1,14.4,11.1,23.4,37839.17
01-07-2000,29.8,24.2,26.3,8.3,10,22.3,33133.54
02-07-2000,29.7,24.5,27,6.1,16.9,36.4,24380.04
03-07-2000,31.2,24,26.9,4.3,9.4,24.5,32083.08
04-07-2000,31.9,24.1,27.8,1.5,10.7,22,41071.47
05-07-2000,32.2,25.6,29.1,3.3,9.8,24.5,43178.84
06-07-2000,32.8,25.6,29.1,5.7,13.4,32,43200
07-07-2000,31.7,24.8,27.4,11,12,24.8,37733.04
08-07-2000,29.6,24.2,26.2,9.1,15.1,30.2,12949.36
09-07-2000,25.6,23.7,24.5,25.6,14.4,28.4,1023.42
10-07-2000,27.7,24.4,25.7,7.9,18.8,35.3,4397.23
11-07-2000,25.5,24,24.7,21,15.5,28.4,0
12-07-2000,25.6,23.5,24.4,216.3,26.3,44.3,0
13-07-2000,24.6,23.5,24,181.1,25.1,47.9,0
14-07-2000,27.6,23.7,25.5,0.8,18.4,47.2,12730.24
15-07-2000,29.4,24.3,26.3,1.1,22.8,50.4,28619.18
16-07-2000,29.4,24.6,26.3,4,19.5,52.2,17712.87
17-07-2000,27.3,23.4,25.2,14.7,19.8,42.8,5101.11
18-07-2000,27,23.9,25.1,7.6,22.3,55.4,452.91
19-07-2000,25.5,24.4,25.1,9.5,22.4,50.8,0
20-07-2000,29.7,24.7,26.6,0.3,25.6,48.6,30737.72
21-07-2000,29.5,23.6,26.3,0,20.3,38.9,41683.19
22-07-2000,30.5,23.7,26.9,0,17.3,36.4,43200
23-07-2000,30.4,23.3,26.8,0,17.2,35.6,43200
24-07-2000,30.1,24.3,27.2,0.1,16.9,36,42347.74
25-07-2000,30.3,24.2,27.1,0.4,15.6,34.6,35975.06
26-07-2000,29.7,25,27.2,0,19,41,38487.16
27-07-2000,27.4,24.1,25.5,1.6,13.8,39.6,21103.18
28-07-2000,26.5,23.1,24.6,12.2,11.2,23,0
29-07-2000,27.5,21.2,24,4.9,10.7,25.9,7845.54
30-07-2000,30.2,22.2,26.4,0.1,15.6,33.1,39309.91
31-07-2000,31.1,23.2,27.1,0,14.1,32.8,42884.39
01-08-2000,31.1,24,27.3,0.5,13.3,32.4,37536.89
02-08-2000,31.1,23.9,27.3,0,15.2,31.7,40880.57
03-08-2000,31.9,23.3,27.4,0,12.7,28.1,40982.92
04-08-2000,31.8,23.4,27.7,0.1,11.8,27,41498.72
05-08-2000,33,24.7,28.6,0,12.4,27.7,40072.16
