Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,28.5,22.1,24.1,15.4,5.2,21.2,24818.88
2000-01-02,29.4,22.1,24.5,4.5,5.1,19.8,19353.46
2000-01-03,28.5,22.6,24.7,4.6,6.1,22.0,27907.23
2000-01-04,29.4,21.7,25.0,2.2,7.9,32.4,39588.21
2000-01-05,28.4,22.7,25.1,15.1,7.7,29.5,34042.54
2000-01-06,30.0,22.5,24.8,15.1,5.0,22.3,39600.0
2000-01-07,25.3,22.2,23.4,21.9,8.0,20.2,3381.66
2000-01-08,28.5,22.3,24.5,1.5,7.3,22.0,23031.3
2000-01-09,28.8,21.6,24.8,10.1,5.2,16.6,33516.67
2000-01-10,28.2,22.4,24.1,8.7,4.7,20.5,25096.88
2000-01-11,30.3,22.2,25.2,1.5,7.6,22.3,34635.63
2000-01-12,29.5,22.2,24.1,8.7,6.6,18.4,11271.02
2000-01-13,30.5,22.2,25.3,7.8,4.6,25.9,36757.91
2000-01-14,28.5,22.1,24.2,8.2,4.9,23.0,19641.45
2000-01-15,28.7,22.0,24.4,6.9,4.1,19.4,29607.45
2000-01-16,30.0,21.6,24.8,10.6,5.4,18.7,33444.45
2000-01-17,28.9,22.3,24.2,13.3,9.2,20.9,22959.25
2000-01-18,27.4,22.1,24.0,24.8,8.0,25.9,9941.74
2000-01-19,31.3,22.2,26.0,14.0,5.2,27.4,39600.0
2000-01-20,29.9,22.6,24.5,15.4,6.5,22.3,26754.59
2000-01-21,28.3,21.9,24.1,11.6,6.2,21.6,19227.67
2000-01-22,28.9,22.3,25.3,2.3,7.3,25.6,35960.56
2000-01-23,30.0,22.5,25.1,15.6,5.2,34.2,39621.38
2000-01-24,31.2,22.5,26.3,0.4,5.6,31.7,36482.37
2000-01-25,29.2,22.6,25.7,4.5,6.9,24.5,39048.54
2000-01-26,30.6,22.6,25.6,12.9,5.2,20.2,37171.79
2000-01-27,27.7,22.7,25.0,10.9,6.5,18.4,32400.0
2000-01-28,29.1,22.6,23.9,13.8,8.5,23.4,19834.96
2000-01-29,25.5,22.3,23.5,19.2,5.2,19.1,1241.46
2000-01-30,25.8,21.9,23.5,12.0,3.8,22.0,3228.77
2000-01-31,27.2,22.6,24.4,1.0,9.7,23.0,17015.71
2000-02-01,28.1,22.2,24.8,15.0,4.2,16.2,22333.12
2000-02-02,29.7,22.1,25.2,12.0,7.6,21.6,30208.96
2000-02-03,30.1,22.4,24.7,12.8,4.7,24.1,26718.86
2000-02-04,28.2,22.5,24.4,15.4,8.5,33.5,23208.28
2000-02-05,27.5,22.2,23.8,15.1,9.0,33.5,6947.12
2000-02-06,30.3,21.7,25.8,0.1,9.0,31.0,39600.0
2000-02-07,30.9,22.8,26.1,4.5,7.1,28.8,39600.0
2000-02-08,30.8,22.6,25.9,1.1,8.6,30.2,33176.72
2000-02-09,30.3,23.1,25.7,6.9,6.2,31.0,28135.06
2000-02-10,30.1,22.6,26.0,2.4,6.8,23.0,30632.55
2000-02-11,30.3,23.3,25.9,3.6,6.1,24.8,34108.76
2000-02-12,30.4,23.1,26.2,1.5,4.5,18.7,33109.34
2000-02-13,30.9,22.5,26.1,2.3,9.2,18.4,39862.73
2000-02-14,27.8,22.1,24.7,6.1,7.8,22.7,30845.56
2000-02-15,29.4,22.5,24.9,4.4,4.7,20.5,26386.07
2000-02-16,30.4,22.2,25.6,13.4,4.3,20.2,32400.0
2000-02-17,29.8,22.8,25.4,15.8,7.1,20.9,28327.19
2000-02-18,28.4,22.8,24.6,11.2,3.8,19.1,27722.25
2000-02-19,28.9,22.1,24.5,12.5,6.4,17.6,32944.08
2000-02-20,28.2,22.0,24.1,10.5,3.9,24.8,12434.8
2000-02-21,29.7,22.2,25.1,0.0,6.2,34.6,36005.73
2000-02-22,31.6,22.4,26.1,2.1,6.3,25.2,34959.21
2000-02-23,29.0,22.4,24.7,11.6,8.0,23.8,26428.78
2000-02-24,31.1,22.5,25.6,17.0,9.2,18.7,35959.68
2000-02-25,26.2,22.5,23.8,11.0,4.9,20.9,574.21
2000-02-26,30.0,22.1,25.5,0.4,5.3,23.0,33216.03
2000-02-27,28.4,22.2,24.8,7.8,4.5,19.1,29204.28
2000-02-28,30.6,22.6,25.8,1.4,9.3,19.4,33431.27
2000-02-29,32.3,23.2,27.3,0.0,7.8,18.4,30401.36
2000-03-01,31.5,22.7,27.3,0.0,5.5,16.6,38926.29
2000-03-02,33.0,22.4,27.5,0.0,8.2,23.4,39690.21
2000-03-03,32.8,22.7,27.4,0.2,8.9,27.4,39777.94
2000-03-04,32.9,23.6,27.2,1.3,7.6,27.7,38300.92
2000-03-05,31.9,23.7,27.1,0.7,11.6,38.2,30824.92
2000-03-06,33.7,23.4,27.7,0.0,9.8,33.1,39697.0
2000-03-07,33.1,23.3,27.8,1.0,9.8,27.7,39600.0
2000-03-08,32.0,23.8,27.4,0.2,5.7,24.8,30340.72
2000-03-09,33.8,23.9,27.3,11.1,7.7,22.0,38720.76
2000-03-10,28.4,22.7,25.1,7.3,7.4,18.7,6300.22
2000-03-11,32.3,22.7,26.5,18.0,8.4,22.0,39600.0
2000-03-12,28.1,22.7,24.9,9.6,6.6,17.6,1683.67
2000-03-13,30.5,22.6,25.5,10.3,9.6,27.0,30519.71
2000-03-14,29.5,21.9,24.8,11.9,6.4,29.9,20265.78
2000-03-15,28.6,21.9,25.1,1.5,7.6,33.8,17553.43
2000-03-16,32.3,23.1,27.0,0.0,8.8,28.8,38131.67
2000-03-17,31.2,23.2,26.6,0.6,6.1,25.6,30166.12
2000-03-18,30.9,22.8,25.6,9.0,6.0,27.7,27796.56
2000-03-19,28.6,22.7,24.9,8.1,6.8,34.9,21880.55
2000-03-20,29.4,22.1,24.6,15.0,5.1,24.8,32746.01
2000-03-21,29.5,22.5,24.7,15.4,9.4,28.1,30586.95
2000-03-22,30.3,22.2,24.7,16.9,6.4,37.8,34408.26
2000-03-23,27.1,22.1,23.9,13.0,5.8,21.6,7028.57
2000-03-24,29.5,22.6,25.0,3.3,6.3,20.2,21548.04
2000-03-25,30.0,21.8,24.8,13.6,6.0,24.5,29968.81
2000-03-26,25.1,22.4,23.3,29.2,7.8,21.6,7375.74
2000-03-27,29.4,22.4,24.9,6.7,5.5,23.4,30447.5
2000-03-28,28.8,22.2,24.0,22.3,4.8,18.4,24732.8
2000-03-29,30.1,22.1,25.0,9.6,6.2,17.6,26335.98
2000-03-30,27.6,22.3,23.7,41.7,7.2,24.1,7912.5
2000-03-31,29.5,22.3,25.2,7.6,4.5,22.0,31771.31
2000-04-01,29.9,22.4,25.1,6.8,4.4,17.6,30353.36
2000-04-02,29.0,23.0,24.7,9.5,5.4,19.8,31116.55
2000-04-03,29.2,22.0,24.8,15.3,6.5,20.9,20170.46
2000-04-04,26.3,22.3,24.0,13.9,5.5,24.5,3167.98
2000-04-05,30.4,22.4,25.1,22.3,5.6,28.4,30476.97
2000-04-06,29.6,22.9,25.5,8.7,7.6,27.0,26034.56
2000-04-07,30.5,22.7,25.6,15.1,7.3,28.8,38814.29
2000-04-08,30.7,22.3,25.6,9.6,6.8,23.4,36000.0
2000-04-09,30.1,22.6,25.2,10.4,4.3,24.8,29973.24
2000-04-10,30.6,23.1,25.5,14.8,7.2,24.5,38404.05
2000-04-11,29.5,22.8,25.3,10.6,6.9,20.5,34573.67
2000-04-12,29.3,22.5,24.6,20.6,7.8,32.8,27417.66
2000-04-13,29.8,22.7,25.3,13.9,5.0,22.7,35711.86
2000-04-14,30.4,22.5,25.3,3.1,5.4,15.8,26917.59
2000-04-15,28.5,23.4,25.6,12.4,5.5,28.4,35468.63
2000-04-16,30.6,22.8,25.7,21.2,6.9,25.6,30589.17
2000-04-17,29.9,22.5,25.7,9.5,8.3,29.5,35074.84
2000-04-18,29.9,23.3,25.4,12.5,6.4,24.8,28601.24
2000-04-19,29.1,22.6,24.9,6.5,6.0,20.9,23748.13
2000-04-20,27.5,22.7,24.5,7.0,4.9,17.3,11109.91
2000-04-21,30.3,22.0,26.1,0.5,6.9,22.0,38089.26
2000-04-22,30.5,23.2,26.7,6.8,5.3,17.3,39600.0
2000-04-23,30.3,22.7,25.6,8.6,6.3,26.3,36666.75
2000-04-24,26.8,23.1,24.8,10.7,7.3,23.8,15846.97
2000-04-25,29.5,22.4,25.0,14.7,4.8,18.7,36565.26
2000-04-26,27.5,22.8,24.7,15.5,4.0,18.0,23866.91
2000-04-27,28.5,22.5,25.0,13.9,7.7,26.6,37311.16
2000-04-28,29.8,22.6,25.3,5.2,6.5,27.7,24348.66
2000-04-29,30.8,22.8,25.8,4.6,8.9,21.6,34021.47
2000-04-30,29.1,23.1,24.9,8.7,5.5,22.3,26354.6
2000-05-01,27.3,22.9,24.3,9.4,7.1,21.6,6075.45
2000-05-02,26.8,22.9,24.4,3.9,4.7,15.5,81.72
2000-05-03,28.6,22.5,24.7,37.8,8.2,33.5,29684.81
2000-05-04,28.8,22.7,24.5,12.5,4.6,25.6,16987.49
2000-05-05,29.5,22.1,24.5,4.5,7.9,25.9,26964.49
2000-05-06,28.8,22.2,24.7,4.5,6.0,28.8,24712.76
2000-05-07,29.4,22.7,25.0,9.0,6.4,30.6,29168.1
2000-05-08,29.2,22.0,25.1,12.8,7.7,28.1,29569.74
2000-05-09,29.1,22.5,25.0,10.6,9.7,25.6,34607.41
2000-05-10,29.6,22.7,25.7,1.0,5.6,18.7,37493.2
2000-05-11,30.2,23.7,26.2,1.9,5.4,19.8,37314.64
2000-05-12,31.4,22.8,25.8,6.0,7.4,22.0,37585.33
2000-05-13,29.4,22.6,25.5,7.6,6.5,21.6,33474.26
2000-05-14,30.9,22.6,26.4,2.5,5.8,15.8,38933.59
2000-05-15,31.0,22.9,26.1,24.1,7.2,23.4,39699.73
2000-05-16,30.3,22.6,26.0,3.0,7.7,24.1,39611.15
2000-05-17,29.8,23.6,25.8,4.0,4.8,20.2,39433.32
2000-05-18,31.3,23.6,26.3,7.0,4.8,19.8,39655.15
2000-05-19,31.4,23.4,26.0,13.3,7.2,22.7,34529.77
2000-05-20,28.3,22.9,25.3,4.0,6.2,21.2,34237.96
2000-05-21,31.1,23.6,26.9,4.5,6.0,20.5,39600.0
2000-05-22,31.4,22.7,26.0,15.3,6.6,19.4,39794.51
2000-05-23,28.8,23.1,25.3,9.4,7.3,16.6,34299.9
2000-05-24,30.7,23.7,26.2,3.6,5.1,18.4,36000.0
2000-05-25,29.5,23.1,25.5,8.4,6.0,19.8,34311.95
2000-05-26,30.1,22.6,25.2,4.3,6.1,22.3,31593.44
2000-05-27,28.5,23.3,25.0,3.4,5.0,18.7,30578.2
2000-05-28,29.8,23.0,25.5,7.5,6.4,20.9,37173.64
2000-05-29,30.5,23.3,25.8,6.7,6.9,20.2,39600.0
2000-05-30,26.6,22.9,24.2,12.8,6.1,18.4,9121.59
2000-05-31,27.1,22.7,24.5,16.0,5.4,19.4,29864.19
2000-06-01,25.9,22.6,23.7,47.4,4.7,15.8,2733.53
2000-06-02,29.9,22.5,25.3,17.4,6.1,22.7,39218.88
