Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,15.8,3.3,9.5,0.0,7.3,17.3,32439.88
2000-01-02,16.8,0.2,8.7,0.0,9.3,16.6,32402.4
2000-01-03,17.3,0.3,8.8,0.0,9.5,16.9,32444.84
2000-01-04,19.1,1.8,10.5,0.0,8.8,15.8,32331.97
2000-01-05,17.0,7.4,11.7,0.0,8.1,15.1,8304.76
2000-01-06,18.3,11.2,13.8,0.0,27.8,46.1,19554.53
2000-01-07,18.6,7.4,12.4,0.0,21.8,38.5,32444.99
2000-01-08,10.1,3.8,6.7,0.0,12.7,23.8,32495.66
2000-01-09,8.0,-0.8,3.8,0.0,11.1,20.2,32439.3
2000-01-10,8.1,-0.1,3.8,0.0,10.8,24.1,32556.21
2000-01-11,7.5,-1.1,3.0,0.0,9.2,20.2,32628.16
2000-01-12,7.3,-0.7,2.7,0.0,12.6,24.5,32738.79
2000-01-13,6.3,-2.8,1.4,0.0,10.5,20.9,32821.24
2000-01-14,6.3,-3.7,1.5,0.0,11.5,22.3,32910.05
2000-01-15,6.2,-3.4,1.8,0.0,12.8,22.0,31147.54
2000-01-16,9.4,-1.0,4.0,0.0,17.6,28.8,22876.79
2000-01-17,7.8,0.8,3.3,3.9,19.5,33.1,27183.45
2000-01-18,12.3,-5.1,3.8,0.0,7.0,19.1,33321.75
2000-01-19,16.2,-0.9,7.3,0.0,14.2,28.4,33111.21
2000-01-20,15.6,0.3,7.9,0.0,15.1,24.8,33602.74
2000-01-21,16.0,1.0,8.7,0.0,26.7,47.9,33729.34
2000-01-22,15.4,1.9,8.7,0.0,17.6,31.7,33860.34
2000-01-23,11.8,-0.5,6.2,0.0,16.9,28.1,33923.2
2000-01-24,11.0,-4.0,4.5,0.0,9.2,18.4,33986.43
2000-01-25,13.4,-3.2,5.8,0.0,9.6,20.5,34106.16
2000-01-26,18.3,0.8,9.9,0.0,11.7,21.2,34172.12
2000-01-27,20.3,5.3,12.5,0.2,26.0,48.2,33476.61
2000-01-28,19.3,10.8,14.5,0.2,34.3,60.5,22112.72
2000-01-29,12.8,6.4,10.3,11.2,23.7,38.5,6887.57
2000-01-30,10.3,0.7,5.1,0.0,23.2,40.0,34641.63
2000-01-31,13.2,-2.6,4.8,0.0,9.4,16.9,34714.17
2000-02-01,13.0,-0.7,6.1,0.0,9.7,15.8,28064.17
2000-02-02,12.3,-1.5,5.6,0.0,17.4,31.0,34934.32
2000-02-03,8.1,-0.2,3.5,0.0,16.6,30.6,34608.23
2000-02-04,13.2,-4.0,4.5,0.0,9.7,19.8,35244.2
2000-02-05,13.8,-1.9,6.4,0.0,10.2,18.7,35320.34
2000-02-06,16.8,-1.9,7.8,0.0,13.8,25.9,35570.95
2000-02-07,15.5,3.7,8.5,0.0,40.4,70.9,35649.69
2000-02-08,5.4,-0.3,2.4,3.2,13.4,25.9,24094.53
2000-02-09,7.2,-2.9,2.1,0.0,8.7,20.2,35899.2
2000-02-10,10.4,-4.5,3.5,0.0,8.5,16.6,36145.61
2000-02-11,12.3,-2.6,5.4,0.0,11.4,20.5,36257.32
2000-02-12,13.2,-0.4,7.2,0.0,8.6,22.7,36370.39
2000-02-13,17.5,0.5,9.8,0.0,13.3,27.4,33435.76
2000-02-14,17.8,6.7,12.1,0.0,42.3,69.8,36060.26
2000-02-15,15.3,-0.3,7.9,0.0,9.7,24.1,36716.54
2000-02-16,16.6,1.4,9.1,0.0,13.7,25.6,36833.81
2000-02-17,18.5,1.6,10.7,0.0,12.4,21.6,36951.84
2000-02-18,16.0,2.0,9.8,0.0,17.5,32.8,37070.5
2000-02-19,15.1,2.1,9.4,0.0,12.5,22.3,37189.68
2000-02-20,19.3,-0.6,10.5,0.0,21.0,35.6,37309.26
2000-02-21,15.2,2.0,9.6,0.0,17.3,33.1,37429.14
2000-02-22,18.2,2.5,11.1,0.0,13.4,24.1,37549.21
2000-02-23,19.8,0.5,11.1,0.0,10.9,24.1,37669.37
2000-02-24,20.6,3.3,13.2,0.0,13.0,24.5,37789.51
2000-02-25,22.5,8.9,16.3,0.7,13.9,34.9,37909.54
2000-02-26,20.6,10.0,15.0,0.0,31.4,52.6,38029.34
2000-02-27,19.9,3.3,12.7,0.0,18.5,33.8,35565.87
2000-02-28,18.4,6.0,12.6,0.0,17.8,30.6,38267.95
2000-02-29,14.4,4.2,9.6,0.0,17.1,30.2,38387.5
2000-03-01,15.5,1.4,9.3,0.0,18.4,30.6,38507.87
2000-03-02,19.2,3.2,11.1,0.0,42.8,71.6,38628.96
2000-03-03,15.7,1.7,9.0,0.0,21.3,38.9,38734.34
2000-03-04,17.7,2.8,10.2,0.0,18.5,30.6,38808.61
2000-03-05,15.9,2.5,9.7,0.0,26.4,43.6,35283.7
2000-03-06,16.5,0.5,9.9,0.0,11.5,21.2,38959.51
2000-03-07,21.2,3.1,13.0,0.0,13.5,22.0,39035.94
2000-03-08,23.3,6.3,15.3,0.0,28.9,55.4,39112.88
2000-03-09,19.9,6.1,13.6,0.0,39.9,66.6,39190.24
2000-03-10,20.2,-0.8,10.7,0.0,10.2,21.2,39267.92
2000-03-11,19.3,3.4,12.4,0.0,16.4,26.6,39345.82
2000-03-12,19.9,3.5,13.0,0.0,14.8,23.8,39423.83
2000-03-13,21.8,3.2,13.7,0.0,29.2,50.4,39501.86
2000-03-14,21.9,6.9,15.1,0.0,26.3,45.4,39579.8
2000-03-15,20.5,6.9,13.6,0.0,29.6,47.9,39600.0
2000-03-16,16.7,2.9,9.7,0.0,17.5,30.6,39629.02
2000-03-17,19.7,4.3,12.5,0.0,15.0,26.6,39625.87
2000-03-18,23.6,5.3,16.2,0.0,9.7,28.4,38917.48
2000-03-19,24.3,10.1,17.8,0.0,32.0,56.9,39618.05
2000-03-20,22.2,6.2,15.5,0.0,17.4,32.0,39600.0
2000-03-21,22.4,6.6,16.0,0.0,12.3,24.5,39749.66
2000-03-22,26.8,9.8,18.8,0.0,31.6,46.8,34259.01
2000-03-23,28.8,16.7,22.4,0.0,27.1,54.7,35600.41
2000-03-24,30.3,16.3,23.3,0.0,30.1,53.6,35825.02
2000-03-25,25.9,16.5,21.0,0.3,45.0,80.3,39746.04
2000-03-26,20.0,9.0,15.7,0.4,15.2,34.2,39748.97
2000-03-27,17.8,8.0,13.5,0.0,16.9,33.1,39666.77
2000-03-28,18.9,6.7,13.6,0.0,15.2,31.3,40227.82
2000-03-29,20.4,7.0,14.9,0.0,13.2,23.4,40495.06
2000-03-30,22.1,6.4,15.7,0.4,15.0,28.4,39711.93
2000-03-31,22.9,8.0,16.8,0.0,13.0,22.7,40708.66
2000-04-01,24.5,10.2,18.1,0.0,15.5,32.0,40106.32
2000-04-02,24.6,10.2,18.7,0.0,12.2,25.2,41240.38
2000-04-03,26.6,13.7,20.3,0.0,15.2,29.5,41035.51
2000-04-04,27.2,10.6,20.4,0.0,23.4,40.0,41301.0
2000-04-05,25.3,11.8,19.5,0.0,14.8,28.1,40214.94
2000-04-06,27.1,12.3,21.2,0.0,14.8,28.4,40886.06
2000-04-07,27.6,11.4,21.1,0.0,10.5,20.9,42479.55
2000-04-08,30.4,14.2,23.6,0.0,9.9,23.0,41316.79
2000-04-09,32.1,16.0,24.7,0.0,21.1,41.4,37392.37
2000-04-10,34.0,16.9,26.0,0.0,26.2,45.0,39360.66
2000-04-11,32.5,18.0,25.4,0.0,29.0,52.6,41142.34
2000-04-12,29.8,14.4,23.5,0.0,16.6,30.2,43339.86
2000-04-13,29.1,12.3,22.6,0.0,10.7,27.0,42254.95
2000-04-14,32.1,15.4,25.7,0.0,11.5,25.9,42678.02
2000-04-15,33.8,16.7,26.8,0.0,28.4,45.7,41995.25
2000-04-16,33.5,17.3,26.4,0.0,30.3,57.6,41681.86
2000-04-17,31.6,18.1,25.7,0.0,31.6,50.8,35433.16
2000-04-18,30.2,18.9,24.9,0.0,16.8,30.2,42959.16
2000-04-19,31.1,17.5,25.2,0.3,12.9,30.2,42901.06
2000-04-20,31.2,18.9,26.1,0.0,8.3,20.2,43730.91
2000-04-21,32.8,17.2,25.5,0.3,30.7,57.6,37168.82
2000-04-22,34.0,15.5,26.0,0.0,22.6,42.8,44602.04
2000-04-23,32.5,16.8,25.8,0.0,25.9,49.0,44706.24
2000-04-24,31.9,15.5,24.4,0.0,28.2,42.8,44809.3
2000-04-25,31.8,15.9,24.8,0.0,28.3,43.6,44911.12
2000-04-26,29.9,13.4,23.2,0.0,12.6,27.4,45011.61
2000-04-27,29.0,14.3,23.0,0.0,12.5,25.2,45110.69
2000-04-28,31.2,18.5,25.6,0.0,14.2,26.3,42832.27
2000-04-29,32.5,16.6,26.1,0.0,21.2,41.0,42696.83
2000-04-30,34.0,18.9,27.5,0.0,20.7,39.6,43264.48
2000-05-01,34.4,19.4,28.0,0.0,27.3,50.0,45496.82
2000-05-02,33.7,18.0,27.2,0.0,22.0,42.1,43052.78
2000-05-03,32.2,17.1,26.2,0.0,10.2,24.8,45685.56
2000-05-04,33.5,14.9,26.4,0.0,10.2,24.1,45778.63
2000-05-05,34.8,21.8,28.8,0.0,14.5,27.7,45861.7
2000-05-06,37.3,19.0,30.6,0.0,18.2,30.2,45406.04
2000-05-07,37.0,21.5,30.6,0.0,20.8,36.0,45414.12
2000-05-08,36.7,22.7,29.9,0.0,22.7,33.1,45984.22
2000-05-09,37.2,20.0,30.0,0.0,26.3,45.7,46024.81
2000-05-10,37.2,20.8,29.8,0.0,28.6,42.5,46065.2
2000-05-11,34.1,17.9,27.1,0.0,24.3,40.0,46105.37
2000-05-12,33.4,16.0,26.3,0.0,16.6,33.5,46145.27
2000-05-13,31.7,17.0,25.8,0.0,12.2,23.8,46184.85
2000-05-14,34.2,18.4,27.6,0.0,13.4,27.7,46224.09
2000-05-15,36.8,17.7,29.6,0.0,22.3,37.4,46262.93
2000-05-16,33.4,20.5,28.4,0.0,25.4,43.9,46301.34
2000-05-17,33.8,18.0,27.6,0.0,16.4,31.7,46339.27
2000-05-18,34.6,18.8,28.1,0.0,13.2,28.4,46376.82
2000-05-19,34.5,20.2,28.7,0.0,15.9,31.0,46414.41
2000-05-20,36.8,22.2,30.1,0.0,29.9,46.8,46452.04
2000-05-21,33.7,19.6,27.9,0.0,19.5,35.6,46489.62
2000-05-22,32.8,18.4,27.1,0.0,13.6,29.9,46527.09
2000-05-23,34.9,19.9,28.0,0.0,21.6,35.6,46564.38
2000-05-24,34.9,20.8,28.8,0.0,15.0,29.2,46601.42
2000-05-25,37.8,22.2,31.3,0.0,10.2,25.6,46638.13
2000-05-26,39.1,21.3,31.9,0.0,14.7,22.7,46674.44
2000-05-27,37.5,24.1,31.7,0.0,17.8,34.6,46710.29
2000-05-28,36.9,21.2,30.6,0.0,13.7,33.1,46745.59
2000-05-29,35.4,20.8,29.3,0.0,14.0,28.4,46780.28
2000-05-30,36.4,20.5,29.9,0.0,12.0,26.3,46800.0
2000-05-31,39.4,21.9,32.2,0.0,13.7,27.0,46800.0
2000-06-01,36.2,24.1,30.9,0.0,27.2,48.2,46800.0
2000-06-02,34.0,18.8,27.8,0.0,18.3,34.2,46800.0
2000-06-03,35.2,21.9,28.9,0.0,21.1,38.9,46800.0
2000-06-04,35.9,20.3,29.2,0.0,16.8,32.0,46800.0
2000-06-05,38.0,21.5,31.3,0.0,17.2,31.7,46800.0
2000-06-06,39.6,25.1,32.7,0.0,15.9,30.2,46800.0
2000-06-07,36.9,21.6,30.7,0.0,20.6,38.9,46800.0
2000-06-08,39.2,21.1,31.3,0.0,15.5,30.2,46800.0
2000-06-09,40.3,26.5,33.7,0.0,20.1,36.4,46800.0
2000-06-10,38.2,21.9,31.9,0.0,17.7,29.9,46800.0
2000-06-11,34.8,22.3,29.3,0.0,24.0,41.8,46800.0
2000-06-12,34.2,20.8,28.3,0.0,16.9,29.9,46800.0
2000-06-13,26.1,18.7,22.5,0.0,27.2,46.4,46800.0
2000-06-14,27.1,13.3,21.2,0.0,15.0,31.7,46800.0
