Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,8.4,0.0,2.9,0.0,15.9,27.7,28872.51
2000-01-02,9.0,-1.1,2.9,0.0,12.6,24.1,28889.92
2000-01-03,10.0,0.5,4.1,0.0,14.5,26.3,29004.95
2000-01-04,10.6,-1.3,3.3,0.0,11.2,22.0,28930.67
2000-01-05,11.2,0.3,4.7,0.0,11.9,24.5,28953.66
2000-01-06,12.0,-0.1,5.0,0.0,10.5,16.9,29405.21
2000-01-07,11.0,0.3,4.8,0.0,9.8,17.3,29446.15
2000-01-08,11.6,0.7,5.3,0.0,8.7,16.6,26828.31
2000-01-09,12.0,2.0,6.3,0.0,8.5,16.6,29060.12
2000-01-10,12.6,0.9,5.9,0.0,7.4,14.0,29332.88
2000-01-11,11.6,1.6,5.6,0.8,10.0,18.4,29245.74
2000-01-12,11.5,1.6,5.9,1.5,11.5,21.2,29538.43
2000-01-13,12.3,3.1,7.0,2.2,21.1,42.1,26656.96
2000-01-14,11.5,5.1,7.2,9.2,19.1,43.2,11085.61
2000-01-15,12.5,1.8,6.8,0.0,11.7,19.1,30086.8
2000-01-16,11.7,0.9,5.4,0.0,10.1,16.2,30417.51
2000-01-17,9.0,1.1,4.7,0.6,15.1,25.2,30524.52
2000-01-18,11.1,1.2,5.4,0.0,13.6,23.8,30634.08
2000-01-19,10.3,1.1,5.4,0.0,17.2,39.2,30746.43
2000-01-20,9.7,-1.6,3.5,0.0,8.6,15.1,30862.72
2000-01-21,10.3,2.4,5.4,4.6,20.9,38.2,22538.69
2000-01-22,10.7,-0.5,5.4,1.9,21.3,41.0,28712.3
2000-01-23,8.2,3.4,6.3,8.5,36.4,67.0,23509.03
2000-01-24,8.3,-0.0,3.7,0.0,24.6,49.0,31364.54
2000-01-25,6.1,-1.6,1.8,0.0,16.3,26.6,31478.56
2000-01-26,7.0,-1.5,2.1,0.0,9.5,17.6,31560.45
2000-01-27,7.6,-2.5,1.9,0.0,9.7,17.6,31642.9
2000-01-28,10.2,-1.8,3.7,0.0,9.1,16.6,28604.55
2000-01-29,10.8,5.4,7.9,4.6,14.0,29.5,20009.07
2000-01-30,13.7,3.7,8.7,0.0,13.7,24.8,30774.77
2000-01-31,13.1,2.1,7.6,0.0,9.0,21.2,19185.9
2000-02-01,13.8,6.7,10.0,0.0,6.0,13.0,31396.08
2000-02-02,12.9,5.4,9.0,0.4,17.4,39.6,21611.35
2000-02-03,15.2,8.2,11.0,1.3,13.8,25.9,23657.29
2000-02-04,13.2,3.5,7.7,0.0,14.8,25.6,32413.18
2000-02-05,11.6,-1.2,5.2,0.0,10.5,17.6,32563.88
2000-02-06,13.5,-0.1,6.6,0.0,13.0,23.4,32578.25
2000-02-07,12.4,2.3,7.3,0.0,9.5,19.4,31998.5
2000-02-08,12.6,2.8,8.0,0.2,14.3,27.7,21999.7
2000-02-09,13.9,8.6,11.2,0.5,30.6,53.3,14196.87
2000-02-10,12.3,5.1,8.4,0.0,30.0,56.9,32497.68
2000-02-11,13.1,0.5,6.5,0.0,14.7,28.1,33158.27
2000-02-12,11.9,3.2,7.1,0.0,9.2,15.5,31634.96
2000-02-13,12.7,2.8,7.5,0.0,11.9,21.2,33410.98
2000-02-14,14.2,2.0,7.8,0.0,9.6,18.0,32630.14
2000-02-15,12.9,1.6,7.8,0.2,12.3,25.2,22269.53
2000-02-16,13.7,9.1,10.9,1.3,28.1,50.4,21155.0
2000-02-17,9.9,4.2,7.1,6.4,29.6,55.4,26230.03
2000-02-18,10.7,1.1,5.4,0.0,17.4,37.1,34694.21
2000-02-19,14.2,4.1,8.8,3.8,15.1,32.8,31984.17
2000-02-20,14.6,1.7,7.7,0.5,19.1,34.2,34615.47
2000-02-21,12.8,3.0,7.3,0.0,19.2,33.1,35419.33
2000-02-22,10.8,0.7,5.5,0.0,9.7,19.4,34694.37
2000-02-23,10.8,-0.4,5.3,0.0,9.4,18.0,35216.34
2000-02-24,12.0,-0.6,5.3,0.0,14.4,27.4,36111.07
2000-02-25,12.3,-0.2,6.2,0.0,10.4,19.4,36351.55
2000-02-26,13.7,4.6,9.2,0.0,8.3,18.7,29832.32
2000-02-27,15.4,3.2,9.4,0.0,8.4,18.7,35730.49
2000-02-28,14.7,5.4,10.3,0.0,12.9,25.6,36462.31
2000-02-29,13.7,3.9,9.0,0.0,12.9,24.1,37083.64
2000-03-01,13.8,6.9,10.3,7.1,26.4,50.8,17983.61
2000-03-02,12.0,7.3,9.9,3.3,32.1,63.7,30464.76
2000-03-03,13.7,1.6,8.2,0.0,18.6,35.3,37599.11
2000-03-04,13.2,8.9,11.0,1.2,21.3,38.9,15819.61
2000-03-05,16.6,8.1,11.8,0.5,11.9,26.3,37946.18
2000-03-06,12.0,4.7,8.4,0.5,11.2,24.1,38046.12
2000-03-07,13.7,1.9,7.9,0.0,8.9,23.0,38294.78
2000-03-08,14.7,2.9,9.0,0.0,13.0,22.0,38469.35
2000-03-09,14.1,3.9,8.9,0.0,13.0,25.9,38556.29
2000-03-10,15.1,5.9,10.3,0.0,8.6,18.4,36800.94
2000-03-11,15.2,5.9,10.6,0.0,8.7,16.9,32885.17
2000-03-12,16.2,8.4,11.3,0.0,11.6,20.2,23500.22
2000-03-13,17.4,6.5,11.7,0.0,12.0,20.5,38838.91
2000-03-14,16.1,7.0,11.3,0.2,13.1,29.2,38908.61
2000-03-15,14.7,8.8,11.4,4.5,12.7,26.6,32264.6
2000-03-16,15.7,4.7,10.3,0.0,17.1,29.9,39285.17
2000-03-17,15.3,3.7,10.3,0.0,15.4,31.0,39441.39
2000-03-18,16.3,4.2,10.1,0.0,11.3,24.5,39522.21
2000-03-19,12.8,4.8,9.0,0.3,15.6,25.9,39599.25
2000-03-20,8.5,6.2,7.5,21.1,17.5,32.8,0.0
2000-03-21,13.6,2.6,8.1,0.0,12.3,26.6,39386.36
2000-03-22,14.5,2.1,8.9,0.0,12.9,26.6,40556.75
2000-03-23,15.2,2.9,9.7,0.0,10.8,22.7,40879.12
2000-03-24,15.0,3.3,9.5,0.0,12.6,21.2,30519.54
2000-03-25,15.4,7.1,11.2,2.5,11.9,28.8,32393.29
2000-03-26,14.2,8.9,11.5,20.7,14.8,29.5,12706.55
2000-03-27,14.4,7.7,11.3,9.2,28.6,58.7,33739.88
2000-03-28,16.1,10.4,13.0,6.8,31.5,56.9,31288.07
2000-03-29,13.9,8.8,12.4,15.8,26.8,56.9,27229.99
2000-03-30,14.0,6.8,10.2,0.1,18.7,36.7,41429.74
2000-03-31,16.9,5.0,10.8,0.0,13.0,25.6,41882.82
2000-04-01,14.8,9.0,11.5,17.4,23.3,45.4,36619.49
2000-04-02,16.5,5.9,11.3,0.0,23.9,42.1,38131.21
2000-04-03,18.0,11.4,14.8,0.6,32.3,59.0,30083.76
2000-04-04,16.1,7.4,12.2,10.4,21.8,34.9,18000.0
2000-04-05,16.2,9.2,12.8,1.8,23.5,42.8,42442.8
2000-04-06,15.9,7.4,11.8,3.7,20.9,35.3,42634.92
2000-04-07,17.6,4.7,11.1,0.0,15.1,28.1,42806.29
2000-04-08,15.6,4.8,10.6,0.0,13.8,27.0,42820.44
