Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,3.3,-3.1,-0.2,0.0,11.1,35.3,31034.87
2000-01-02,6.0,-2.8,0.4,0.0,6.7,31.7,28771.61
2000-01-03,6.2,-2.1,0.9,0.9,15.8,68.4,30913.6
2000-01-04,5.1,-2.0,0.6,0.0,8.9,30.2,31114.32
2000-01-05,6.8,-2.1,1.1,0.0,5.6,26.6,31464.93
2000-01-06,10.3,-2.0,3.6,0.0,11.9,44.6,26965.32
2000-01-07,8.6,0.1,4.0,2.8,6.5,47.2,21829.99
2000-01-08,6.8,-1.8,1.9,0.0,10.8,35.3,29273.79
2000-01-09,6.8,-0.7,2.0,0.0,6.4,29.2,29567.23
2000-01-10,8.4,-2.4,2.2,10.9,10.7,64.8,18694.14
2000-01-11,1.4,-4.4,-2.2,0.0,9.7,32.4,32128.03
2000-01-12,2.8,-3.5,-0.6,4.2,11.0,32.4,6755.42
2000-01-13,10.6,-0.9,4.4,8.1,7.4,44.3,15522.85
2000-01-14,6.5,-0.6,2.7,0.5,11.2,37.4,29856.04
2000-01-15,4.2,-1.2,0.6,0.1,10.2,29.5,31721.38
2000-01-16,4.8,-2.3,0.8,1.9,6.8,24.5,22864.48
2000-01-17,1.3,-1.8,-0.3,5.9,7.3,20.2,3284.39
2000-01-18,1.7,-4.0,-1.6,0.2,9.0,27.0,30530.06
2000-01-19,3.9,-5.4,-1.7,0.1,11.5,36.4,32781.25
2000-01-20,-0.6,-8.4,-4.4,0.1,19.3,61.2,32872.51
2000-01-21,-5.3,-12.0,-8.7,0.5,19.5,54.4,32421.61
2000-01-22,-0.0,-8.8,-5.1,0.0,6.6,29.9,31916.44
2000-01-23,4.2,-7.4,-1.4,7.2,7.9,31.3,20252.03
2000-01-24,7.8,-1.9,2.5,0.0,10.1,33.1,26955.26
2000-01-25,-0.9,-8.7,-4.2,2.9,11.5,38.5,21569.42
2000-01-26,-2.8,-10.3,-6.9,0.0,9.1,33.1,33481.51
2000-01-27,-2.8,-12.8,-8.1,0.0,9.8,28.4,33274.41
2000-01-28,-2.1,-13.8,-7.9,0.0,9.3,28.4,33703.74
2000-01-29,3.5,-15.7,-5.7,0.0,6.4,25.9,33817.7
2000-01-30,5.0,-9.6,-2.1,1.4,13.6,49.3,31343.35
2000-01-31,0.1,-7.4,-3.5,0.0,14.1,43.6,34050.54
2000-02-01,0.1,-7.4,-4.3,0.0,6.7,28.8,34169.09
2000-02-02,2.3,-5.9,-2.2,0.0,11.9,40.7,34288.89
2000-02-03,4.5,-5.7,-0.9,0.2,5.0,20.2,34409.77
2000-02-04,0.2,-5.5,-2.5,1.3,16.1,46.4,34531.59
2000-02-05,2.9,-7.9,-2.8,0.0,5.8,18.7,34654.2
2000-02-06,3.9,-6.0,-0.9,5.9,9.1,31.3,11455.71
2000-02-07,3.7,-4.7,-0.2,0.7,10.0,38.5,34901.3
2000-02-08,3.0,-9.2,-3.1,1.5,16.8,52.6,35025.55
2000-02-09,-2.8,-10.0,-6.7,3.6,16.5,54.7,35151.12
2000-02-10,-1.1,-12.2,-6.4,0.0,10.5,31.7,35278.59
2000-02-11,2.6,-10.5,-4.0,0.4,11.5,39.2,35407.79
2000-02-12,4.4,-9.4,-2.1,0.0,8.8,29.9,34042.26
2000-02-13,2.7,-3.6,-1.5,0.0,8.6,28.8,35670.8
2000-02-14,5.3,-3.7,-0.3,0.9,13.8,46.8,35719.41
2000-02-15,-0.6,-11.9,-4.9,5.5,17.7,62.6,30718.21
2000-02-16,-5.2,-14.3,-9.3,1.4,15.0,54.4,35950.77
2000-02-17,-2.2,-12.4,-7.4,0.2,10.9,35.3,33438.01
2000-02-18,-3.2,-12.0,-7.1,0.2,14.6,45.7,36000.0
2000-02-19,1.5,-12.1,-5.4,0.1,6.3,26.3,32400.0
2000-02-20,2.1,-5.6,-2.2,3.9,11.8,34.9,20567.49
2000-02-21,-2.7,-8.8,-5.7,0.1,17.1,50.8,36038.95
2000-02-22,-2.4,-9.7,-6.3,0.1,15.6,44.3,36000.0
2000-02-23,0.4,-10.1,-4.9,0.0,8.7,30.6,36038.73
2000-02-24,0.3,-8.9,-5.0,3.5,13.8,47.5,35523.36
2000-02-25,-4.0,-12.6,-7.8,0.0,12.0,40.7,36250.86
2000-02-26,0.9,-12.7,-5.8,1.9,11.5,35.3,25392.51
2000-02-27,0.1,-11.6,-4.7,1.0,14.1,43.9,36301.74
2000-02-28,0.2,-13.5,-5.6,4.1,15.4,55.4,36469.88
2000-02-29,-3.3,-14.4,-8.1,0.0,14.4,43.2,36636.16
2000-03-01,-0.4,-12.4,-6.5,0.0,5.2,26.3,36568.89
2000-03-02,4.5,-15.3,-4.0,0.0,9.1,28.1,37530.09
2000-03-03,6.6,-8.6,0.0,0.0,8.7,25.2,37227.36
2000-03-04,5.8,-3.9,1.4,14.8,9.4,37.4,10800.0
2000-03-05,6.8,-0.8,2.7,1.7,11.2,32.8,36235.32
2000-03-06,8.2,-2.5,2.1,0.0,9.7,32.0,37336.34
2000-03-07,6.4,-3.0,0.9,0.1,17.0,54.4,38658.67
2000-03-08,1.4,-5.8,-2.5,1.1,14.4,55.4,38353.59
2000-03-09,0.4,-6.3,-3.7,1.0,16.9,55.8,36514.23
2000-03-10,1.4,-6.4,-3.0,0.1,12.7,43.6,39282.73
2000-03-11,5.7,-5.1,0.2,0.5,8.6,31.3,27920.85
2000-03-12,4.0,-1.7,0.5,6.1,12.7,36.7,27370.29
2000-03-13,5.7,-6.1,-0.7,0.0,18.8,60.5,39708.92
2000-03-14,4.2,-6.7,-1.5,1.5,14.1,52.6,39028.45
2000-03-15,5.8,-4.0,0.4,0.0,6.2,27.4,38218.95
2000-03-16,2.8,-1.9,0.0,15.3,12.5,65.9,6292.38
2000-03-17,0.9,-6.3,-2.7,2.2,18.7,61.9,40271.1
2000-03-18,5.0,-9.6,-1.6,0.0,9.0,25.9,40409.93
2000-03-19,8.5,-4.3,1.8,3.2,13.6,44.3,32394.36
2000-03-20,0.7,-5.6,-1.3,3.3,20.3,60.5,39668.61
2000-03-21,7.5,-4.5,1.0,0.0,6.0,27.0,35586.13
2000-03-22,2.2,-3.0,-0.4,0.0,17.0,52.2,40961.7
2000-03-23,8.8,-5.0,1.9,5.3,14.9,48.6,34373.38
2000-03-24,5.2,-5.0,0.8,22.5,18.1,89.6,31483.2
2000-03-25,0.9,-6.3,-3.2,2.6,19.2,59.0,41351.51
2000-03-26,0.8,-6.5,-3.4,3.5,18.6,61.6,39440.23
2000-03-27,6.6,-9.9,-1.0,0.0,9.5,28.4,41654.52
2000-03-28,11.0,-2.8,4.1,11.2,18.1,63.7,25734.55
2000-03-29,9.3,-0.1,5.0,7.3,15.5,77.0,41767.13
2000-03-30,8.4,-0.2,3.7,0.3,13.8,41.4,39976.51
2000-03-31,13.6,-1.7,5.6,0.0,13.8,45.0,36708.53
2000-04-01,6.9,-0.7,3.1,1.2,13.6,45.4,42245.28
2000-04-02,9.3,-0.5,3.6,0.0,8.2,29.5,40483.81
2000-04-03,9.8,-0.6,4.1,0.0,4.8,17.6,32466.16
2000-04-04,11.6,-1.4,4.8,0.0,10.4,32.4,33488.69
2000-04-05,6.7,1.4,4.0,7.5,8.2,29.2,0.0
2000-04-06,9.1,-0.2,4.6,0.3,10.7,37.1,42492.54
2000-04-07,14.4,-0.7,6.5,0.0,14.6,49.3,38482.14
2000-04-08,9.2,1.3,5.0,1.1,13.4,47.5,42590.93
2000-04-09,14.9,-1.3,6.9,0.0,10.6,33.8,39811.21
2000-04-10,12.7,2.0,7.7,13.1,20.2,64.1,29536.15
2000-04-11,7.9,0.4,4.3,7.4,18.9,61.2,42741.27
2000-04-12,12.9,-1.1,6.1,0.0,17.9,61.6,43025.21
2000-04-13,15.3,2.4,9.0,0.0,10.0,31.7,42836.39
2000-04-14,15.4,2.7,9.4,0.9,19.8,72.7,36936.75
2000-04-15,7.6,2.6,5.3,13.6,6.1,22.0,0.0
2000-04-16,7.4,-0.5,3.1,3.6,13.2,43.6,36896.31
2000-04-17,10.1,-1.0,4.3,0.0,12.3,38.9,43776.31
2000-04-18,13.8,0.9,7.5,0.0,13.7,43.2,44050.75
2000-04-19,13.3,4.1,9.0,0.2,10.5,29.9,26323.15
2000-04-20,9.3,4.5,6.8,20.7,11.3,45.0,7140.97
2000-04-21,12.8,4.8,8.7,7.4,14.1,47.5,1784.86
2000-04-22,15.7,4.7,10.1,6.0,18.8,54.4,40516.22
2000-04-23,12.3,2.7,7.8,1.1,16.9,72.7,44605.98
2000-04-24,12.2,2.0,6.0,2.3,10.8,36.7,42742.76
2000-04-25,15.4,0.5,8.4,0.0,10.1,34.6,45184.26
2000-04-26,10.7,5.2,7.3,6.4,12.4,36.0,3061.27
2000-04-27,15.9,4.9,9.4,6.9,8.9,37.1,33110.94
2000-04-28,10.6,2.6,6.3,0.0,15.9,49.7,37467.1
2000-04-29,13.1,2.2,7.6,0.0,12.3,42.5,41297.86
2000-04-30,16.1,1.2,9.2,0.5,9.1,29.5,31112.88
2000-05-01,15.2,5.2,10.6,0.5,7.9,28.4,35303.58
2000-05-02,17.8,4.9,10.8,2.6,12.2,41.8,39730.48
2000-05-03,15.8,5.2,10.0,0.4,10.7,39.2,44216.68
2000-05-04,15.5,4.4,9.9,0.0,12.4,40.0,45757.68
2000-05-05,17.7,5.4,11.7,0.0,7.4,29.5,45816.43
2000-05-06,19.7,6.6,13.0,0.0,8.0,29.5,42274.12
2000-05-07,18.1,8.7,13.3,0.1,12.6,40.7,33371.5
2000-05-08,18.0,8.6,13.8,0.1,12.0,37.8,45354.7
2000-05-09,21.5,8.5,14.8,0.0,8.2,27.0,45028.79
2000-05-10,21.0,9.6,15.1,0.0,8.4,28.8,38866.25
2000-05-11,18.3,9.7,13.3,0.0,13.7,41.8,38946.38
2000-05-12,17.9,8.4,13.1,1.9,10.9,34.2,41877.2
2000-05-13,18.2,8.9,13.9,2.4,7.6,35.3,42579.77
2000-05-14,18.7,9.5,13.6,0.8,9.1,41.8,42529.18
2000-05-15,17.1,9.6,12.6,9.7,7.3,26.3,27489.29
2000-05-16,17.6,7.9,12.4,0.6,7.0,28.8,45621.21
2000-05-17,17.3,7.4,11.8,8.9,4.6,21.6,33955.85
2000-05-18,15.5,9.1,11.7,5.4,7.9,26.6,28996.67
2000-05-19,16.8,7.2,11.9,3.0,7.9,24.8,22126.74
2000-05-20,14.0,8.5,11.0,7.7,8.7,27.4,7553.44
2000-05-21,17.4,7.4,12.5,0.1,12.6,45.0,43089.05
2000-05-22,21.3,7.2,15.0,0.0,9.7,33.5,45733.41
2000-05-23,22.8,9.7,16.3,0.0,6.6,24.8,46881.68
2000-05-24,21.2,10.6,16.1,1.4,12.8,54.0,47023.14
2000-05-25,22.9,11.0,16.5,0.0,5.8,21.2,44633.93
2000-05-26,26.2,10.6,19.1,0.0,8.4,28.8,43752.18
2000-05-27,22.4,13.2,17.0,5.8,14.6,47.9,26675.13
2000-05-28,24.5,12.4,17.9,6.1,18.7,58.7,41139.39
2000-05-29,20.0,12.0,15.9,0.0,11.5,40.7,46717.79
2000-05-30,25.3,9.5,18.1,0.0,7.3,24.8,43200.0
2000-05-31,16.8,13.2,14.5,13.1,6.8,27.0,0.0
2000-06-01,21.7,11.8,16.3,0.2,11.3,34.9,41585.05
2000-06-02,22.5,10.0,16.2,0.0,8.8,31.7,47001.0
2000-06-03,19.3,12.2,15.4,8.9,6.7,33.5,15477.36
2000-06-04,19.0,9.6,14.0,0.2,11.5,36.4,48071.73
2000-06-05,21.7,8.6,15.1,0.0,6.2,20.2,47916.6
2000-06-06,22.0,12.2,17.2,0.0,7.3,25.6,42112.55
2000-06-07,25.8,9.7,19.2,0.0,8.6,31.3,48734.39
2000-06-08,25.3,13.6,20.1,0.0,12.9,39.2,38450.04
2000-06-09,19.2,14.0,16.6,20.9,8.6,68.8,7200.0
2000-06-10,19.5,13.5,15.8,0.6,4.1,21.2,6181.04
2000-06-11,15.5,12.0,13.5,14.3,4.7,14.0,0.0
2000-06-12,16.8,10.9,13.5,0.5,6.6,18.4,0.0
2000-06-13,16.9,11.3,13.9,12.1,6.1,17.3,0.0
2000-06-14,18.7,11.8,14.2,17.8,4.7,27.4,11802.75
2000-06-15,22.8,9.3,16.6,0.0,5.1,19.1,48940.09
2000-06-16,25.9,12.8,19.8,0.0,4.0,17.3,49097.31
2000-06-17,19.6,13.8,17.2,16.5,5.5,21.2,0.0
2000-06-18,23.7,12.1,18.3,0.8,5.5,18.0,45772.29
2000-06-19,22.9,15.9,19.3,0.7,4.3,20.2,48709.84
2000-06-20,25.1,13.0,19.6,0.0,5.2,17.3,47583.66
2000-06-21,23.4,16.4,19.8,0.1,7.2,20.2,22256.15
2000-06-22,24.6,16.2,20.0,3.2,4.0,17.6,25998.71
2000-06-23,18.7,15.1,17.1,27.0,8.4,49.0,198.23
2000-06-24,20.4,15.3,16.7,51.2,9.4,30.6,12862.65
2000-06-25,19.3,14.6,16.8,6.4,8.8,29.9,38296.2
2000-06-26,21.4,14.2,17.7,2.1,7.5,22.7,33642.16
