Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,24.3,6.7,15.5,0.0,19.4,35.3,35425.71
2000-01-02,23.4,7.5,15.3,0.0,24.9,45.0,35465.37
2000-01-03,23.5,6.9,14.5,0.0,18.4,34.6,35506.11
2000-01-04,16.8,3.9,10.0,0.0,19.4,29.9,35547.81
2000-01-05,22.2,2.7,11.7,0.0,26.9,48.2,35590.39
2000-01-06,21.6,5.9,13.6,0.0,18.8,37.8,35633.74
2000-01-07,21.1,4.9,13.0,0.0,23.4,41.8,35677.75
2000-01-08,22.1,2.6,12.9,0.0,21.3,38.9,35722.32
2000-01-09,21.7,6.3,13.5,0.0,20.6,40.7,35767.34
2000-01-10,21.7,5.6,13.2,0.0,15.8,33.8,35812.71
2000-01-11,23.2,4.3,13.7,0.0,11.8,26.3,35858.34
2000-01-12,23.6,7.4,14.9,0.0,11.3,18.4,35904.11
2000-01-13,23.5,6.8,15.4,0.0,19.7,38.2,35949.91
2000-01-14,17.6,9.1,12.3,0.0,24.6,41.4,30222.81
2000-01-15,17.9,7.8,11.5,0.0,26.8,46.4,26673.89
2000-01-16,18.6,8.2,12.4,0.0,19.2,35.6,36000.0
2000-01-17,18.9,6.4,11.7,0.0,14.7,31.7,36000.0
2000-01-18,20.4,5.3,12.1,0.0,12.1,26.6,36000.0
2000-01-19,22.0,3.8,13.1,0.0,9.0,22.0,36005.54
2000-01-20,22.4,3.9,13.4,0.0,9.7,22.3,36004.29
2000-01-21,21.9,4.3,13.2,0.0,13.9,23.8,36033.96
2000-01-22,23.1,5.9,14.7,0.0,15.1,31.7,36035.27
2000-01-23,22.9,4.7,14.1,0.0,13.9,26.6,36000.0
2000-01-24,23.2,8.2,14.9,0.0,18.9,37.4,36078.77
2000-01-25,23.9,6.6,15.1,0.0,17.7,36.4,36081.4
2000-01-26,26.2,6.2,16.2,0.0,20.8,35.6,36133.58
2000-01-27,24.1,6.7,15.7,0.0,19.0,38.5,36143.01
2000-01-28,23.8,5.1,14.3,0.0,12.9,30.2,36202.91
2000-01-29,24.3,4.7,14.2,0.0,19.7,36.4,36264.57
2000-01-30,23.6,2.3,13.6,0.0,24.3,42.1,36052.9
2000-01-31,23.4,3.5,14.0,0.0,19.8,35.3,36379.79
2000-02-01,23.2,5.3,14.4,0.0,24.1,41.4,36044.34
2000-02-02,19.5,5.4,11.1,0.0,27.2,43.6,36362.38
2000-02-03,14.7,3.3,7.8,0.0,18.9,32.0,36517.8
2000-02-04,19.1,-0.4,9.4,0.0,13.0,26.6,36375.77
2000-02-05,21.0,4.3,11.7,0.0,23.2,43.2,36459.55
2000-02-06,22.9,2.9,13.4,0.0,19.2,33.8,36336.39
2000-02-07,22.8,6.5,14.5,0.0,20.1,38.9,36754.36
2000-02-08,19.7,6.0,12.4,0.0,14.7,30.6,36819.79
