Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,25.5,13.7,19.0,0.0,9.0,21.2,35615.01
2000-01-02,25.7,14.1,19.3,0.0,9.2,22.0,35648.37
2000-01-03,25.9,14.5,19.3,0.0,7.9,19.8,35494.11
2000-01-04,26.5,13.1,19.5,0.0,8.8,20.2,35531.32
2000-01-05,26.7,15.4,20.4,0.0,7.9,19.8,35662.29
2000-01-06,26.6,15.4,20.0,0.0,8.8,16.9,35516.32
2000-01-07,25.7,16.0,20.4,0.0,11.2,26.6,35053.02
2000-01-08,26.5,13.7,19.7,0.0,8.2,18.7,35416.04
2000-01-09,26.8,14.2,20.1,0.0,7.6,15.5,35729.64
2000-01-10,27.4,13.7,20.0,0.0,8.8,15.1,35771.21
2000-01-11,27.8,13.1,20.4,0.0,8.2,21.6,35813.21
2000-01-12,27.7,14.2,20.4,0.0,7.3,18.7,35855.58
2000-01-13,28.0,14.2,20.7,0.0,8.2,17.3,35987.03
2000-01-14,28.2,13.5,20.7,0.0,7.9,14.0,36029.67
2000-01-15,28.7,13.6,21.0,0.0,9.4,15.1,36072.46
2000-01-16,28.7,14.4,21.2,0.0,8.9,19.4,36115.35
2000-01-17,28.9,15.2,21.6,0.0,9.4,22.3,36069.68
2000-01-18,27.9,16.3,21.4,0.0,8.0,19.4,36200.98
2000-01-19,28.3,16.4,21.9,0.0,8.2,19.1,36154.76
2000-01-20,29.2,17.4,22.5,0.0,19.9,43.6,36286.81
2000-01-21,27.8,15.3,21.1,0.0,14.9,35.3,36330.5
2000-01-22,28.0,14.2,20.5,0.0,7.2,21.2,36374.64
2000-01-23,28.1,14.0,20.5,0.0,9.0,24.5,36419.15
2000-01-24,27.8,15.3,21.2,0.0,8.4,19.4,36372.86
2000-01-25,28.0,15.2,21.2,0.0,9.6,22.7,36417.21
2000-01-26,28.2,16.4,21.7,0.0,7.6,21.2,36461.61
2000-01-27,28.3,16.3,21.5,0.0,7.3,15.8,36692.32
2000-01-28,29.8,14.5,21.8,0.0,11.7,27.4,36738.16
2000-01-29,29.7,14.1,21.1,0.0,17.6,37.4,36877.72
2000-01-30,26.1,14.5,20.1,0.0,9.4,29.2,36786.21
2000-01-31,27.5,13.5,20.3,0.0,10.0,21.2,36886.27
2000-02-01,27.7,14.4,20.6,0.0,7.3,19.8,36890.61
2000-02-02,29.9,14.7,21.8,0.0,15.5,31.7,36894.97
2000-02-03,29.3,15.6,21.9,0.0,12.8,28.4,36999.02
2000-02-04,29.4,14.0,21.7,0.0,8.4,21.2,36802.77
2000-02-05,29.4,16.2,22.6,0.0,7.9,18.7,37009.63
2000-02-06,29.3,18.2,23.2,0.0,8.4,20.2,37014.8
2000-02-07,28.3,16.9,22.5,0.0,8.0,19.8,37019.84
2000-02-08,27.6,17.3,22.4,0.0,7.9,21.2,36919.38
2000-02-09,27.0,16.7,21.8,0.1,8.2,21.2,37029.45
2000-02-10,28.4,16.5,22.0,0.0,8.9,22.3,36926.27
2000-02-11,29.2,16.3,22.5,0.0,9.3,18.7,37474.59
2000-02-12,29.6,15.4,22.6,0.0,8.3,23.4,37483.87
2000-02-13,31.1,17.8,23.9,0.0,9.4,25.2,37604.58
2000-02-14,32.0,19.2,24.9,0.0,7.8,21.2,37614.7
2000-02-15,32.6,19.4,25.6,0.0,8.4,19.4,36710.18
2000-02-16,31.3,19.8,25.2,0.0,8.0,23.8,37287.03
2000-02-17,33.1,17.6,24.8,0.0,14.3,34.6,37876.02
2000-02-18,31.9,17.5,24.3,0.0,13.2,31.3,37914.28
2000-02-19,30.6,18.3,24.2,0.0,8.1,19.4,37786.31
2000-02-20,30.3,17.2,23.5,0.0,9.2,19.1,38061.12
2000-02-21,30.6,15.6,23.1,0.0,10.2,19.8,38102.88
2000-02-22,31.2,17.0,23.7,0.0,9.4,24.1,38217.29
2000-02-23,31.6,17.0,23.9,0.0,9.3,23.8,38261.47
2000-02-24,32.0,16.2,24.2,0.0,8.9,25.6,38170.2
