Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,34.0,18.8,26.5,0.0,7.7,22.3,39123.65
2000-01-02,35.0,21.3,27.6,0.0,9.0,24.1,39132.74
2000-01-03,34.7,20.6,27.3,0.0,8.7,24.5,39142.69
2000-01-04,34.0,20.5,27.0,0.0,9.3,20.9,39153.43
2000-01-05,34.4,19.7,26.9,0.0,8.7,24.8,39164.98
2000-01-06,34.4,19.6,26.8,0.0,8.7,27.7,39177.28
2000-01-07,34.6,19.0,27.0,0.0,8.2,22.0,39190.31
2000-01-08,34.4,20.0,26.9,0.0,8.9,21.6,39204.07
2000-01-09,34.1,19.2,26.7,0.0,8.4,27.0,39218.5
2000-01-10,34.3,19.7,27.0,0.0,9.8,26.3,39233.61
2000-01-11,34.8,20.4,27.3,0.0,12.2,32.4,39238.45
2000-01-12,34.7,19.8,27.1,0.0,9.8,28.1,39222.09
2000-01-13,33.1,19.1,26.3,0.0,7.0,23.8,39206.71
2000-01-14,33.4,20.5,27.0,0.0,8.2,23.0,39192.39
2000-01-15,34.5,21.9,28.0,0.0,8.5,25.6,39179.18
2000-01-16,35.6,19.6,27.7,0.0,11.1,30.2,39167.14
2000-01-17,35.5,21.5,28.1,0.0,10.7,24.5,39156.33
2000-01-18,33.3,19.7,26.6,0.0,10.0,23.0,39146.81
2000-01-19,33.7,20.3,26.9,0.0,7.3,23.4,39138.62
2000-01-20,35.5,20.2,27.7,0.0,12.1,31.3,39131.52
2000-01-21,35.6,22.0,28.2,0.0,12.8,31.7,39125.41
2000-01-22,35.8,20.4,27.9,0.0,11.9,31.3,39120.28
2000-01-23,35.6,19.8,27.5,0.0,9.4,28.4,39116.12
2000-01-24,34.0,20.5,26.8,0.0,7.6,23.8,39112.92
2000-01-25,35.1,20.4,27.2,0.0,9.4,23.8,39110.69
2000-01-26,36.7,18.9,27.8,0.0,11.4,30.6,39109.39
2000-01-27,37.4,20.1,29.0,0.0,13.0,34.2,39109.05
2000-01-28,36.9,24.0,29.7,0.0,17.0,42.5,39109.64
2000-01-29,34.9,20.8,27.6,0.0,12.6,28.4,39111.16
2000-01-30,34.0,18.7,26.2,0.0,8.7,27.0,39113.61
2000-01-31,33.4,17.6,25.5,0.0,9.0,27.4,39116.97
2000-02-01,32.3,17.5,24.7,0.0,9.2,26.6,39121.25
2000-02-02,32.2,17.7,24.5,0.0,9.3,23.8,39126.43
2000-02-03,32.9,17.1,24.7,0.0,8.6,26.3,39132.52
2000-02-04,33.8,17.7,25.8,0.0,7.6,27.4,39139.51
2000-02-05,33.9,18.5,26.3,0.0,8.7,24.5,39147.4
2000-02-06,34.9,19.2,27.0,0.0,9.8,24.5,39156.18
2000-02-07,34.4,19.8,26.8,0.0,9.1,27.0,39165.84
2000-02-08,33.5,18.5,26.0,0.0,8.8,26.3,39176.41
2000-02-09,33.0,18.0,25.9,0.0,8.8,28.1,39188.11
2000-02-10,33.3,18.6,25.9,0.0,9.0,27.4,39200.99
2000-02-11,33.1,18.2,25.7,0.0,8.7,28.8,39214.98
2000-02-12,34.3,18.6,26.2,0.0,9.4,25.6,39230.05
2000-02-13,34.7,18.5,26.5,0.0,8.8,25.2,39246.12
2000-02-14,34.8,18.0,26.7,0.0,8.6,26.3,39263.14
2000-02-15,34.2,19.3,26.9,0.0,9.2,27.4,39281.07
2000-02-16,35.3,19.4,27.4,0.0,9.4,24.1,39299.86
2000-02-17,34.6,19.5,27.2,0.0,8.6,26.3,39319.43
2000-02-18,34.4,19.5,27.0,0.0,9.3,28.8,39339.75
2000-02-19,36.1,20.2,28.2,0.0,9.6,25.9,39360.76
2000-02-20,37.4,21.4,29.2,0.0,10.9,32.0,39382.41
2000-02-21,36.0,21.7,28.5,0.0,7.8,23.4,39404.65
2000-02-22,36.6,21.0,28.7,0.0,8.8,25.2,39427.43
2000-02-23,36.7,20.5,28.6,0.0,9.4,28.4,39450.7
2000-02-24,36.2,19.9,28.0,0.0,9.5,25.6,39474.39
2000-02-25,36.5,19.7,28.0,0.0,10.0,26.6,39498.48
2000-02-26,35.8,20.4,27.9,0.0,10.2,25.9,39522.91
2000-02-27,34.8,18.4,26.5,0.0,9.5,28.8,39547.62
2000-02-28,34.5,18.6,26.4,0.0,8.9,28.8,39572.6
2000-02-29,35.3,19.1,27.1,0.0,9.7,31.3,39598.36
2000-03-01,36.1,19.8,27.8,0.0,11.2,33.1,39600.0
2000-03-02,36.5,20.2,28.3,0.0,11.4,33.5,39600.0
2000-03-03,36.4,20.8,28.5,0.0,10.0,31.7,39644.71
2000-03-04,37.2,21.2,29.1,0.0,12.0,37.4,39644.25
2000-03-05,37.1,21.7,29.2,0.0,9.8,33.8,39643.87
2000-03-06,37.0,20.9,28.9,0.0,9.4,25.6,39643.56
2000-03-07,36.8,21.4,28.9,0.0,10.0,26.3,39643.32
2000-03-08,36.3,20.7,28.5,0.0,14.0,39.2,39643.13
2000-03-09,36.2,20.5,28.3,0.0,9.8,31.0,39643.0
2000-03-10,36.5,20.1,28.3,0.0,9.6,31.3,39642.93
2000-03-11,36.7,20.4,28.7,0.0,9.7,29.2,39600.0
2000-03-12,37.1,21.5,29.2,0.0,10.6,27.7,39642.91
2000-03-13,37.7,21.8,29.7,0.0,9.6,29.9,39600.0
2000-03-14,36.4,21.3,28.9,0.0,9.2,25.9,39600.0
2000-03-15,36.3,21.3,28.9,0.0,8.6,27.4,39600.0
2000-03-16,35.9,22.8,29.3,0.0,8.7,24.8,39600.0
2000-03-17,36.3,22.7,29.5,0.0,8.8,27.0,39600.0
2000-03-18,34.9,23.7,29.5,0.0,12.1,28.1,37849.17
2000-03-19,33.7,24.3,28.0,5.2,13.5,34.2,39600.0
2000-03-20,31.8,22.5,26.8,0.8,11.6,33.5,38646.73
2000-03-21,35.4,22.8,28.8,0.0,9.4,27.7,39600.0
2000-03-22,35.6,24.6,29.7,0.0,10.8,29.2,39600.0
2000-03-23,33.6,22.8,28.0,0.3,10.9,30.6,38044.37
2000-03-24,36.7,23.3,29.3,0.0,9.2,27.7,39600.0
2000-03-25,36.2,20.6,28.4,0.0,8.4,25.2,39600.0
2000-03-26,36.1,22.8,29.2,0.0,11.5,31.7,39600.0
2000-03-27,36.6,22.4,29.9,0.0,9.3,28.4,39646.72
2000-03-28,37.5,22.3,29.5,0.0,9.6,28.4,39647.24
2000-03-29,38.5,22.3,30.1,0.0,10.5,32.0,39647.77
2000-03-30,38.6,21.7,30.2,0.0,10.0,29.5,39768.03
2000-03-31,37.3,23.1,30.1,0.0,9.1,27.4,39766.1
2000-04-01,38.8,24.1,31.3,0.0,10.4,28.8,39714.55
2000-04-02,35.6,23.7,29.8,0.4,11.5,32.0,39600.0
2000-04-03,35.7,24.5,29.6,0.6,10.9,30.2,39600.0
2000-04-04,35.0,23.9,29.2,0.8,11.2,31.7,39600.0
2000-04-05,34.3,23.1,28.5,0.3,10.7,29.9,39617.66
2000-04-06,34.9,23.4,28.9,0.3,9.2,27.7,39697.88
