Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,16.3,1.4,9.3,0.0,10.2,19.8,33018.6
2000-01-02,15.7,1.0,9.1,0.0,9.0,15.5,32944.72
2000-01-03,15.6,1.0,9.0,0.0,9.0,16.6,32990.78
2000-01-04,15.3,0.6,8.7,0.0,8.7,13.7,32994.82
2000-01-05,15.4,-0.2,8.4,0.0,9.0,14.4,33051.64
2000-01-06,17.4,3.5,10.5,0.0,10.9,21.6,32851.34
2000-01-07,17.1,5.5,11.2,0.0,14.0,27.4,32636.48
2000-01-08,14.3,5.3,9.9,0.0,8.2,19.4,21878.06
2000-01-09,16.5,7.5,11.3,0.0,17.7,37.4,32776.77
2000-01-10,11.0,3.3,7.4,1.3,9.3,20.2,8926.44
2000-01-11,7.5,3.8,5.8,9.4,9.7,35.3,12930.27
2000-01-12,9.8,0.9,5.9,1.8,19.3,38.2,27330.89
2000-01-13,3.8,-3.8,-0.4,0.0,35.3,68.8,33739.68
2000-01-14,7.3,-2.8,1.0,0.0,26.0,54.0,33851.29
2000-01-15,6.9,-4.8,0.0,0.0,21.7,43.2,33968.21
2000-01-16,7.6,-6.3,1.1,0.0,8.5,21.2,33999.23
2000-01-17,10.7,-3.3,4.1,0.0,8.0,14.4,32849.27
2000-01-18,13.4,1.3,7.8,0.0,11.5,24.8,33693.08
2000-01-19,16.1,4.1,10.0,0.0,18.4,37.8,33512.6
2000-01-20,16.2,0.7,9.1,0.0,11.0,23.4,33155.54
2000-01-21,15.0,5.0,10.0,0.0,12.9,26.3,33823.84
2000-01-22,14.0,1.9,8.4,0.0,11.1,20.2,34417.69
2000-01-23,14.1,3.1,8.7,0.0,16.4,31.7,34479.85
2000-01-24,14.4,4.1,9.4,0.8,18.1,35.3,34542.57
2000-01-25,12.7,0.9,7.6,1.6,16.6,32.4,34689.54
2000-01-26,10.5,-2.0,5.3,0.0,9.2,20.2,34498.23
2000-01-27,12.1,-0.3,6.1,0.0,8.9,21.2,34994.11
2000-01-28,16.0,-0.3,8.3,0.0,11.0,21.6,35151.75
2000-01-29,19.7,3.4,11.9,0.0,11.9,24.8,35222.29
2000-01-30,21.2,6.0,13.6,0.0,18.2,35.6,35385.17
2000-01-31,17.2,5.2,10.9,0.0,24.7,49.0,35457.12
2000-02-01,17.3,1.0,8.8,0.0,28.1,54.7,35674.39
2000-02-02,12.5,2.2,6.8,0.0,16.4,32.4,24754.92
2000-02-03,12.1,-0.1,6.1,0.0,12.4,28.8,33799.72
2000-02-04,9.3,2.3,5.3,6.0,16.7,34.2,31306.68
2000-02-05,12.9,0.0,6.1,0.0,15.5,32.8,36059.08
2000-02-06,11.5,-3.4,5.1,0.0,9.1,21.6,36156.89
2000-02-07,11.5,-0.3,6.3,0.0,14.8,30.2,36255.12
2000-02-08,10.1,0.7,6.2,1.4,19.3,37.8,28148.06
2000-02-09,11.2,4.4,7.3,4.0,16.4,38.9,24058.1
2000-02-10,10.2,-1.2,4.3,0.0,19.4,39.2,36555.15
2000-02-11,10.0,-3.3,2.9,0.0,21.7,43.6,36658.0
2000-02-12,9.0,-6.9,2.0,0.0,9.1,23.4,36762.12
2000-02-13,10.7,-5.9,3.0,0.0,9.4,18.4,36867.4
2000-02-14,13.2,-4.9,5.2,0.0,9.7,19.1,36973.72
2000-02-15,14.7,3.1,8.9,0.0,19.7,39.6,37080.97
2000-02-16,14.6,2.0,7.7,0.0,25.8,51.1,37189.03
2000-02-17,15.7,-0.3,7.5,0.0,17.8,37.4,37297.8
2000-02-18,14.1,0.1,7.8,0.0,15.9,28.4,37407.17
2000-02-19,13.8,-0.4,7.2,0.5,20.2,38.5,37517.03
2000-02-20,13.7,-0.6,7.1,0.0,16.1,35.3,37627.27
2000-02-21,12.5,-0.9,6.3,0.0,14.3,29.5,37737.81
2000-02-22,13.9,1.1,7.5,0.0,23.4,46.4,37848.53
2000-02-23,14.5,1.2,8.8,0.0,13.0,28.8,37959.35
2000-02-24,16.7,-0.8,8.5,0.0,14.1,30.6,38070.16
2000-02-25,18.0,4.1,10.8,0.0,17.3,36.4,38180.88
2000-02-26,18.2,1.4,11.0,0.0,17.1,32.4,38291.4
2000-02-27,20.9,5.3,14.0,0.0,19.5,34.9,38401.64
2000-02-28,22.6,6.5,15.2,0.0,23.6,45.4,38511.54
2000-02-29,23.1,9.6,16.2,0.0,28.2,59.0,38621.8
2000-03-01,21.2,9.5,15.0,0.0,26.4,53.6,38732.82
2000-03-02,20.3,6.0,13.3,0.0,20.6,44.3,38844.51
2000-03-03,20.6,3.8,13.2,0.2,22.1,45.0,38956.77
2000-03-04,15.7,5.5,10.7,0.0,31.3,61.6,39051.83
2000-03-05,17.0,2.3,9.7,0.0,21.9,45.0,39122.15
2000-03-06,15.6,0.8,9.0,0.0,22.6,44.3,39193.19
2000-03-07,16.3,2.2,10.4,0.0,12.1,28.1,39264.83
2000-03-08,20.0,3.6,11.7,0.0,16.9,32.8,39337.01
2000-03-09,22.1,5.8,14.4,0.0,19.2,36.4,39409.59
2000-03-10,23.0,6.1,16.0,0.0,17.5,35.3,39364.61
2000-03-11,20.1,7.1,13.5,0.0,16.5,33.5,39555.64
2000-03-12,18.1,3.6,12.1,0.0,14.0,32.4,39600.0
2000-03-13,19.4,3.1,12.4,0.0,15.8,31.7,39600.0
2000-03-14,19.8,5.4,13.7,0.0,19.3,38.5,39600.0
2000-03-15,20.9,6.1,14.7,0.0,24.5,48.6,39600.0
2000-03-16,23.0,10.3,16.3,0.0,23.8,48.6,39600.0
2000-03-17,21.2,7.7,14.1,0.0,27.2,55.4,39631.25
2000-03-18,20.7,5.8,13.3,0.0,17.6,34.9,39629.06
2000-03-19,21.0,4.6,14.0,0.0,15.7,28.4,39626.43
2000-03-20,16.8,8.2,13.0,0.7,11.9,33.1,25808.76
2000-03-21,18.2,5.9,12.1,0.7,18.1,38.5,38971.64
2000-03-22,17.0,4.9,11.1,0.8,9.5,29.5,39615.23
2000-03-23,21.1,6.3,14.1,0.0,17.9,32.4,39825.43
2000-03-24,23.8,9.4,17.0,0.0,14.5,28.4,39817.57
2000-03-25,25.9,12.0,19.2,0.0,11.8,27.4,39896.34
2000-03-26,26.3,9.8,19.3,0.0,17.2,33.5,38534.99
2000-03-27,27.1,13.8,20.8,0.0,18.0,36.0,38316.8
2000-03-28,26.4,10.7,20.1,0.0,22.4,44.3,36582.22
2000-03-29,26.1,11.8,19.4,0.0,26.3,50.4,37976.29
2000-03-30,24.7,9.8,18.4,0.0,24.1,47.5,40322.99
2000-03-31,23.5,11.9,17.9,0.0,19.8,40.3,40309.26
2000-04-01,24.2,9.1,18.0,0.0,12.8,26.3,41210.61
2000-04-02,26.0,9.9,19.1,0.0,16.3,35.6,40950.81
2000-04-03,27.3,11.5,20.3,0.0,24.8,48.2,41675.47
2000-04-04,27.5,12.3,20.2,0.0,19.4,40.7,41979.04
2000-04-05,25.9,8.2,18.9,0.0,15.9,32.0,42149.97
2000-04-06,27.4,12.9,20.9,0.0,24.8,45.4,41443.4
2000-04-07,27.8,13.0,21.4,0.0,16.6,32.0,41485.39
