Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,26.8,23.6,24.8,0.6,16.7,30.6,36192.74
2000-01-02,27.4,23.8,25.2,0.0,16.5,30.2,36309.45
2000-01-03,25.8,23.3,24.3,1.1,23.7,39.6,36393.46
2000-01-04,25.7,23.4,24.3,0.9,22.4,39.6,37004.63
2000-01-05,27.1,23.1,24.6,1.3,15.0,28.4,36696.6
2000-01-06,26.6,23.4,24.5,0.8,14.8,29.2,36794.09
2000-01-07,26.2,23.3,24.5,1.2,15.5,27.7,36492.84
2000-01-08,26.8,23.3,24.7,0.5,13.0,23.0,36114.54
2000-01-09,27.9,23.4,25.2,0.0,14.7,27.4,36783.75
2000-01-10,27.2,23.4,24.9,0.5,15.4,31.3,36452.54
2000-01-11,27.2,23.6,24.9,0.2,19.7,37.8,37441.21
2000-01-12,27.1,22.9,24.7,0.4,15.2,31.0,37043.07
2000-01-13,26.2,23.4,24.5,2.3,12.3,23.4,36581.02
2000-01-14,27.4,23.4,24.8,0.5,12.3,24.5,36431.57
2000-01-15,27.7,23.6,25.2,0.0,16.0,30.6,37137.2
2000-01-16,27.1,23.3,24.8,0.3,14.3,27.0,36962.32
2000-01-17,27.5,23.3,24.8,0.0,17.5,31.3,36749.34
2000-01-18,25.9,22.8,24.0,1.5,18.0,35.6,36387.81
2000-01-19,26.2,22.9,24.2,0.0,16.7,31.3,36960.63
2000-01-20,25.7,22.4,23.7,2.0,15.0,28.4,36770.7
2000-01-21,26.6,23.1,24.2,4.2,20.2,47.5,36398.9
2000-01-22,25.5,23.3,24.1,2.3,26.6,54.7,36390.38
2000-01-23,26.1,23.3,24.3,0.7,28.0,52.9,37150.97
2000-01-24,26.4,23.0,24.1,1.4,25.5,49.0,37159.66
2000-01-25,25.9,22.8,24.1,0.6,21.9,41.4,37262.64
2000-01-26,25.5,22.8,23.8,0.5,27.9,52.9,37151.12
2000-01-27,25.3,22.1,23.5,1.6,29.8,54.4,37856.34
2000-01-28,24.2,21.6,22.6,1.9,34.1,63.4,37967.04
2000-01-29,23.6,21.0,22.1,0.0,31.7,61.6,36752.85
2000-01-30,25.0,21.5,22.8,0.6,33.7,58.0,37993.27
2000-01-31,24.3,21.2,22.5,4.2,34.5,63.4,33415.98
2000-02-01,21.8,21.1,21.5,34.7,27.2,47.5,0.0
2000-02-02,24.4,21.6,23.0,28.0,29.0,52.2,15045.05
2000-02-03,23.9,22.2,23.0,31.3,21.8,42.5,0.0
2000-02-04,24.5,22.8,23.5,10.7,17.3,32.4,10076.17
2000-02-05,26.1,22.7,23.9,10.1,10.0,31.7,29444.34
2000-02-06,25.5,22.5,24.0,4.7,10.5,23.0,36566.87
2000-02-07,25.7,22.9,24.1,5.4,8.7,20.2,36972.78
2000-02-08,25.3,22.4,23.5,3.3,31.5,57.2,20181.84
2000-02-09,23.6,21.8,22.6,3.8,33.2,60.1,29658.12
2000-02-10,24.1,21.6,22.7,25.6,24.0,41.8,1236.78
2000-02-11,25.7,22.3,23.6,34.8,15.5,29.9,28772.53
