Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,-37.8,-41.5,-39.8,0.0,6.5,12.2,0.0
2000-01-02,-42.1,-49.5,-46.9,0.0,8.1,12.2,8916.19
2000-01-03,-46.9,-49.6,-48.5,0.0,9.1,14.0,8910.95
2000-01-04,-48.1,-51.4,-50.2,0.0,9.1,15.1,9684.67
2000-01-05,-48.5,-51.9,-50.4,0.0,10.2,17.6,9981.81
2000-01-06,-47.4,-51.4,-50.0,0.0,8.0,13.7,10244.5
2000-01-07,-45.7,-51.5,-48.5,0.0,9.7,18.0,10553.26
2000-01-08,-33.0,-45.6,-39.6,0.0,13.4,27.7,0.0
2000-01-09,-32.3,-36.6,-34.0,0.0,11.1,23.8,9592.99
2000-01-10,-37.2,-40.1,-39.2,0.0,8.7,14.4,8807.7
2000-01-11,-27.3,-41.0,-35.5,0.0,11.6,22.7,0.0
2000-01-12,-18.2,-26.7,-22.1,0.0,9.7,18.0,0.0
2000-01-13,-17.1,-18.5,-18.0,0.0,13.0,25.9,3118.94
2000-01-14,-15.8,-20.3,-17.2,0.0,13.8,29.9,0.0
2000-01-15,-21.7,-29.1,-25.2,0.0,12.5,23.8,13870.76
2000-01-16,-19.8,-22.8,-21.3,0.0,11.5,20.5,422.18
2000-01-17,-19.8,-21.9,-20.7,0.0,13.2,25.6,6549.97
2000-01-18,-22.4,-32.7,-27.6,0.0,12.1,23.8,14897.3
2000-01-19,-28.8,-33.1,-30.8,0.0,9.2,17.6,0.0
2000-01-20,-30.1,-38.4,-34.6,0.0,8.0,13.0,15564.89
2000-01-21,-38.4,-42.7,-40.6,0.0,6.3,10.1,15973.23
2000-01-22,-30.5,-42.7,-37.9,0.0,15.9,28.8,16382.3
2000-01-23,-22.1,-29.9,-25.6,0.0,16.5,32.0,16179.65
2000-01-24,-22.6,-27.9,-26.0,0.0,15.1,30.2,17209.73
2000-01-25,-24.2,-28.9,-26.5,0.0,15.5,29.2,17626.62
2000-01-26,-18.0,-25.8,-21.0,0.0,15.3,30.6,10276.65
2000-01-27,-17.5,-22.2,-18.8,0.0,14.7,32.8,2328.89
2000-01-28,-22.5,-26.6,-25.2,0.0,13.0,23.0,18882.58
2000-01-29,-18.8,-26.1,-22.7,0.0,17.0,32.8,19459.37
2000-01-30,-14.6,-18.6,-16.9,0.0,19.3,38.5,19818.27
2000-01-31,-16.9,-19.8,-18.4,0.0,12.5,23.4,11489.09
2000-02-01,-13.8,-19.5,-16.0,0.0,14.3,32.0,0.0
2000-02-02,-16.8,-23.1,-18.9,0.0,9.4,17.6,20357.04
2000-02-03,-22.8,-28.6,-25.4,0.0,6.8,10.4,19681.25
2000-02-04,-26.0,-32.8,-29.5,0.0,6.8,10.4,19955.88
2000-02-05,-26.0,-33.3,-30.1,0.0,7.7,14.4,21541.46
2000-02-06,-24.1,-31.4,-28.1,0.0,12.6,22.7,22631.22
2000-02-07,-14.3,-26.4,-18.5,3.9,14.9,30.6,0.0
2000-02-08,-13.9,-20.1,-16.6,0.0,15.1,34.9,15619.55
2000-02-09,-20.8,-26.7,-24.0,0.0,12.0,25.2,23627.68
2000-02-10,-23.4,-29.0,-26.8,0.0,10.5,16.9,23961.18
2000-02-11,-22.9,-30.3,-27.2,0.0,9.5,15.1,24536.79
2000-02-12,-22.7,-30.7,-27.2,0.0,11.0,15.8,24989.48
2000-02-13,-21.9,-29.0,-26.5,0.0,9.9,15.8,25390.65
2000-02-14,-22.3,-30.8,-27.5,0.0,10.2,16.2,24674.0
2000-02-15,-23.2,-31.3,-27.7,0.0,8.7,14.4,26262.56
2000-02-16,-23.2,-32.7,-27.4,0.0,10.8,19.1,26257.14
2000-02-17,-17.2,-23.1,-19.9,0.2,10.7,23.8,2894.03
2000-02-18,-14.7,-21.6,-18.4,0.0,7.6,13.7,23824.9
2000-02-19,-18.9,-25.2,-22.6,0.0,8.2,13.7,19489.36
2000-02-20,-21.2,-29.5,-25.9,0.0,7.9,11.2,26971.71
2000-02-21,-23.9,-34.6,-29.5,0.0,9.8,16.2,28531.75
2000-02-22,-21.2,-30.7,-26.8,0.0,10.1,18.0,28973.2
2000-02-23,-20.1,-29.7,-25.6,0.0,10.3,20.9,29361.54
2000-02-24,-21.1,-29.7,-25.2,0.0,8.7,19.8,7170.63
2000-02-25,-26.1,-35.6,-30.5,0.0,10.2,26.3,30130.25
2000-02-26,-27.6,-40.6,-32.9,0.0,14.7,30.2,26492.81
2000-02-27,-10.4,-27.1,-17.7,2.6,15.9,33.5,0.0
2000-02-28,-11.3,-17.5,-14.1,0.0,15.5,36.0,30726.35
2000-02-29,-12.1,-18.3,-15.9,0.0,14.5,31.7,21644.39
2000-03-01,-10.6,-17.0,-14.2,0.0,9.3,16.2,22916.35
2000-03-02,-9.4,-15.3,-12.2,0.6,10.5,24.8,14250.38
2000-03-03,-12.5,-25.4,-19.2,0.3,18.6,44.3,28553.92
2000-03-04,-22.9,-29.3,-26.5,0.0,11.6,26.6,33122.31
2000-03-05,-19.7,-31.8,-26.0,0.0,11.0,19.4,33496.35
2000-03-06,-14.7,-25.1,-19.0,0.4,12.3,28.4,16550.97
2000-03-07,-9.8,-20.7,-14.6,0.0,10.5,18.0,34210.18
2000-03-08,-6.4,-12.5,-9.5,0.0,11.3,23.8,34635.6
2000-03-09,-3.5,-12.8,-8.9,0.0,12.3,27.0,34936.99
2000-03-10,-5.3,-16.8,-10.8,0.0,5.8,11.2,35187.73
2000-03-11,-4.6,-18.8,-11.4,0.0,6.3,11.2,35548.54
2000-03-12,-6.9,-18.4,-12.6,0.0,9.2,20.2,35819.65
2000-03-13,-7.1,-14.2,-11.1,0.0,7.3,13.7,34010.36
2000-03-14,-7.7,-14.1,-11.3,0.0,12.1,27.7,28540.97
2000-03-15,-11.4,-19.4,-15.5,0.0,10.8,22.7,37083.74
2000-03-16,-12.8,-23.9,-17.9,0.0,8.8,16.9,35862.18
2000-03-17,-14.5,-22.4,-18.7,0.0,8.3,18.4,37394.44
2000-03-18,-14.3,-26.8,-20.2,0.0,9.1,15.5,38024.11
2000-03-19,-13.3,-25.5,-19.5,0.0,10.0,19.8,38595.27
2000-03-20,-12.1,-26.0,-18.0,0.0,6.4,12.2,38945.04
2000-03-21,-6.5,-22.8,-14.5,0.0,11.3,22.7,35821.36
2000-03-22,-7.5,-17.3,-12.6,0.0,12.6,31.0,39645.89
2000-03-23,-8.0,-21.0,-13.7,0.0,9.2,19.8,36712.65
2000-03-24,-4.3,-16.3,-9.9,0.0,11.5,21.2,34221.45
2000-03-25,-2.3,-9.6,-6.9,2.5,14.7,33.8,1555.39
2000-03-26,-3.8,-10.4,-7.6,0.0,11.6,28.4,27271.81
2000-03-27,-1.6,-11.4,-5.7,0.0,17.3,36.0,32702.77
2000-03-28,2.2,-3.4,-1.0,0.5,17.7,41.0,17552.13
2000-03-29,-2.4,-12.6,-6.8,0.0,18.4,42.1,20287.72
2000-03-30,-5.1,-16.5,-10.7,0.0,10.6,24.8,37657.77
2000-03-31,-3.9,-15.0,-9.3,0.0,12.5,31.3,37688.15
2000-04-01,-2.7,-12.1,-7.8,0.0,11.8,22.7,43033.3
2000-04-02,-2.6,-12.0,-7.3,0.0,16.8,40.0,16478.18
2000-04-03,-1.5,-13.9,-7.5,0.0,14.5,36.7,43421.17
2000-04-04,-1.1,-9.0,-5.1,0.0,20.7,47.5,17529.13
