Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,28.7,14.0,22.0,0.0,28.5,41.0,46920.6
2000-01-02,27.1,13.8,19.7,0.0,41.0,64.1,46889.45
2000-01-03,30.8,13.4,22.8,0.0,25.5,42.8,46837.41
2000-01-04,32.1,19.2,24.6,11.2,23.7,41.8,46800.0
2000-01-05,27.9,18.4,23.1,2.5,15.4,29.9,44936.24
2000-01-06,29.4,19.0,23.9,2.6,16.0,33.5,46800.0
2000-01-07,29.1,19.0,23.6,0.7,30.7,53.3,45033.89
2000-01-08,29.7,13.3,22.3,0.0,28.6,45.0,46939.51
2000-01-09,34.2,16.0,26.4,0.0,25.0,43.6,46916.0
2000-01-10,34.5,17.8,27.2,0.0,27.5,46.1,46815.68
2000-01-11,35.8,17.1,27.9,0.0,33.5,47.5,45867.41
2000-01-12,26.1,13.9,20.9,0.2,43.9,67.3,40639.24
2000-01-13,27.0,10.5,19.0,0.0,32.8,55.4,46720.06
2000-01-14,26.6,13.5,19.1,5.8,29.4,47.9,43280.68
2000-01-15,24.9,14.5,18.9,1.4,29.8,43.9,46113.58
2000-01-16,23.1,13.1,18.3,0.0,30.1,47.5,26594.34
2000-01-17,28.3,11.9,20.4,0.0,29.0,47.2,46518.03
2000-01-18,30.9,13.5,23.1,0.0,21.9,35.6,46418.24
2000-01-19,32.5,18.1,26.2,0.0,22.4,34.9,46368.55
2000-01-20,33.4,20.8,28.0,0.0,17.9,33.8,46271.62
2000-01-21,34.1,21.4,28.5,0.2,23.9,37.4,46185.12
2000-01-22,33.8,21.4,27.6,1.0,24.5,37.8,38862.44
2000-01-23,32.7,19.8,25.0,2.3,24.2,34.2,38645.3
2000-01-24,28.5,19.5,23.0,6.2,24.1,37.8,42361.13
2000-01-25,27.6,17.5,22.5,1.1,13.8,29.5,45982.02
2000-01-26,27.0,18.2,22.3,7.4,18.4,28.1,45930.54
2000-01-27,25.8,18.7,22.1,1.5,20.3,37.8,43169.59
2000-01-28,24.7,14.5,19.9,0.0,36.7,55.4,43921.9
2000-01-29,24.2,11.6,18.0,0.0,20.2,32.4,45779.57
2000-01-30,28.6,12.3,21.5,0.0,25.9,46.1,45728.87
2000-01-31,30.9,14.6,23.5,0.0,23.0,40.7,44623.87
2000-02-01,31.8,17.0,25.3,0.0,34.2,56.9,45620.79
2000-02-02,32.5,15.4,23.5,0.0,36.7,58.7,45569.62
2000-02-03,32.1,14.8,24.0,0.0,24.4,44.3,45518.72
2000-02-04,36.6,18.1,28.1,0.0,25.0,37.1,45468.2
2000-02-05,37.1,17.9,28.2,0.0,29.6,45.4,45418.08
2000-02-06,35.9,17.7,27.1,0.0,27.2,45.7,45368.43
2000-02-07,37.5,20.3,29.6,0.0,26.6,42.5,45279.33
2000-02-08,36.3,21.3,29.5,0.0,27.2,43.2,45189.05
2000-02-09,34.7,22.4,28.0,2.2,30.4,45.4,45097.31
2000-02-10,32.3,21.0,26.6,0.2,26.9,41.8,45004.02
2000-02-11,34.2,20.1,27.6,0.0,23.3,37.1,44909.29
2000-02-12,36.6,22.0,28.8,0.0,36.2,55.4,44813.23
2000-02-13,33.3,15.9,23.5,0.0,37.8,62.6,44715.93
2000-02-14,33.8,16.4,25.8,0.1,27.0,45.7,44617.49
2000-02-15,32.9,16.8,24.8,0.0,36.1,55.1,44518.0
2000-02-16,32.8,12.3,22.6,0.0,32.4,55.1,44417.58
2000-02-17,32.1,17.0,24.6,3.3,23.6,40.3,35838.82
2000-02-18,29.4,21.2,24.2,1.0,20.2,39.2,29972.06
2000-02-19,26.3,20.0,22.0,18.7,24.2,54.4,28367.54
2000-02-20,24.1,19.0,20.8,17.3,18.9,28.4,24265.64
2000-02-21,25.9,16.8,21.6,0.8,24.5,38.9,43680.13
2000-02-22,26.8,18.1,22.3,11.5,22.0,32.4,42360.67
2000-02-23,26.0,16.6,20.8,1.0,26.5,45.7,43229.62
2000-02-24,26.6,16.0,21.1,1.0,20.4,34.6,42865.8
2000-02-25,28.5,18.0,23.1,0.0,18.5,31.3,43370.85
2000-02-26,29.6,18.6,23.5,3.0,18.6,38.2,42748.66
2000-02-27,29.1,18.3,23.2,0.0,21.3,33.1,42936.5
2000-02-28,28.8,19.1,23.6,0.7,25.5,42.1,42771.78
2000-02-29,27.7,19.1,23.9,0.0,14.5,28.1,41870.86
2000-03-01,25.6,16.7,21.5,15.7,25.2,39.6,19445.71
2000-03-02,24.8,17.3,20.0,40.4,28.0,54.4,10874.7
2000-03-03,23.1,15.6,19.0,0.0,18.2,36.4,41757.26
2000-03-04,26.1,13.1,19.6,0.0,14.0,23.4,42219.97
2000-03-05,27.7,14.5,21.0,0.0,15.9,28.1,42140.11
2000-03-06,28.4,14.5,21.4,0.0,31.0,48.2,42058.73
2000-03-07,28.4,15.1,21.6,0.0,23.2,40.7,41836.48
2000-03-08,29.7,17.0,23.0,0.0,26.2,39.6,41757.48
2000-03-09,30.2,17.4,24.1,0.1,24.3,39.6,40948.49
2000-03-10,32.3,17.3,24.8,0.0,27.0,46.1,41410.35
2000-03-11,32.7,14.6,24.2,0.0,22.0,40.7,40692.91
2000-03-12,30.9,17.8,23.7,8.3,23.0,42.5,37133.55
2000-03-13,28.4,17.0,22.5,1.4,24.1,35.6,40857.38
2000-03-14,27.8,15.2,21.7,0.0,25.5,38.9,41109.35
2000-03-15,29.2,12.9,20.7,0.0,24.4,39.2,40707.3
2000-03-16,28.0,16.9,21.2,17.9,19.7,50.4,36622.51
2000-03-17,24.1,16.4,19.2,0.1,26.6,41.4,33620.5
2000-03-18,25.2,14.8,19.2,0.0,17.8,30.6,40502.78
