Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,10.7,-2.1,3.0,0.0,6.9,12.6,29138.53
2000-01-02,10.1,-2.0,3.2,0.0,5.4,12.2,29916.33
2000-01-03,9.0,-1.6,2.7,0.0,5.8,14.0,29968.82
2000-01-04,8.6,-1.4,2.6,0.0,7.3,13.3,30025.69
2000-01-05,6.6,-1.2,1.7,0.0,4.7,16.2,30086.79
2000-01-06,8.3,-1.2,2.3,0.0,6.5,14.0,30152.0
2000-01-07,10.5,-2.6,2.7,0.0,5.8,12.6,30221.15
2000-01-08,9.8,-2.1,2.4,0.0,7.6,13.0,30294.13
2000-01-09,6.0,-0.8,2.1,3.6,9.7,22.0,16940.83
2000-01-10,7.6,-0.2,2.8,0.0,16.6,36.0,30450.95
2000-01-11,8.5,0.6,3.6,0.1,12.2,26.3,30534.52
2000-01-12,7.8,-0.4,3.0,0.0,10.5,16.6,30621.33
2000-01-13,6.4,-0.3,2.6,0.9,12.6,27.7,24245.88
2000-01-14,4.6,0.5,2.2,19.7,8.0,28.1,15131.91
2000-01-15,5.3,-2.5,0.8,0.6,14.3,28.1,30899.89
2000-01-16,6.9,-0.1,2.6,0.0,15.8,36.0,23429.2
2000-01-17,9.2,-1.7,2.8,0.0,8.9,17.3,31099.32
2000-01-18,11.0,-2.5,2.6,0.0,6.0,14.4,31202.74
2000-01-19,11.9,-2.9,3.0,0.0,14.1,29.2,31308.85
2000-01-20,8.8,-2.8,2.1,0.0,12.1,28.8,31418.75
2000-01-21,10.3,-1.9,2.6,0.0,5.6,13.0,31532.33
2000-01-22,9.1,-2.6,1.7,0.0,6.2,12.6,31649.38
2000-01-23,8.4,-2.9,1.5,0.0,12.8,28.8,31769.68
2000-01-24,6.3,-3.1,0.5,0.0,7.6,22.3,31893.03
2000-01-25,5.3,-3.5,-0.2,0.0,7.2,20.9,32019.21
2000-01-26,6.1,-2.8,1.7,2.5,9.2,23.4,7716.34
