Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,31.1,20.3,25.3,0.0,13.3,28.4,41780.82
2000-01-02,30.5,20.2,25.3,0.0,14.8,33.1,41806.33
2000-01-03,30.1,20.5,24.8,1.4,14.6,35.6,41831.66
2000-01-04,29.3,18.6,23.9,4.4,18.1,36.0,41658.5
2000-01-05,29.8,19.2,24.4,0.0,15.1,35.6,41881.49
2000-01-06,30.2,18.7,24.7,0.0,15.4,32.4,41905.86
2000-01-07,29.7,20.2,24.9,0.0,15.0,34.6,41929.78
2000-01-08,31.4,19.6,25.2,4.1,12.4,31.0,40761.42
2000-01-09,22.6,18.9,20.5,63.9,9.1,22.7,1758.81
2000-01-10,24.6,18.1,21.0,8.6,9.6,33.1,38590.32
2000-01-11,25.7,17.6,21.2,9.7,7.1,27.4,39600.0
2000-01-12,26.5,17.7,22.0,0.0,9.2,26.3,40490.15
2000-01-13,26.8,18.5,22.5,0.0,10.2,27.4,39643.45
2000-01-14,26.3,18.7,22.3,0.0,12.0,28.8,40616.73
2000-01-15,26.8,17.4,22.0,1.9,8.5,24.5,42096.67
2000-01-16,27.1,17.2,22.0,0.0,10.4,26.6,42113.46
2000-01-17,28.0,17.2,22.6,0.0,11.8,28.1,42129.12
2000-01-18,28.1,17.0,22.7,0.0,12.6,29.9,42143.59
2000-01-19,27.7,16.4,22.5,0.0,14.5,32.4,42156.89
2000-01-20,28.9,17.2,23.3,0.0,12.9,26.3,42169.37
2000-01-21,28.6,16.9,22.9,0.0,12.7,35.3,42181.03
2000-01-22,30.3,18.2,24.2,0.0,18.8,37.8,42173.61
2000-01-23,29.8,18.0,24.2,0.0,20.7,41.4,42162.52
2000-01-24,29.3,18.8,24.3,0.0,17.3,39.2,42151.08
2000-01-25,29.6,19.7,24.8,0.0,15.5,37.4,42139.32
2000-01-26,29.8,19.8,24.9,0.0,12.3,27.7,42127.25
2000-01-27,30.3,18.2,23.8,1.8,13.8,32.4,42114.87
2000-01-28,29.5,18.5,24.0,0.3,9.4,23.4,42102.2
2000-01-29,29.9,19.4,24.5,0.5,13.9,25.2,42089.26
2000-01-30,26.1,18.6,22.5,11.9,16.2,30.6,37949.24
2000-01-31,27.9,18.7,23.1,3.0,10.4,26.6,40382.95
2000-02-01,29.2,19.2,23.7,0.0,13.0,29.9,42048.94
2000-02-02,28.1,17.4,22.6,7.4,9.2,24.1,42035.04
2000-02-03,27.2,17.5,21.9,9.5,8.2,25.6,40735.5
2000-02-04,26.9,17.9,22.1,10.0,10.1,24.8,41123.79
2000-02-05,25.6,17.4,21.5,5.0,10.4,29.9,40299.83
2000-02-06,25.1,17.8,21.2,8.3,9.7,24.5,39458.96
2000-02-07,25.3,17.4,21.2,5.2,7.4,24.5,41962.75
2000-02-08,26.6,16.8,21.7,0.1,8.9,22.7,41947.77
2000-02-09,26.2,18.1,21.8,2.5,8.1,24.5,41932.48
2000-02-10,26.2,17.8,21.8,1.3,8.0,26.6,35310.44
2000-02-11,27.0,17.3,22.0,0.5,9.4,26.6,41901.03
2000-02-12,27.5,17.7,22.5,0.0,13.6,29.2,41884.91
2000-02-13,28.2,17.0,22.5,0.0,10.2,26.6,41868.54
2000-02-14,29.0,17.8,23.3,0.0,9.0,24.5,41851.92
2000-02-15,29.3,18.2,23.8,0.0,11.2,31.7,41835.09
2000-02-16,29.4,18.1,23.6,0.0,10.2,27.4,41818.04
2000-02-17,29.4,17.9,23.7,0.0,10.9,28.8,40714.74
2000-02-18,28.2,18.5,23.6,0.3,12.1,31.3,41626.06
2000-02-19,27.3,17.4,21.8,8.8,11.3,26.6,39961.73
2000-02-20,27.3,18.0,22.3,11.4,9.1,24.1,38787.91
2000-02-21,28.9,17.5,23.2,0.8,8.7,27.0,41730.2
2000-02-22,29.4,17.7,23.4,0.5,8.1,22.7,41712.22
2000-02-23,27.8,18.6,23.1,7.0,11.8,28.1,40901.2
2000-02-24,28.5,18.6,23.2,9.9,11.2,23.4,41675.93
2000-02-25,28.9,18.7,23.5,0.0,15.9,30.2,41657.66
2000-02-26,29.2,17.3,23.3,0.0,10.5,28.8,41639.34
2000-02-27,29.5,17.8,24.1,0.0,9.2,25.6,41620.96
2000-02-28,29.8,18.2,24.4,0.6,8.9,26.6,41602.4
2000-02-29,29.1,18.8,23.6,2.6,19.8,39.2,41583.48
2000-03-01,26.5,18.6,22.2,4.8,9.5,28.8,36347.38
2000-03-02,26.9,18.5,22.4,5.7,7.4,32.0,31021.05
2000-03-03,27.4,18.6,22.3,29.5,7.1,26.6,30437.34
2000-03-04,24.0,18.7,20.6,10.8,11.0,23.4,15270.71
2000-03-05,26.0,17.7,21.8,0.3,9.2,25.2,38864.61
2000-03-06,26.6,18.7,22.2,1.3,8.7,22.3,37904.31
2000-03-07,27.0,18.5,22.7,1.2,13.3,24.8,39243.46
2000-03-08,25.2,18.5,21.6,10.3,8.9,23.0,37951.94
2000-03-09,25.2,18.2,20.8,12.2,10.2,27.7,26900.02
2000-03-10,25.3,18.2,21.3,7.0,4.1,25.6,31803.95
2000-03-11,26.4,17.9,21.8,4.0,8.4,23.0,37668.76
2000-03-12,25.6,18.3,21.2,11.9,7.5,20.9,31552.12
2000-03-13,26.6,17.8,22.0,0.6,10.8,27.0,41058.54
2000-03-14,26.4,18.0,22.1,0.0,14.1,28.8,41302.35
2000-03-15,26.4,18.4,22.2,2.0,14.2,32.0,41281.64
2000-03-16,25.2,18.4,21.2,8.9,8.2,23.0,37963.69
2000-03-17,25.6,18.3,21.7,1.3,12.2,26.3,40265.9
2000-03-18,25.7,18.3,21.8,0.9,13.4,31.3,41060.86
2000-03-19,25.9,18.0,21.7,1.0,18.0,36.4,41198.76
2000-03-20,26.2,17.1,21.7,0.8,12.9,29.5,41177.64
2000-03-21,26.9,17.0,21.9,2.1,14.8,35.6,40398.2
2000-03-22,26.9,18.1,22.0,0.2,17.0,36.0,40630.69
2000-03-23,26.9,18.2,22.2,1.1,18.4,39.6,40841.48
2000-03-24,26.7,17.3,21.8,2.1,15.3,32.0,40090.44
2000-03-25,26.9,17.6,21.6,1.1,16.2,37.4,41070.07
2000-03-26,26.5,17.7,21.8,0.0,15.8,29.5,41048.27
2000-03-27,27.0,18.2,21.8,2.1,14.5,31.7,40426.57
2000-03-28,26.9,17.8,22.1,0.8,15.3,35.3,40844.53
2000-03-29,27.3,17.4,22.6,0.2,16.2,36.4,40982.5
2000-03-30,27.1,17.2,22.0,0.5,15.8,37.8,40960.5
2000-03-31,28.1,16.7,22.5,0.0,13.3,33.1,40938.51
2000-04-01,28.5,17.6,22.9,0.0,17.0,40.0,40344.54
2000-04-02,29.0,17.7,23.2,0.0,17.9,38.5,40894.56
2000-04-03,29.1,17.6,23.4,0.0,14.8,32.8,40835.64
2000-04-04,29.5,18.7,24.1,0.1,11.8,29.2,40850.77
2000-04-05,28.2,18.7,23.0,2.8,8.6,26.6,39595.38
2000-04-06,27.3,18.2,22.2,8.8,10.2,23.8,39112.46
2000-04-07,26.4,17.7,21.6,10.8,9.8,27.0,40448.0
2000-04-08,26.4,18.1,21.8,0.8,14.4,31.3,40263.31
2000-04-09,26.8,18.1,22.3,0.4,13.7,30.6,40534.9
2000-04-10,27.2,18.2,22.1,1.2,17.0,35.3,40263.3
2000-04-11,26.9,17.8,22.2,0.5,18.0,38.5,40174.54
2000-04-12,27.1,17.7,22.2,0.0,19.8,40.3,39826.5
2000-04-13,26.8,17.2,21.7,0.3,18.0,40.7,39745.07
2000-04-14,24.3,17.9,21.1,1.1,13.8,34.6,26080.09
2000-04-15,28.0,17.0,22.3,0.0,14.8,38.2,40339.68
2000-04-16,27.8,17.3,22.5,0.0,16.9,35.6,40335.62
2000-04-17,29.6,16.8,22.9,0.0,18.4,39.2,40168.81
2000-04-18,28.2,17.1,22.7,0.5,18.4,41.8,40086.21
2000-04-19,28.6,17.2,22.7,0.5,19.2,43.2,40005.46
2000-04-20,29.6,17.1,22.9,0.1,19.7,37.4,40236.53
2000-04-21,29.1,16.8,23.0,0.0,18.4,35.6,40078.36
2000-04-22,29.0,17.0,23.3,0.0,18.0,36.7,39924.39
2000-04-23,29.1,17.8,23.5,0.0,15.6,37.4,39848.46
2000-04-24,29.2,18.3,23.6,0.0,17.7,39.2,39992.57
2000-04-25,30.1,17.4,23.6,0.0,19.9,38.9,40059.86
2000-04-26,29.6,17.3,23.5,0.0,19.1,37.8,39842.17
2000-04-27,30.2,17.7,23.8,0.0,21.9,41.0,39977.69
2000-04-28,29.0,18.0,23.4,0.0,20.4,46.1,39697.84
2000-04-29,29.1,18.0,23.3,0.0,22.9,49.7,39497.01
2000-04-30,28.2,18.6,23.2,0.7,21.3,45.4,39625.69
2000-05-01,26.9,17.8,22.7,0.0,18.9,38.5,34078.61
2000-05-02,28.1,17.8,22.9,0.0,19.6,36.7,39812.91
2000-05-03,27.6,17.6,22.6,0.1,18.7,36.7,37661.75
2000-05-04,29.8,18.4,23.4,0.0,21.5,40.0,39674.12
2000-05-05,29.4,17.5,23.1,0.0,19.8,42.5,37414.95
2000-05-06,28.1,17.5,22.7,0.3,20.3,40.7,39601.47
2000-05-07,29.0,17.6,22.8,0.0,22.0,45.4,39535.82
2000-05-08,27.9,17.5,22.5,0.0,16.9,36.4,38414.9
