Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,32.3,18.4,25.2,0.0,9.8,25.2,37591.34
2000-01-02,31.5,19.2,25.2,0.0,13.5,31.7,37606.21
2000-01-03,32.1,21.4,26.3,0.0,12.5,30.6,28430.3
2000-01-04,32.5,19.9,26.4,0.0,7.6,21.2,36180.17
2000-01-05,32.8,19.9,26.7,0.0,7.5,15.8,37659.25
2000-01-06,33.2,20.2,27.0,0.0,8.9,16.2,37679.61
2000-01-07,32.0,21.2,26.7,0.2,6.9,20.2,37532.63
2000-01-08,32.5,21.9,26.9,0.8,9.3,23.4,37135.2
2000-01-09,32.4,22.8,27.2,0.0,5.8,19.1,37748.17
2000-01-10,33.0,22.6,27.5,0.0,6.6,18.4,37773.37
2000-01-11,32.6,22.8,27.8,0.3,5.9,19.8,37799.67
2000-01-12,33.4,23.1,28.0,0.3,7.2,18.0,37827.03
2000-01-13,33.6,22.5,27.3,0.0,10.3,23.0,37855.4
2000-01-14,33.3,18.3,25.9,0.0,10.2,22.3,37884.76
2000-01-15,33.4,17.4,25.2,0.0,9.7,20.5,37915.04
2000-01-16,33.8,16.1,25.0,0.0,10.0,16.6,37946.23
2000-01-17,33.6,17.4,25.6,0.0,7.9,17.6,37978.25
2000-01-18,31.2,20.0,25.6,0.0,14.6,37.1,38011.1
2000-01-19,27.2,21.3,24.1,0.0,20.9,45.7,38044.81
2000-01-20,25.5,18.4,22.4,1.9,18.4,36.0,36413.32
2000-01-21,29.4,20.0,24.6,0.0,18.4,39.2,31822.54
2000-01-22,30.5,20.4,25.2,0.0,14.2,34.2,38153.55
2000-01-23,31.5,18.0,24.9,0.0,10.5,26.3,38192.12
2000-01-24,32.8,17.0,25.1,0.0,7.9,23.0,38231.75
2000-01-25,31.7,21.3,26.4,0.0,18.8,42.5,38272.36
2000-01-26,28.8,21.8,24.9,1.8,21.2,43.6,35198.09
2000-01-27,27.8,17.9,22.7,0.0,23.1,48.6,38356.27
2000-01-28,27.5,16.5,21.8,0.0,19.7,42.8,38399.45
2000-01-29,28.5,17.0,22.4,0.0,17.9,41.4,38443.36
2000-01-30,28.1,17.3,22.4,0.0,21.7,46.1,38487.95
2000-01-31,28.2,17.3,22.4,0.0,19.6,44.6,38533.14
2000-02-01,27.6,16.3,21.6,0.0,20.9,43.9,38578.89
2000-02-02,28.0,15.0,21.3,0.0,17.1,38.5,38625.12
2000-02-03,29.0,13.6,21.5,0.0,10.6,28.1,38671.8
2000-02-04,30.6,13.5,22.4,0.0,8.9,24.8,38718.87
2000-02-05,31.9,14.8,23.6,0.0,13.1,32.8,38766.25
2000-02-06,31.3,18.1,24.5,0.0,15.4,36.0,38813.91
2000-02-07,31.5,17.4,24.5,0.0,13.4,31.0,38861.79
2000-02-08,30.3,18.6,24.1,0.0,20.2,43.2,38909.86
2000-02-09,30.9,18.1,24.5,0.0,14.1,33.5,38958.48
2000-02-10,32.2,17.9,25.4,0.0,10.2,24.5,39007.88
