Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,13.8,-3.1,3.8,0.0,10.2,22.7,29242.0
2000-01-02,10.7,-2.0,3.6,0.0,11.5,21.6,14178.59
2000-01-03,3.2,-2.9,-0.1,7.3,12.7,26.6,0.0
2000-01-04,-1.6,-5.3,-3.8,6.1,16.3,28.1,15457.57
2000-01-05,-0.9,-10.0,-5.3,2.2,13.5,27.0,21397.81
2000-01-06,-0.6,-6.9,-3.7,1.9,9.1,25.2,515.04
2000-01-07,3.6,-8.5,-2.3,0.9,18.3,35.6,28528.65
2000-01-08,2.3,-4.7,-0.1,4.2,16.7,37.8,29982.8
2000-01-09,-0.3,-6.6,-3.8,2.2,7.5,20.9,26345.73
2000-01-10,-1.7,-5.7,-3.8,1.8,11.2,18.7,6012.6
2000-01-11,-0.9,-5.9,-3.4,1.1,10.0,21.6,18948.58
2000-01-12,-2.2,-8.8,-5.3,0.1,12.3,25.9,25288.1
2000-01-13,-3.1,-10.6,-7.2,0.0,11.9,24.1,17395.18
2000-01-14,-3.1,-9.3,-6.4,0.0,14.7,30.2,21215.78
2000-01-15,-1.2,-9.0,-5.6,0.0,11.5,25.9,29699.18
2000-01-16,-1.6,-8.0,-5.6,0.0,8.4,17.6,27234.54
2000-01-17,0.9,-8.7,-5.2,0.0,12.7,27.4,30871.02
2000-01-18,-0.0,-4.8,-2.7,7.5,19.5,66.2,2003.64
2000-01-19,-2.4,-7.3,-4.2,6.8,22.4,39.6,23747.85
2000-01-20,-2.9,-13.4,-6.4,10.5,11.3,20.9,23819.34
2000-01-21,-12.1,-22.2,-16.1,0.0,9.8,16.2,31918.4
2000-01-22,-2.8,-19.0,-11.0,3.6,19.1,34.2,19994.02
2000-01-23,-3.3,-16.5,-8.0,0.2,9.4,15.8,30790.51
2000-01-24,0.2,-19.1,-9.3,0.0,13.7,28.8,31139.34
2000-01-25,3.4,-5.2,-1.6,6.6,15.6,54.7,25953.76
2000-01-26,-4.9,-13.6,-8.0,0.0,10.0,16.2,32061.29
2000-01-27,-9.3,-16.8,-14.0,0.0,19.4,33.1,30417.35
2000-01-28,-9.8,-25.8,-16.5,0.0,8.3,18.4,32397.12
2000-01-29,-2.8,-20.9,-12.5,0.0,8.8,16.2,33017.66
2000-01-30,1.9,-14.8,-7.8,0.0,11.0,26.3,33147.04
2000-01-31,2.5,-5.5,-1.7,9.4,11.3,41.0,16043.44
2000-02-01,1.9,-3.5,-0.9,2.0,17.2,35.3,6987.22
2000-02-02,2.7,-5.2,-1.0,0.4,8.4,20.2,31972.6
2000-02-03,6.2,-9.6,-2.9,0.0,9.0,22.3,33679.04
2000-02-04,6.0,-8.5,-1.9,1.1,9.5,23.4,32631.84
2000-02-05,-1.3,-8.2,-4.2,8.4,18.8,35.6,10709.46
2000-02-06,-3.2,-12.0,-7.5,0.0,11.3,17.6,32757.75
2000-02-07,-4.1,-12.4,-7.8,0.0,6.5,13.0,34226.53
2000-02-08,-0.5,-17.5,-8.8,0.0,5.8,12.6,34364.88
2000-02-09,3.4,-13.7,-6.2,0.0,8.2,18.4,34505.04
2000-02-10,4.5,-12.2,-5.4,0.0,8.3,18.7,34647.21
2000-02-11,4.1,-11.1,-4.3,0.0,7.9,17.3,34791.23
2000-02-12,2.5,-10.8,-4.5,0.0,10.2,20.9,33609.5
2000-02-13,2.1,-6.8,-3.3,0.0,11.2,22.0,35084.11
2000-02-14,2.5,-5.7,-2.2,0.0,8.7,21.2,35219.01
2000-02-15,4.6,-7.7,-2.1,0.6,12.9,37.8,29396.31
2000-02-16,4.1,-3.3,-0.4,8.1,10.8,23.0,16840.61
2000-02-17,2.7,-6.0,-0.8,0.9,12.3,20.9,28235.2
2000-02-18,5.2,-7.3,-1.7,0.0,16.3,33.5,35506.68
2000-02-19,3.9,-2.7,-0.0,7.8,18.9,59.0,19115.27
2000-02-20,2.1,-5.3,-1.9,0.0,12.4,23.8,30134.93
2000-02-21,6.7,-6.4,-0.0,0.0,23.1,46.1,35718.86
2000-02-22,4.0,-3.4,0.5,12.7,16.8,42.8,24550.04
2000-02-23,-1.8,-8.6,-4.7,2.5,16.4,30.2,22778.79
2000-02-24,1.9,-9.0,-4.4,0.0,10.1,22.3,34180.81
2000-02-25,0.8,-5.8,-3.2,0.0,15.5,30.6,33590.76
2000-02-26,2.5,-6.9,-2.4,1.0,10.9,27.4,36419.06
2000-02-27,-0.1,-6.8,-3.4,0.5,19.1,36.4,36343.27
2000-02-28,-3.6,-11.5,-6.7,0.0,13.2,24.1,36908.78
2000-02-29,-5.0,-14.6,-10.6,0.0,11.4,17.3,36939.85
2000-03-01,-2.0,-11.9,-7.1,1.3,8.4,17.6,3865.78
2000-03-02,2.1,-7.8,-3.5,0.0,9.2,22.3,37459.64
2000-03-03,7.9,-9.2,-1.7,0.0,12.3,27.4,37523.92
2000-03-04,6.2,-2.8,1.5,2.2,6.9,20.2,30675.59
2000-03-05,8.6,-5.7,1.1,0.0,16.6,36.0,37799.23
2000-03-06,7.8,-3.8,0.4,9.8,23.2,57.2,29502.37
2000-03-07,-4.0,-11.0,-6.2,4.6,34.6,62.6,28408.43
2000-03-08,-5.4,-14.2,-9.2,0.0,12.7,22.3,38149.15
2000-03-09,0.7,-18.1,-8.8,0.0,11.4,16.9,38098.78
2000-03-10,7.0,-8.6,-1.2,0.0,17.1,30.6,38186.16
2000-03-11,3.4,-2.0,0.7,8.2,20.9,40.3,18930.47
2000-03-12,7.2,-8.7,-0.5,0.0,17.1,36.0,38259.55
2000-03-13,5.7,-1.9,1.7,2.0,15.8,33.8,36854.36
2000-03-14,4.2,-4.6,-0.8,0.0,14.9,29.2,38490.46
2000-03-15,8.1,-6.4,0.9,0.0,11.7,27.0,39658.65
2000-03-16,10.9,-4.7,2.2,0.0,21.4,41.8,39579.51
2000-03-17,12.0,-4.0,4.0,0.0,26.1,49.3,39384.7
2000-03-18,6.3,-3.5,3.1,5.9,24.4,64.4,37943.29
2000-03-19,7.5,-5.7,0.9,0.4,27.4,60.8,39472.42
2000-03-20,2.1,-3.8,-0.7,2.8,17.7,49.7,37614.76
2000-03-21,7.4,-6.1,0.4,0.0,20.1,40.0,40670.1
