Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,5.4,-0.0,3.1,0.0,25.7,55.8,19254.72
2000-01-02,6.5,4.4,5.3,1.6,34.2,74.9,19260.37
2000-01-03,7.6,1.7,4.4,4.8,34.3,87.5,9924.41
2000-01-04,4.1,0.5,1.8,7.2,34.3,69.5,3859.69
2000-01-05,7.2,0.6,4.6,10.0,38.7,96.5,0.0
2000-01-06,6.7,0.2,3.5,3.4,37.8,92.9,20044.59
2000-01-07,7.3,2.9,5.9,9.0,38.7,88.6,0.0
2000-01-08,3.4,0.9,2.3,2.5,31.0,67.3,15915.25
2000-01-09,2.6,-0.7,0.5,2.1,23.5,52.2,20563.83
2000-01-10,6.0,0.1,4.0,4.6,31.2,67.3,0.0
2000-01-11,5.4,2.3,3.8,6.0,20.3,47.5,4151.52
2000-01-12,3.8,0.3,2.9,4.4,16.3,35.3,0.0
2000-01-13,1.9,-2.4,-0.6,0.0,19.5,40.7,20799.63
2000-01-14,1.3,-0.8,0.3,0.0,23.7,50.4,21693.5
2000-01-15,2.9,-2.8,-0.8,0.0,13.5,30.2,21263.96
2000-01-16,6.0,-2.5,1.4,0.0,16.3,36.4,11519.53
2000-01-17,5.9,-0.3,2.2,0.0,11.8,29.5,22308.98
2000-01-18,5.7,0.3,3.4,0.0,13.3,29.2,20271.26
2000-01-19,4.2,-1.5,0.8,0.0,9.7,19.8,21608.53
2000-01-20,4.5,0.3,1.9,0.0,12.8,29.2,23053.49
2000-01-21,3.9,-1.7,1.1,0.0,29.4,64.8,18210.53
2000-01-22,4.8,-0.6,2.4,0.5,32.9,70.6,23526.55
2000-01-23,2.2,-2.2,-0.3,0.0,15.0,32.4,23771.23
2000-01-24,4.2,-1.8,1.4,0.0,13.0,34.9,24020.7
2000-01-25,4.3,-2.7,-0.1,0.0,9.0,15.5,24274.46
2000-01-26,5.3,-1.7,1.7,0.0,15.5,34.6,22524.33
2000-01-27,4.6,2.3,3.3,1.7,23.6,48.6,0.0
2000-01-28,6.5,2.8,4.2,13.3,30.0,65.9,0.0
2000-01-29,7.2,2.1,4.6,12.7,50.0,122.0,25082.72
2000-01-30,8.3,1.3,4.8,15.2,37.3,87.5,0.0
2000-01-31,7.6,4.3,5.8,10.7,39.3,106.6,10553.33
2000-02-01,7.1,3.0,5.7,13.8,29.4,64.8,14400.0
2000-02-02,4.6,2.5,3.4,2.0,34.3,75.2,25398.91
2000-02-03,6.1,2.5,4.1,1.3,22.7,50.0,11373.09
2000-02-04,9.9,6.4,8.6,1.1,26.2,55.4,0.0
2000-02-05,8.0,6.4,6.9,0.8,30.2,66.2,0.0
2000-02-06,7.7,3.6,5.9,4.9,40.7,96.5,1787.56
2000-02-07,6.5,1.9,3.5,7.9,43.0,97.2,5206.23
2000-02-08,5.5,-0.0,2.8,7.6,41.3,91.1,16821.24
2000-02-09,5.8,0.1,3.7,1.2,37.7,89.3,23266.87
2000-02-10,6.0,0.5,2.8,10.5,40.7,93.2,27689.4
2000-02-11,5.5,1.5,3.8,0.9,37.4,77.0,16217.39
2000-02-12,5.1,-0.6,1.1,16.0,39.7,83.5,25135.33
2000-02-13,3.3,-3.2,0.6,0.5,26.7,65.5,29469.88
2000-02-14,5.9,-4.0,0.9,4.1,28.3,62.6,8125.56
2000-02-15,2.9,-1.3,1.0,6.2,26.1,59.0,18564.13
2000-02-16,0.4,-6.9,-2.2,1.4,22.8,46.8,30336.4
2000-02-17,2.4,-8.0,-1.8,4.9,19.8,42.5,20822.82
2000-02-18,3.4,1.5,2.4,7.9,19.4,48.6,1680.8
2000-02-19,3.2,-1.8,0.5,0.0,14.1,30.6,31208.28
2000-02-20,3.4,-3.3,0.1,0.5,23.9,54.4,24199.14
2000-02-21,4.0,-0.6,2.2,4.1,24.1,55.1,28225.03
2000-02-22,4.2,-2.3,1.1,0.0,18.6,41.8,23302.84
2000-02-23,7.9,2.9,5.6,4.6,28.5,61.2,457.86
