Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,16.9,5.5,10.6,0.0,27.0,50.8,31290.47
2000-01-02,14.6,5.9,11.9,0.0,26.7,51.5,31333.06
2000-01-03,9.0,1.5,5.2,7.1,20.7,42.8,29932.41
2000-01-04,1.7,-4.0,-0.9,0.7,24.7,50.0,31429.79
2000-01-05,7.1,-2.4,1.6,0.0,28.0,56.9,31483.69
2000-01-06,9.1,-1.0,3.2,0.0,13.1,25.6,31541.13
2000-01-07,10.0,-2.3,3.1,0.0,9.3,21.6,31601.99
2000-01-08,8.4,3.5,6.9,2.2,19.0,35.3,0.0
2000-01-09,12.0,5.7,8.1,0.0,18.8,37.4,26276.75
2000-01-10,14.1,3.1,7.4,0.0,19.5,39.6,31803.86
2000-01-11,10.3,0.0,5.3,0.0,10.7,22.7,31877.18
2000-01-12,16.5,4.3,8.9,0.0,17.4,41.0,31953.33
2000-01-13,7.3,0.3,4.0,0.0,17.7,35.6,32032.17
2000-01-14,9.7,-1.3,3.7,0.0,21.7,45.4,32113.59
2000-01-15,15.9,5.6,10.0,0.0,26.0,53.6,32161.93
2000-01-16,11.9,7.8,9.5,0.4,15.7,31.0,0.0
2000-01-17,14.6,7.4,11.0,0.2,14.2,31.0,3569.51
2000-01-18,8.8,3.5,5.9,0.0,13.4,28.1,18591.02
2000-01-19,14.5,3.1,8.3,0.4,31.3,59.8,18036.78
2000-01-20,1.4,-4.6,-1.5,0.0,23.5,54.0,32293.41
2000-01-21,6.8,-2.7,1.5,0.0,17.3,32.8,28553.8
2000-01-22,11.4,2.8,6.2,0.0,16.1,30.6,28626.99
2000-01-23,6.2,-1.9,2.3,0.2,19.1,38.2,20656.16
2000-01-24,3.2,-5.2,-1.6,0.0,12.3,27.7,32400.0
2000-01-25,0.9,-3.8,-1.8,0.0,22.6,45.4,32825.05
2000-01-26,-1.4,-3.4,-2.5,1.1,6.6,19.4,0.0
2000-01-27,-1.3,-4.1,-2.8,6.7,14.8,28.1,1408.08
2000-01-28,-1.0,-5.3,-3.5,0.8,9.2,18.0,17755.08
2000-01-29,-1.9,-7.2,-4.3,0.5,10.7,22.3,30225.84
2000-01-30,-0.3,-9.5,-5.1,0.0,10.5,21.6,33198.85
2000-01-31,2.1,-8.4,-3.5,0.0,11.5,27.4,33405.24
2000-02-01,2.6,-4.2,-1.7,0.0,12.6,29.9,33598.57
2000-02-02,6.9,-7.2,0.1,0.0,17.9,37.1,33802.47
