Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,24.7,16.7,20.1,0.0,20.1,49.3,36823.27
2000-01-02,24.4,18.5,20.6,0.0,23.2,55.8,25041.78
2000-01-03,25.1,18.1,20.8,0.0,20.3,47.5,36071.96
2000-01-04,25.8,16.5,20.6,0.0,13.4,36.7,37026.43
2000-01-05,26.6,16.9,21.5,0.0,9.4,29.5,37126.75
2000-01-06,27.0,19.1,22.3,1.2,7.7,20.9,36000.0
2000-01-07,26.8,19.0,21.8,0.0,13.4,33.1,36024.42
2000-01-08,26.7,17.3,21.0,0.0,13.1,32.8,36188.06
2000-01-09,28.3,15.6,21.1,0.0,11.6,28.4,36141.04
2000-01-10,27.0,14.7,20.8,0.0,12.6,32.8,37445.12
2000-01-11,26.1,18.5,21.9,0.0,11.9,32.4,31361.7
2000-01-12,28.6,19.5,23.1,0.0,7.6,22.0,36210.99
2000-01-13,28.4,19.6,23.3,0.2,8.3,19.8,36292.76
2000-01-14,27.0,19.8,22.6,1.7,11.2,26.3,36095.19
2000-01-15,28.7,18.4,22.7,0.0,10.9,27.0,36779.29
2000-01-16,29.2,18.6,22.8,0.0,14.1,34.2,37053.68
2000-01-17,27.4,17.2,21.7,0.0,15.6,38.2,37129.91
2000-01-18,24.6,17.8,20.3,0.0,19.9,49.0,36587.1
2000-01-19,22.5,17.0,19.1,0.0,23.9,57.6,31857.25
2000-01-20,23.3,16.3,18.8,0.1,25.9,63.4,35568.55
2000-01-21,25.1,15.8,19.7,0.0,21.3,55.8,37178.94
2000-01-22,25.9,17.7,20.7,0.0,23.0,54.0,28166.85
2000-01-23,24.3,18.2,21.1,1.6,17.2,41.0,21983.07
2000-01-24,23.4,19.2,21.0,0.0,14.6,39.2,5755.61
2000-01-25,25.6,19.5,21.7,0.1,22.5,55.4,32790.99
2000-01-26,24.2,16.4,19.8,0.6,26.8,71.6,29103.48
2000-01-27,21.8,15.4,17.8,0.0,33.2,78.5,36481.88
2000-01-28,22.6,15.1,17.8,0.0,26.9,64.4,35610.39
2000-01-29,23.5,15.6,18.6,0.0,25.3,62.3,35953.63
2000-01-30,22.4,16.2,18.3,0.0,30.2,73.4,34968.39
2000-01-31,22.7,16.1,18.4,0.0,29.1,70.9,33410.04
2000-02-01,22.1,15.2,17.9,0.0,30.8,74.5,36754.46
2000-02-02,23.7,14.6,17.9,0.0,20.9,55.4,37567.1
2000-02-03,25.8,14.9,19.5,0.0,16.1,42.8,34998.67
2000-02-04,26.8,16.1,20.6,0.0,16.4,45.0,37308.98
2000-02-05,26.1,18.0,21.1,0.0,22.4,51.1,37371.86
2000-02-06,25.2,16.5,19.8,0.0,19.7,54.0,37889.68
2000-02-07,24.3,15.9,18.8,0.0,17.0,43.6,24685.75
2000-02-08,25.6,15.5,18.5,0.0,17.9,47.5,35950.96
2000-02-09,25.0,14.7,18.6,0.0,17.4,44.3,38366.98
2000-02-10,28.2,13.9,20.4,0.0,10.7,30.2,37550.89
2000-02-11,30.0,16.2,21.9,0.0,15.6,38.5,38661.73
2000-02-12,30.0,15.8,22.3,0.0,14.2,37.8,39195.92
2000-02-13,30.6,16.6,23.1,0.0,14.4,37.1,37881.03
2000-02-14,30.8,18.5,23.4,0.0,18.1,45.0,38783.09
2000-02-15,27.3,17.3,21.6,0.0,19.8,48.6,36687.3
2000-02-16,26.3,16.0,20.4,0.0,19.0,50.0,38843.22
2000-02-17,27.1,17.2,21.5,0.0,17.9,46.4,35289.88
2000-02-18,27.6,18.7,22.6,1.1,15.2,40.3,37110.66
2000-02-19,30.8,19.1,24.6,0.0,8.0,25.9,38569.62
2000-02-20,31.7,20.9,25.8,0.0,7.9,25.6,39154.61
2000-02-21,30.9,21.4,25.4,1.0,9.5,25.9,38699.38
2000-02-22,31.3,19.5,25.0,0.3,11.0,31.7,39747.07
2000-02-23,32.5,20.3,25.2,0.8,15.4,36.7,39176.37
2000-02-24,31.2,19.7,24.4,0.7,16.9,41.8,39180.68
2000-02-25,29.1,20.1,23.4,0.2,17.6,44.6,37713.05
2000-02-26,25.9,17.2,20.8,0.0,25.5,70.6,39718.5
2000-02-27,26.4,16.2,20.3,0.0,25.8,63.7,39314.55
2000-02-28,21.5,17.9,19.3,4.8,18.6,51.1,2546.77
2000-02-29,25.0,17.5,20.3,0.0,24.6,61.2,38125.61
