country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,cement_co2,population
Argentina,2001,135.137,3.592,2.008,64.334,64.807,2.481,37624818.0
Argentina,2002,124.931,3.285,1.579,57.495,62.618,1.729,38029346.0
Argentina,2003,134.481,3.5,2.48,59.355,69.068,2.28,38424284.0
Argentina,2004,157.049,4.046,2.532,67.813,82.913,2.701,38815915.0
Argentina,2005,161.589,4.12,3.668,71.8,81.967,3.241,39216787.0
Argentina,2006,174.309,4.399,3.968,81.911,83.867,3.764,39622113.0
Argentina,2007,173.581,4.338,3.759,77.952,87.178,3.998,40016766.0
Argentina,2008,187.342,4.634,3.975,88.658,90.12,3.99,40424149.0
Argentina,2009,178.181,4.361,3.305,82.38,87.993,3.81,40854832.0
Argentina,2010,185.946,4.504,4.082,90.145,86.928,4.178,41288694.0
Argentina,2011,189.775,4.548,4.825,86.906,92.586,4.586,41730655.0
Argentina,2012,191.362,4.539,5.078,85.587,95.381,4.184,42161718.0
Argentina,2013,189.538,4.451,4.84,87.487,91.338,4.581,42582454.0
Argentina,2014,188.397,4.379,5.536,84.292,92.844,4.336,43024072.0
Argentina,2015,191.744,4.41,5.467,86.954,93.535,4.571,43477009.0
Argentina,2016,189.92,4.326,4.192,84.556,96.303,4.029,43900312.0
Argentina,2017,186.899,4.22,4.279,80.856,96.442,4.362,44288898.0
Argentina,2018,180.599,4.044,4.356,74.392,96.123,4.369,44654876.0
Argentina,2019,178.508,3.969,2.143,74.847,95.606,4.141,44973468.0
Argentina,2020,165.121,3.654,3.224,67.319,89.083,3.508,45191960.0
Argentina,2021,191.108,4.218,4.51,86.529,93.073,4.671,45312283.0
Argentina,2022,204.081,4.494,4.78,99.135,92.908,5.063,45407904.0
Argentina,2023,195.806,4.3,4.106,93.742,91.051,4.853,45538402.0
Brazil,2001,346.166,1.963,49.427,241.795,23.186,15.227,176301200.0
Brazil,2002,347.765,1.948,48.689,239.219,29.293,14.39,178503483.0
Brazil,2003,344.645,1.908,51.933,232.434,30.919,13.096,180622688.0
Brazil,2004,361.434,1.979,53.833,239.768,38.215,13.273,182675143.0
Brazil,2005,364.371,1.973,50.948,240.221,39.619,14.349,184688101.0
Brazil,2006,368.871,1.976,50.838,242.249,42.053,15.44,186653099.0
Brazil,2007,390.573,2.071,54.989,256.003,43.246,17.2,188552310.0
Brazil,2008,412.638,2.168,55.315,267.239,51.303,18.884,190367297.0
Brazil,2009,389.775,2.029,43.586,262.705,40.959,19.031,192079956.0
Brazil,2010,440.269,2.273,56.688,286.08,55.049,21.288,193701931.0
Brazil,2011,462.58,2.369,62.292,303.885,53.101,22.845,195284736.0
Brazil,2012,498.309,2.531,61.016,327.734,63.397,24.998,196876114.0
Brazil,2013,532.418,2.682,65.604,342.338,74.704,26.652,198478291.0
Brazil,2014,557.901,2.788,69.034,356.753,81.286,26.908,200085126.0
Brazil,2015,529.353,2.625,69.452,330.359,80.465,25.082,201675534.0
Brazil,2016,492.748,2.425,63.831,312.939,69.666,22.415,203218108.0
Brazil,2017,498.266,2.434,67.322,316.143,70.688,20.217,204703440.0
Brazil,2018,478.379,2.321,65.841,300.73,67.417,20.494,206107265.0
Brazil,2019,473.39,2.282,61.888,299.436,67.121,21.048,207455459.0
Brazil,2020,445.208,2.134,56.241,282.678,59.026,23.366,208660845.0
Brazil,2021,498.017,2.377,68.23,305.428,75.974,24.488,209550291.0
Brazil,2022,483.841,2.301,56.078,319.935,60.085,23.845,210306411.0
Brazil,2023,486.47,2.304,54.848,326.432,56.329,24.963,211140731.0
China,2001,3728.51,2.916,2637.651,659.3,67.157,270.828,1278725057.0
China,2002,4103.046,3.188,3018.637,653.086,53.993,282.688,1286866839.0
China,2003,4841.119,3.74,3601.712,727.099,60.745,353.679,1294517315.0
China,2004,5217.351,4.007,3835.288,839.093,71.521,368.396,1302100319.0
China,2005,5882.106,4.49,4424.353,850.173,84.957,411.649,1310027138.0
China,2006,6494.331,4.927,4905.367,898.534,103.753,470.087,1318054037.0
China,2007,6983.547,5.267,5289.875,927.351,129.515,514.981,1325813580.0
China,2008,7501.498,5.624,5729.473,970.118,149.674,525.924,1333821009.0
China,2009,7891.078,5.878,6028.489,982.348,164.404,583.56,1342522709.0
China,2010,8620.576,6.378,6568.743,1092.571,199.585,639.592,1351561511.0
China,2011,9532.332,7.008,7309.709,1123.859,245.99,708.564,1360250657.0
China,2012,9779.292,7.141,7464.744,1176.712,277.599,714.782,1369520865.0
China,2013,9956.329,7.22,7493.408,1234.621,320.127,748.323,1379008046.0
China,2014,9990.257,7.198,7424.993,1255.605,370.222,770.284,1387951973.0
China,2015,9863.457,7.065,7266.92,1328.805,380.052,718.559,1396134164.0
China,2016,9762.714,6.953,7071.355,1357.838,421.726,740.776,1404052626.0
China,2017,10006.343,7.085,7163.255,1430.587,486.359,753.439,1412354742.0
China,2018,10332.992,7.282,7316.367,1500.474,575.369,765.836,1419008963.0
China,2019,10713.984,7.526,7523.024,1559.728,630.171,819.965,1423520354.0
China,2020,10905.693,7.647,7679.484,1523.052,676.473,849.976,1426106083.0
China,2021,11447.913,8.026,8141.342,1521.11,765.333,843.777,1426437276.0
China,2022,11350.538,7.964,8168.899,1489.342,760.059,756.02,1425179562.0
China,2023,11902.503,8.367,8550.844,1642.827,814.783,718.017,1422584937.0
France,2001,410.445,6.852,56.01,248.684,88.274,8.655,59905130.0
France,2002,405.947,6.729,58.579,242.252,87.873,8.643,60327247.0
France,2003,411.965,6.782,59.184,244.12,91.564,8.556,60741121.0
France,2004,413.379,6.757,58.254,244.202,93.194,9.065,61175243.0
France,2005,415.795,6.747,62.071,241.28,94.908,9.108,61625030.0
France,2006,406.157,6.546,59.521,236.189,92.313,9.307,62049831.0
France,2007,396.01,6.343,61.413,226.863,89.18,9.478,62432438.0
France,2008,389.094,6.198,56.225,222.805,91.986,8.88,62780187.0
France,2009,370.876,5.877,45.205,218.919,90.679,7.679,63106461.0
France,2010,376.457,5.936,49.122,215.221,96.099,7.888,63417366.0
France,2011,354.375,5.56,42.131,208.439,87.628,8.065,63733777.0
France,2012,356.439,5.564,46.799,204.283,90.402,7.502,64058465.0
France,2013,358.703,5.571,49.56,203.476,91.016,7.3,64387736.0
France,2014,326.842,5.052,39.554,196.836,76.291,6.975,64692495.0
France,2015,331.49,5.106,38.043,198.718,81.258,6.606,64916336.0
France,2016,334.2,5.135,35.924,196.022,88.941,6.639,65086852.0
France,2017,337.101,5.164,39.939,194.975,89.163,6.483,65284775.0
France,2018,321.94,4.914,35.138,188.516,84.658,6.701,65519539.0
France,2019,315.015,4.793,29.451,186.42,85.921,6.807,65729460.0
France,2020,280.49,4.256,23.937,164.503,80.005,6.197,65905273.0
France,2021,305.607,4.625,30.505,178.538,84.289,6.495,66083547.0
France,2022,293.502,4.428,25.994,179.441,76.353,6.397,66277412.0
France,2023,272.476,4.101,19.636,174.553,66.651,6.397,66438828.0
India,2001,1000.527,0.928,582.081,316.721,53.128,46.74,1077898572.0
India,2002,1032.14,0.94,598.597,325.22,57.609,49.111,1097600381.0
India,2003,1067.737,0.956,625.89,330.615,58.565,50.88,1116802997.0
India,2004,1133.828,0.998,669.968,348.234,58.316,55.545,1135991510.0
India,2005,1194.592,1.035,721.469,352.376,59.357,59.687,1154676319.0
India,2006,1292.485,1.102,773.564,369.694,82.58,64.905,1172878890.0
India,2007,1392.506,1.17,842.477,391.897,87.956,68.333,1190676028.0
India,2008,1489.437,1.233,910.795,413.233,90.277,73.245,1207930962.0
India,2009,1612.216,1.316,983.947,432.66,112.463,81.268,1225524760.0
India,2010,1677.337,1.349,1015.983,439.5,134.121,86.029,1243481564.0
India,2011,1764.712,1.399,1074.385,460.104,136.26,91.314,1261224952.0
India,2012,1925.7,1.506,1206.452,489.814,125.605,100.237,1278674506.0
India,2013,1995.098,1.54,1276.383,496.94,110.689,107.82,1295829506.0
India,2014,2148.344,1.637,1407.057,512.465,109.467,115.825,1312277184.0
India,2015,2234.219,1.682,1449.587,556.117,106.871,117.508,1328024492.0
India,2016,2354.658,1.752,1499.401,614.597,113.622,123.281,1343944293.0
