Country,Year,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Argentina,2001,40.4,-2.9,15.58164383561644,948.7,41.1,77.4,11811856.71
Argentina,2002,36.2,-5.3,15.335068493150686,524.7,38.8,75.6,12337857.15
Argentina,2003,37.5,-2.5,16.36027397260274,416.40000000000003,44.0,81.7,12810059.07
Argentina,2004,35.9,-1.5,15.710655737704919,859.2,35.6,81.0,12411702.92
Argentina,2005,34.8,-3.4,15.802191780821918,406.4,36.8,69.1,12562104.61
Argentina,2006,40.9,-2.1,16.333150684931507,522.6,45.4,84.2,12769074.5
Argentina,2007,37.8,-5.9,15.239178082191781,534.1,37.9,71.6,12849633.37
Argentina,2008,36.2,-1.1,16.612841530054645,448.6,40.7,77.4,13076474.99
Argentina,2009,38.3,-3.1,16.766027397260274,348.3,44.0,89.6,13369056.6
Argentina,2010,38.5,-5.1,16.035890410958906,407.0,50.1,92.2,12974650.36
Argentina,2011,36.6,-2.9,15.85013698630137,681.1,41.5,75.2,12923432.01
Argentina,2012,40.0,-3.3,16.079781420765027,588.6,39.9,75.6,12710136.13
Argentina,2013,38.6,-3.7,16.307397260273973,496.3,45.2,81.7,13101838.44
Argentina,2014,40.2,-3.2,16.00027397260274,665.0,49.6,87.5,12392923.44
Argentina,2015,38.6,-2.7,16.161369863013697,481.7,42.5,86.0,12791508.73
Argentina,2016,37.4,-1.8,15.430601092896175,640.4,41.3,76.7,12174276.25
Argentina,2017,37.5,-1.0,15.941643835616437,636.7,48.8,91.8,12404013.8
Argentina,2018,37.8,-2.7,16.099452054794522,409.2,44.3,92.5,12316847.9
Argentina,2019,36.3,-3.8,15.86821917808219,341.4,40.3,77.0,12641774.83
Argentina,2020,36.7,-3.0,15.647814207650274,589.2,40.9,77.4,12865880.69
Argentina,2021,37.4,-2.0,16.17287671232877,475.7,41.3,74.2,12778859.21
Argentina,2022,42.7,-2.9,15.623561643835618,614.7,49.1,88.6,12400136.8
Argentina,2023,38.0,-4.4,16.33753424657534,487.8,39.7,79.6,12420369.16
Brazil,2001,38.0,18.3,26.695068493150686,1321.1,19.5,42.8,13059295.4
Brazil,2002,37.8,17.7,27.42876712328767,1324.5,26.5,52.9,13133872.27
Brazil,2003,39.0,17.5,26.824931506849317,1237.4,21.1,42.8,13015164.93
Brazil,2004,38.8,16.9,26.73497267759563,1546.9,22.1,45.0,12868945.55
Brazil,2005,38.7,18.4,26.96164383561644,1444.6,20.2,43.6,12619081.24
Brazil,2006,37.6,18.1,26.58219178082192,1459.8,19.9,40.7,12760375.86
Brazil,2007,39.8,18.1,27.416986301369864,1223.0,21.7,47.9,13245402.88
Brazil,2008,39.3,16.7,26.829508196721314,1635.6,21.1,46.1,12913432.63
Brazil,2009,36.7,16.7,26.6572602739726,1469.9,19.1,44.3,12758977.44
Brazil,2010,39.3,17.7,27.519178082191782,1162.0,21.7,47.5,13253675.29
Brazil,2011,39.7,18.5,26.656164383561645,1532.6,23.1,43.6,12441523.18
Brazil,2012,39.1,18.8,27.286338797814206,1031.0,18.8,47.2,13495128.4
Brazil,2013,38.3,18.3,26.87095890410959,1708.2,20.9,44.6,12517814.92
Brazil,2014,39.4,18.8,27.023835616438358,1308.8,18.6,44.6,12934384.48
Brazil,2015,40.0,19.1,27.509315068493148,1113.9,17.3,42.5,13445013.17
Brazil,2016,38.2,19.1,27.925409836065576,1230.8,19.7,46.4,13013876.98
Brazil,2017,38.8,15.1,26.50767123287671,1075.8,19.2,54.7,13270164.7
Brazil,2018,39.0,15.6,26.242465753424657,975.1,22.0,51.8,13133833.53
Brazil,2019,40.7,15.1,27.047671232876713,734.0,18.8,47.9,13743343.11
Brazil,2020,40.1,12.9,26.27185792349727,1170.2,19.0,47.2,13443085.45
Brazil,2021,40.8,13.4,25.805479452054794,1438.7,22.3,52.6,12975687.28
Brazil,2022,39.7,10.9,26.01287671232877,1316.3,19.2,47.9,13150377.66
Brazil,2023,39.8,15.8,26.68904109589041,1316.0,21.0,52.6,13275631.58
China,2001,33.0,-15.9,8.669315068493152,425.2,35.8,77.0,12022370.26
China,2002,34.1,-15.8,8.947123287671232,436.6,31.8,72.4,12370177.62
China,2003,32.1,-13.7,8.547397260273973,516.9,32.8,73.4,11903390.81
China,2004,32.0,-20.9,8.822131147540984,392.5,31.6,70.9,12397097.26
China,2005,31.6,-16.1,8.443835616438356,505.1,29.5,67.7,11938574.22
China,2006,33.7,-19.5,9.742739726027397,407.7,30.8,68.0,12370014.23
China,2007,31.4,-13.2,9.09041095890411,604.3,32.3,74.5,11849889.1
China,2008,31.6,-23.6,8.496448087431693,385.9,29.5,65.9,12341299.96
China,2009,32.3,-19.1,9.125753424657535,386.9,31.8,70.2,11925616.27
China,2010,36.0,-16.4,8.722191780821918,395.8,30.7,65.9,12316749.99
China,2011,33.5,-19.4,8.152328767123288,382.3,27.7,63.7,12034636.23
China,2012,32.1,-23.0,7.688524590163935,405.9,30.0,67.3,12255483.29
China,2013,32.0,-17.0,9.635890410958904,508.2,28.8,64.8,12250410.05
China,2014,32.9,-18.9,8.703561643835616,507.5,28.8,67.3,11887290.59
China,2015,34.2,-13.1,9.361917808219177,367.2,28.4,67.0,12140188.69
China,2016,33.4,-18.5,9.526775956284153,358.2,28.5,73.4,12350038.7
China,2017,34.1,-12.8,8.335616438356164,555.6,31.8,61.2,11291601.02
China,2018,30.5,-18.8,8.113150684931508,582.5,34.0,65.5,11202484.18
China,2019,32.1,-14.3,8.403561643835618,562.3,35.6,69.1,11102263.21
